id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
00242715,35,22,29,6,0,16,29,13,40,26,14,40,75,124,4,181
00242b75,38,21,16,19,3,14,29,15,18,3,15,9,47,18,1,64
00844823,27,15,19,6,2,11,26,15,37,19,18,49,76,85,0,164
009a4f60,7,5,2,1,4,3,6,3,5,3,2,5,12,9,0,30
01834aa0,37,24,24,12,1,20,39,19,32,12,20,42,79,99,0,148
01c3aff5,38,20,17,16,5,13,40,27,38,12,26,46,84,39,0,175
028e70b9,5,2,0,2,3,2,4,2,2,0,2,1,6,0,0,11
032f894e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
042e8a49,19,11,6,7,6,12,27,15,9,0,9,4,23,3,0,87
048a1cbc,44,24,18,21,5,20,32,12,27,3,24,42,86,26,0,170
05439de2,30,17,14,15,1,16,25,9,19,10,9,29,59,40,0,213
054849d2,19,12,12,7,0,9,18,9,6,2,4,14,33,27,0,42
056d2d95,71,41,35,32,4,32,54,22,31,10,21,51,122,88,1,174
05d548d8,57,30,30,26,1,20,38,18,41,18,23,59,116,110,1,231
05f99a4a,9,4,2,5,2,3,8,5,6,1,5,0,9,1,0,15
070ec0b1,53,34,29,17,7,23,48,25,42,13,29,67,120,88,2,175
080440a4,66,51,33,30,3,28,57,29,41,21,20,36,102,96,0,229
08593525,37,18,14,17,6,12,34,22,25,8,17,40,77,27,1,88
088ca1bd,42,27,19,19,4,19,37,18,23,8,15,35,77,84,0,144
096a77c4,4,3,1,1,2,1,7,6,1,0,1,1,5,3,0,5
099e666f,49,29,24,19,6,26,51,25,45,10,35,26,75,79,0,176
0a1cb833,1,0,1,0,0,1,2,1,1,0,1,5,6,11,3,49
0a3d6d2b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0a3f6cde,25,16,13,9,3,9,33,24,29,2,27,15,40,14,0,132
0b4f388a,22,11,2,15,5,4,15,11,12,1,11,8,30,5,0,57
