id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
00242715,30,27,0,1,1,0,1,4,3,0,0,0,0,1
00242b75,2,1,0,1,0,0,0,0,0,0,0,0,0,0
00844823,36,32,0,2,1,0,1,4,2,0,1,1,0,0
00a6485f,33,26,3,1,0,2,1,4,4,0,0,0,0,0
00c3d4dc,1,1,0,0,0,0,0,0,0,0,0,0,0,0
012c38ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
016ff750,101,58,27,7,5,3,1,12,7,2,2,1,0,0
01c3aff5,44,32,2,3,3,2,2,5,4,0,0,1,0,0
032f894e,32,16,4,7,1,3,1,4,1,0,1,1,0,1
03bd0bf4,7,7,0,0,0,0,0,0,0,0,0,0,0,0
042e8a49,65,45,0,12,2,6,0,8,6,0,0,1,1,0
048a1cbc,76,47,18,3,5,2,1,13,9,3,1,0,0,0
04c11885,18,13,0,1,0,4,0,2,1,0,0,0,1,0
05439de2,84,64,4,4,10,2,0,9,7,1,1,0,0,0
05d548d8,36,29,0,3,2,1,1,2,2,0,0,0,0,0
05f99a4a,9,8,0,0,1,0,0,0,0,0,0,0,0,0
061e8e23,16,12,0,1,1,2,0,2,2,0,0,0,0,0
070ec0b1,14,11,0,0,3,0,0,0,0,0,0,0,0,0
080440a4,29,19,2,2,3,2,1,2,1,0,0,0,1,0
088ca1bd,84,52,25,2,1,2,2,11,8,3,0,0,0,0
09586899,33,25,4,2,2,0,0,0,0,0,0,0,0,0
096a77c4,31,18,2,4,5,2,0,6,4,1,1,0,0,0
0999a593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09bcc566,35,20,0,4,3,8,0,3,2,0,0,0,1,0
0a1cb833,3,2,1,0,0,0,0,0,0,0,0,0,0,0
0a89e877,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0b4f388a,48,26,0,6,3,13,0,9,3,0,2,2,2,0
0c3057a9,50,35,0,1,7,6,1,5,4,0,0,1,0,0
0c61c77c,58,38,1,6,4,9,0,5,3,0,1,0,1,0
0d55d942,16,10,5,0,0,1,0,1,0,1,0,0,0,0
0e0ab524,3,1,0,0,0,1,1,0,0,0,0,0,0,0
0e4fef6e,8,8,0,0,0,0,0,1,1,0,0,0,0,0
0f26fd24,21,14,0,4,2,0,1,3,2,0,1,0,0,0
0fbecd11,25,18,0,1,4,0,2,3,1,0,0,2,0,0
1025db8e,21,16,0,1,2,0,2,3,2,0,0,1,0,0
106bca06,27,23,0,1,2,1,0,2,1,0,0,0,1,0
11fd2b75,14,11,0,0,2,0,1,2,1,0,0,1,0,0
1238a3f9,48,27,0,6,9,6,0,10,5,0,3,1,1,0
13203c45,57,44,3,6,4,0,0,9,8,0,1,0,0,0
13ddc856,14,6,0,1,4,3,0,0,0,0,0,0,0,0
150d5992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
