id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
abf0cad0,4,2,0,1,1,0,0,0,0,0,0,0,0,0,Matches
565bf0da,13,12,0,0,1,0,0,1,1,0,0,0,0,0,Matches
1c08a3c8,10,9,0,1,0,0,0,0,0,0,0,0,0,0,Matches
2b09d998,19,14,1,0,2,2,0,2,1,0,0,0,1,0,Matches
22919e97,21,18,0,0,1,2,0,5,4,0,0,0,1,0,Matches
89ac64a6,13,12,1,0,0,0,0,5,5,0,0,0,0,0,Matches
6ec6fde0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
05439de2,46,40,2,1,3,0,0,3,2,1,0,0,0,0,Matches
834d0be5,27,21,0,0,6,0,0,2,1,0,0,1,0,0,Matches
a7a9d95a,12,8,1,1,0,2,0,2,1,1,0,0,0,0,Matches
77e84962,60,49,3,3,4,0,1,10,8,0,2,0,0,0,Matches
555d5edd,95,59,24,5,4,3,0,8,7,0,0,0,1,0,Matches
10b9fa99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
e7199efb,21,13,0,5,2,1,0,0,0,0,0,0,0,0,Matches
b4cf5806,58,44,0,4,5,5,0,8,1,0,2,4,1,0,Matches
e0b113a7,83,55,4,5,11,6,2,6,4,0,0,0,1,1,Matches
30941e96,41,27,9,3,1,1,0,5,4,0,1,0,0,0,Matches
0a3f6cde,95,62,12,7,3,10,1,6,4,1,1,0,0,0,Matches
56413b1f,46,41,1,0,1,2,1,5,5,0,0,0,0,0,Matches
86e119e0,137,55,56,4,10,11,1,14,5,6,0,2,1,0,Matches
e26fcca3,6,5,1,0,0,0,0,1,1,0,0,0,0,0,Matches
9fec8860,28,20,6,1,0,1,0,1,1,0,0,0,0,0,Matches
e5478b87,13,9,0,4,0,0,0,0,0,0,0,0,0,0,Matches
2200181e,47,41,0,0,3,1,2,3,3,0,0,0,0,0,Matches
3489184e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
f261abcb,35,31,0,0,1,2,1,2,2,0,0,0,0,0,Matches
3a233281,42,23,9,3,4,2,1,9,5,2,0,1,1,0,Matches
1b278bf5,20,7,3,4,3,3,0,2,1,0,0,1,0,0,Matches
442b56fa,82,65,5,4,2,6,0,12,11,1,0,0,0,0,Matches
7c3ed041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3f7cd8f1,12,12,0,0,0,0,0,2,2,0,0,0,0,0,Matches
a2a85828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
00242b75,19,15,1,0,0,2,1,3,3,0,0,0,0,0,Matches
acc7b7ec,11,9,0,1,1,0,0,0,0,0,0,0,0,0,Matches
b7828a08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47064058,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69374ff5,34,31,0,0,3,0,0,4,4,0,0,0,0,0,Matches
437f2b00,53,29,3,7,8,6,0,4,1,1,0,2,0,0,Matches
fbbc8e15,9,5,0,2,0,2,0,0,0,0,0,0,0,0,Matches
a53b661f,67,44,1,8,6,7,1,8,3,1,1,2,1,0,Matches
8eb55dbb,16,13,0,2,0,1,0,3,3,0,0,0,0,0,Matches
543ddcaf,7,6,0,0,0,0,1,0,0,0,0,0,0,0,Matches
5db45ee5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,Matches
ff182fdc,11,8,0,2,1,0,0,0,0,0,0,0,0,0,Matches
bee0bab1,57,39,3,6,6,3,0,9,7,0,1,0,1,0,Matches
c50281a0,36,27,5,1,2,1,0,2,2,0,0,0,0,0,Matches
070ec0b1,14,12,0,0,1,1,0,2,2,0,0,0,0,0,Matches
fe888e39,60,32,19,2,3,3,1,6,2,4,0,0,0,0,Matches
f4c7c708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
378825c7,27,21,1,0,2,2,1,5,4,0,0,1,0,0,Matches
d5575935,21,13,3,0,1,3,1,1,1,0,0,0,0,0,Matches
9af1f9ff,2,1,0,0,0,1,0,0,0,0,0,0,0,0,Matches
7aac47fe,10,8,0,0,1,1,0,1,0,0,0,0,1,0,Matches
dc62fbee,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
dc62fbee,78,50,8,2,6,8,4,4,2,1,0,1,0,0,Matches
2db2fd7b,19,16,0,0,2,1,0,6,5,0,0,1,0,0,Matches
bb8a42fa,25,22,1,0,0,1,1,1,1,0,0,0,0,0,Matches
635f2732,88,70,2,4,4,5,3,13,9,0,2,0,1,1,Matches
1fda91b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78b9e99c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
d728acae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
01834aa0,20,17,0,1,1,0,1,0,0,0,0,0,0,0,Matches
b4d90315,6,2,0,2,0,2,0,1,0,0,0,0,1,0,Matches
541127d5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7c473e12,9,7,0,0,2,0,0,1,1,0,0,0,0,0,Matches
b797f558,4,3,0,0,1,0,0,0,0,0,0,0,0,0,Matches
a167537f,84,69,3,8,3,1,0,19,16,0,2,1,0,0,Matches
d4a2533d,95,63,14,7,7,4,0,8,6,0,2,0,0,0,Matches
e27da244,14,11,0,0,3,0,0,1,0,0,0,1,0,0,Matches
a7813ac4,93,47,41,2,1,1,1,5,1,4,0,0,0,0,Matches
fbffc4b1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
fbffc4b1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4e204552,23,16,1,6,0,0,0,2,2,0,0,0,0,0,Matches
4e204552,1,1,0,0,0,0,0,1,1,0,0,0,0,0,Matches
ab5b7dc1,49,34,0,11,3,1,0,3,2,0,1,0,0,0,Matches
2bcc6d52,28,19,0,4,2,2,1,2,2,0,0,0,0,0,Matches
05f99a4a,4,3,0,1,0,0,0,0,0,0,0,0,0,0,Matches
9d12e142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
d1273f09,89,41,26,4,7,8,3,6,3,1,0,0,2,0,Matches
a65ce836,14,10,0,3,1,0,0,2,1,0,1,0,0,0,Matches
db401046,6,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
b3b7f5a6,27,20,4,1,1,1,0,2,1,1,0,0,0,0,Matches
7961f7aa,23,14,0,4,3,2,0,4,1,0,0,1,2,0,Matches
c6608135,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
ecab64a0,21,20,0,0,0,0,1,3,3,0,0,0,0,0,Matches
612cb8d3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
33a95e0a,49,35,4,5,1,3,1,5,4,0,1,0,0,0,Matches
042e8a49,87,68,0,11,2,5,1,10,8,0,0,0,2,0,Matches
9f381d8b,68,42,0,6,6,13,1,10,7,0,2,1,0,0,Matches
229cd98a,9,6,0,1,1,1,0,2,1,0,1,0,0,0,Matches
5ddb8f9f,45,38,2,4,0,1,0,10,7,1,2,0,0,0,Matches
0ef89a37,81,67,6,3,2,2,1,12,11,0,0,0,1,0,Matches
5722eced,17,13,2,1,0,1,0,3,2,0,0,0,1,0,Matches
dc62b55d,34,18,0,9,3,3,1,5,2,0,1,1,1,0,Matches
dc62b55d,16,8,0,0,4,3,1,1,0,0,0,1,0,0,Matches
b0a0698b,23,16,2,1,3,0,1,3,1,0,0,2,0,0,Matches
eac044ad,29,18,0,1,3,7,0,3,2,0,0,0,1,0,Matches
db4ed67b,16,14,0,1,1,0,0,3,3,0,0,0,0,0,Matches
aeaf1bc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3eb0f2df,84,59,15,1,5,3,1,6,6,0,0,0,0,0,Matches
d781d855,73,62,1,5,0,3,2,9,8,0,1,0,0,0,Matches
fe641c1a,10,9,0,0,1,0,0,1,1,0,0,0,0,0,Matches
54b4dc4e,87,44,35,2,6,0,0,10,4,6,0,0,0,0,Matches
dc3fa3b5,37,35,1,1,0,0,0,2,2,0,0,0,0,0,Matches
aeed5c06,72,51,3,14,2,2,0,10,7,0,2,0,1,0,Matches
34a0f5ff,25,18,1,3,0,3,0,5,3,0,2,0,0,0,Matches
7d841904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
dc90cfbe,42,35,0,1,3,3,0,7,6,0,0,1,0,0,Matches
7bd5b8fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8954fddc,30,20,5,1,2,2,0,5,4,0,0,1,0,0,Matches
6fd8a334,13,12,0,0,0,0,1,0,0,0,0,0,0,0,Matches
809940aa,66,47,5,3,3,6,2,7,6,0,0,0,1,0,Matches
79ca3e23,17,9,0,4,2,1,1,2,2,0,0,0,0,0,Matches
cf623c78,13,8,2,1,2,0,0,1,1,0,0,0,0,0,Matches
d571df78,15,9,1,1,3,1,0,0,0,0,0,0,0,0,Matches
beb882a8,83,65,0,4,9,2,3,6,4,0,0,1,0,1,Matches
76b2817e,38,27,2,5,1,3,0,4,3,0,1,0,0,0,Matches
6cb0211b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
48035304,9,8,0,0,1,0,0,1,1,0,0,0,0,0,Matches
0b4f388a,53,34,0,6,6,7,0,9,6,0,0,1,2,0,Matches
b48215cd,5,4,0,1,0,0,0,0,0,0,0,0,0,0,Matches
cce7087c,7,3,4,0,0,0,0,0,0,0,0,0,0,0,Matches
b82880c6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
677da306,11,7,3,0,0,1,0,0,0,0,0,0,0,0,Matches
3bb625ac,32,26,0,2,2,1,1,1,1,0,0,0,0,0,Matches
8e58987d,6,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
316162b6,23,15,0,2,1,2,3,2,1,0,0,0,1,0,Matches
f9e7c4ac,32,24,0,2,4,1,1,4,3,0,1,0,0,0,Matches
a92ab7be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9a2e0ccc,53,37,7,1,1,5,2,4,3,0,0,0,1,0,Matches
626fab5f,18,13,1,2,0,2,0,3,2,0,1,0,0,0,Matches
482b70ad,8,7,0,0,1,0,0,1,1,0,0,0,0,0,Matches
f86ad3f5,43,31,11,0,1,0,0,4,4,0,0,0,0,0,Matches
b77f44a4,28,16,1,2,5,3,1,3,0,0,0,1,2,0,Matches
55557b25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4f16405e,12,8,0,1,1,1,1,1,1,0,0,0,0,0,Matches
16daec92,34,20,1,2,3,7,1,4,4,0,0,0,0,0,Matches
3f65898c,35,30,1,0,1,2,1,4,3,0,0,1,0,0,Matches
37f606f0,50,26,20,1,1,2,0,6,4,2,0,0,0,0,Matches
a4f94a0d,68,48,3,1,4,9,3,7,4,0,0,0,3,0,Matches
62ab9184,20,15,0,0,2,2,1,0,0,0,0,0,0,0,Matches
7242b495,48,29,14,0,2,3,0,2,2,0,0,0,0,0,Matches
17376543,10,7,2,0,1,0,0,1,1,0,0,0,0,0,Matches
e5f63987,25,13,0,3,8,1,0,3,1,0,0,2,0,0,Matches
f521b80a,31,27,0,0,4,0,0,6,5,0,0,1,0,0,Matches
431c837b,54,48,0,1,3,0,2,3,2,0,0,1,0,0,Matches
88e357ef,106,75,0,17,10,3,1,17,13,0,3,1,0,0,Matches
deee6467,8,5,0,2,0,1,0,0,0,0,0,0,0,0,Matches
