id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
47064058,51,166,116,12,12,9,5,6,6,0,0
d28339cb,28,61,32,2,3,7,2,2,0,1,1
9d12e142,40,128,88,21,7,4,10,4,4,0,0
db401046,39,119,79,11,6,9,8,5,4,1,0
e4a30d8c,3,9,6,1,0,1,0,0,0,0,0
83e0eeb4,66,214,148,5,6,21,5,6,5,1,0
1e43fad8,26,83,58,4,3,9,3,2,2,0,0
a92ab7be,1,5,4,1,0,0,0,0,0,0,0
fbefefdb,7,19,12,1,1,2,0,0,0,0,0
bcb2ccd8,27,117,91,19,9,5,15,5,4,0,1
2e7ff968,4,6,2,2,0,0,0,1,0,0,1
ad3389d5,47,127,81,18,4,10,9,4,3,1,0
27d2618c,48,143,96,9,10,12,8,4,2,1,1
62ba5881,1,3,2,0,0,0,0,0,0,0,0
cd59b9df,1,7,6,1,0,0,0,1,1,0,0
cd59b9df,42,93,51,4,2,10,3,2,1,1,0
bb25c778,9,16,7,2,0,1,1,2,2,0,0
7fe12375,22,78,57,3,5,6,2,0,0,0,0
4a15e95b,40,118,80,1,7,14,2,2,2,0,0
cbac6ec9,43,124,81,8,3,13,5,4,3,0,1
dc29b608,2,4,2,0,0,1,1,1,1,0,0
8778c910,23,56,34,20,3,3,10,3,3,0,0
afb0c500,29,83,53,4,6,8,4,4,3,1,0
a165a577,5,12,7,0,0,2,0,2,1,1,0
0a1cb833,47,153,106,14,11,9,5,4,3,0,1
c89e8aae,11,40,29,5,1,2,1,1,0,0,1
206c37d3,1,1,0,0,0,0,0,1,1,0,0
c476b0c0,62,170,108,12,5,15,5,7,7,0,0
a70b8345,0,7,7,1,0,0,1,0,0,0,0
e385200c,2,6,4,0,0,1,0,0,0,0,0
0d55d942,60,170,110,7,12,14,5,7,7,0,0
420c18a1,42,156,114,16,7,11,13,3,3,0,0
ce17b5eb,48,158,111,14,9,10,8,1,1,0,0
73e2f6eb,3,6,3,0,0,1,0,1,1,0,0
7d3e7da6,9,23,14,4,3,1,2,3,2,0,1
5c4bf6ba,14,49,35,4,4,2,2,0,0,0,0
a0606ae8,70,179,113,7,7,20,6,3,2,0,1
