id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
0a1cb833,0,6,2,42.0,4.0,234,576,915,185,256,482,27,17,35319.0,12697.6,181.9
0d55d942,1,7,4,41.4,-7.6,313,779,1041,123,307,529,28,22,42472.8,19371.7,312.4
0d8a37c2,0,0,0,10.2,0.2,31,88,153,15,34,63,3,5,5676.3,1812.2,74.0
16b8fabd,0,1,0,1.5,-2.5,3,25,33,0,8,15,1,1,1257.3,451.2,12.8
17376543,0,0,0,1.5,-1.5,28,57,52,7,23,41,2,1,2542.8,1522.6,14.5
1e43fad8,1,3,1,35.3,-0.7,190,476,714,126,236,456,53,18,27346.2,11186.4,196.2
2628fd2b,2,3,0,35.2,-4.8,194,536,995,134,250,366,29,34,34825.0,11525.0,489.6
27d2618c,0,7,1,35.8,-7.2,286,761,882,101,249,483,37,15,38808.0,14417.1,178.5
2e7ff968,2,11,0,42.0,0.0,264,552,881,150,267,440,29,17,33301.8,11908.2,212.5
3cd9e95a,0,7,0,66.5,-3.5,302,746,787,84,299,592,25,31,34706.7,17132.7,424.7
420c18a1,0,6,1,39.3,-1.7,178,482,1009,143,246,524,42,22,33599.7,10996.2,255.2
47064058,1,9,2,42.6,-3.4,223,590,1181,179,261,480,37,28,39445.4,12501.9,350.0
4a15e95b,0,4,1,36.8,-0.2,135,409,506,79,199,332,20,18,20543.6,11104.2,266.4
5b52d1f7,0,0,0,0.7,0.7,4,18,48,9,9,18,1,1,1531.2,384.3,20.3
5c4bf6ba,1,3,1,21.3,-4.7,100,279,386,75,126,211,11,19,14938.2,6904.8,271.7
73e2f6eb,1,11,0,42.1,-2.9,230,518,875,161,275,508,24,20,30712.5,11137.5,248.0
7d3e7da6,1,2,3,25.3,2.3,137,328,795,141,153,247,15,37,25837.5,6089.4,569.8
7fe12375,0,0,0,3.5,-0.5,10,26,65,12,14,31,5,1,2086.5,495.6,6.6
83e0eeb4,0,0,0,6.8,-2.2,23,51,97,20,25,55,8,3,3395.0,987.5,37.8
8778c910,0,0,0,2.6,0.6,12,23,78,11,17,15,1,4,2480.4,537.2,60.4
9d12e142,2,3,0,45.5,2.5,163,481,1050,185,237,404,40,38,34020.0,11778.9,532.0
a0606ae8,2,2,0,40.7,4.7,296,834,1029,123,300,547,34,37,44041.2,17700.0,503.2
a165a577,0,0,0,4.1,0.1,3,10,33,6,6,14,0,1,1023.0,162.0,17.0
ad3389d5,2,7,2,41.3,-1.7,271,662,1058,164,241,483,46,59,39357.6,13520.1,896.8
afb0c500,0,0,0,0.3,0.3,5,13,13,3,9,7,0,1,509.6,471.6,30.0
bb25c778,0,0,0,3.5,1.5,30,79,108,5,28,39,0,4,4482.0,1237.6,72.8
bcb2ccd8,0,8,0,47.1,-4.9,223,545,895,152,206,440,36,33,32220.0,10423.6,458.7
cbac6ec9,0,2,0,6.6,-0.4,21,85,116,25,41,81,1,4,4408.0,2320.6,61.2
d6f6ce93,1,1,0,15.5,0.5,51,168,480,49,65,114,16,15,15696.0,2652.0,228.0
db401046,1,4,2,50.4,4.4,248,654,1043,210,288,522,57,30,39634.0,14976.0,363.0
dc29b608,0,0,0,1.1,0.1,11,18,35,6,7,11,0,2,1144.5,333.2,30.6
f71890f5,0,5,0,14.0,-4.0,78,216,322,55,117,209,19,22,11688.6,6423.3,338.8
