id,GA,PKA,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
47064058,51,6,0,4,2,49.4,0.4,134,407,1143,176,204,417,14,53,34175.7,6528.0,969.9
8758ddf4,1,0,0,0,0,0.8,-0.2,4,17,33,9,10,14,1,2,1164.9,254.0,20.6
d28339cb,1,0,0,0,0,2.8,1.8,2,10,30,6,9,31,1,0,882.0,225.0,0.0
9d12e142,30,4,0,6,0,28.4,-1.6,62,166,519,108,110,187,4,13,15310.5,3839.0,211.9
db401046,33,3,1,2,1,32.7,0.7,191,462,1048,166,203,450,25,57,34164.8,9825.2,986.1
dee3013b,10,1,0,1,0,8.6,-1.4,4,19,59,16,27,49,3,4,1746.4,639.9,47.6
1e43fad8,50,3,1,8,2,41.5,-6.5,91,350,638,119,183,374,12,20,21373.0,8509.5,252.0
a92ab7be,6,2,0,0,0,7.3,1.3,29,59,96,10,27,55,0,2,3561.6,1671.3,23.8
17376543,54,6,0,2,3,53.2,2.2,193,565,1087,214,297,619,33,36,37066.7,13275.9,576.0
37998008,7,0,0,0,0,7.9,0.9,8,23,136,26,25,39,1,7,3345.6,565.0,121.8
bcb2ccd8,30,3,0,1,0,26.8,-3.2,96,222,1003,172,168,315,15,65,27783.1,4317.6,1280.5
2e7ff968,16,2,0,1,1,15.1,0.1,75,155,426,71,123,176,8,8,12396.6,4858.5,96.8
3cd9e95a,59,7,1,5,0,53.7,-5.3,234,530,1110,120,221,469,14,30,39405.0,8199.1,456.0
ad3389d5,29,1,1,0,2,26.6,-0.4,149,419,1208,179,180,322,20,58,38052.0,5904.0,1055.6
27d2618c,13,1,0,2,1,8.0,-4.0,55,141,209,27,73,124,2,3,8088.3,3343.4,36.0
32e7ce92,1,0,0,0,1,0.9,0.9,17,53,73,9,21,47,2,1,2949.2,1127.7,8.6
cd59b9df,54,5,1,3,1,52.5,-0.5,126,315,940,207,280,459,17,42,26508.0,7056.0,667.8
d20f088b,12,0,0,4,1,6.7,-4.3,11,33,51,8,26,42,0,5,1825.8,1011.4,79.0
9321b8ed,3,0,0,0,0,3.3,0.3,5,12,53,14,7,17,0,2,1484.0,270.9,36.0
7fe12375,42,4,0,5,1,39.8,-1.2,180,475,927,108,215,376,18,20,31703.4,9202.0,262.0
11d8aff0,2,0,0,1,0,0.9,-1.1,3,13,44,4,6,13,0,2,1293.6,90.0,40.4
cbac6ec9,46,2,2,3,2,45.3,1.3,165,556,1060,151,271,409,7,36,36040.0,15013.4,626.4
8778c910,42,1,0,5,0,44.2,2.2,123,256,1131,188,186,349,5,105,32572.8,5059.2,2478.0
afb0c500,2,0,0,1,0,1.1,-0.9,1,3,28,2,8,12,1,0,655.2,163.2,0.0
c1242d4e,52,5,0,5,1,54.1,3.1,436,938,1698,121,250,525,17,44,65542.8,12275.0,739.2
0a1cb833,57,4,0,7,3,48.7,-5.3,211,461,865,168,279,567,17,30,29323.5,11411.1,432.0
c41f7379,3,0,1,0,0,4.1,1.1,9,20,89,19,20,26,0,3,2358.5,456.0,66.0
c89e8aae,4,0,0,2,0,3.4,-0.6,11,28,53,5,17,35,0,0,1727.8,807.5,0.0
a70b8345,24,4,0,5,2,21.6,-0.4,44,117,280,67,95,132,8,13,8372.0,3676.5,184.6
0d55d942,39,6,1,2,0,38.9,-0.1,126,288,696,128,220,373,10,19,21715.2,9438.0,275.5
0d8a37c2,6,0,0,1,0,4.8,-1.2,25,75,98,10,46,71,1,5,3665.2,2530.0,79.0
420c18a1,50,6,0,5,0,40.2,-9.8,120,298,1026,123,212,397,7,30,29446.2,6063.2,495.0
ce17b5eb,52,4,1,5,2,44.6,-5.4,222,574,1088,163,265,459,14,51,37427.2,11024.0,800.7
5c4bf6ba,46,5,1,3,1,40.9,-4.1,132,453,824,199,250,470,32,37,29169.6,11500.0,536.5
a0606ae8,1,1,0,0,0,1.2,0.2,6,11,17,4,6,15,1,0,569.5,298.2,0.0
