id,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
00242b75,4,0,0,28,22,2,1,1,0
00963611,6,0,0,15,16,1,0,0,0
009a4f60,4,0,0,25,19,2,0,0,0
00f518d8,0,0,0,7,1,2,0,0,0
0118c54c,1,0,0,10,5,0,0,0,0
01834aa0,5,0,0,15,3,0,0,0,0
042e8a49,2,1,1,6,13,3,1,0,0
048a1cbc,3,0,0,5,6,2,0,0,0
049751d7,0,0,0,12,14,1,0,0,0
054849d2,4,1,1,10,11,0,0,0,0
056d2d95,1,0,0,14,5,1,0,1,0
05ba9d7c,0,0,0,2,2,1,0,0,0
05d548d8,4,0,0,13,8,1,0,0,0
05e2d5ea,2,0,0,4,3,3,0,0,0
05f99a4a,2,0,0,6,11,3,2,0,0
061e8e23,0,0,0,1,9,1,0,0,0
07c7eb0c,3,1,0,30,11,3,0,1,0
07d3bfec,0,0,0,8,5,0,0,0,0
08593525,1,0,0,3,0,0,0,0,0
091c86e2,3,0,0,19,21,1,1,0,0
099e666f,2,0,0,25,6,0,0,0,0
0a084b35,0,0,0,0,1,1,0,0,0
0a16eb36,3,0,0,7,20,3,0,0,0
0a1cb833,0,0,0,0,5,0,0,0,0
0a3f6cde,0,0,0,11,22,12,0,0,0
0a89e877,7,0,0,25,19,0,0,0,0
0b45a8d7,0,0,0,1,0,0,0,0,0
0c61c77c,6,0,0,27,40,11,0,1,0
0c7a48f8,9,2,2,24,24,0,0,1,0
0cc5f4a5,3,0,0,6,27,8,0,0,0
0cf778df,2,0,0,6,9,3,0,0,0
0d55d942,1,0,0,0,4,0,0,0,0
0d8a37c2,1,0,0,0,0,0,0,0,0
0e0102eb,2,0,0,20,26,4,0,0,0
0e6bc38c,0,0,0,4,7,9,0,0,0
0f59a7bf,4,0,0,20,27,2,0,1,0
0fbecd11,6,0,0,28,26,1,0,0,0
1025db8e,8,0,0,24,5,2,0,0,0
10549b49,1,0,0,10,1,6,1,0,0
10745192,0,0,0,7,14,0,0,0,0
1238a3f9,1,0,0,9,12,3,1,0,0
13203c45,0,0,0,3,4,0,0,0,0
13d23b29,0,0,0,2,0,0,0,0,0
13ddc856,1,0,0,8,18,5,0,0,0
13fe7b69,1,0,0,5,6,0,0,0,0
14a7af33,2,0,0,37,13,0,0,0,0
15413fa5,6,0,0,19,23,0,0,0,0
15b287da,2,0,0,32,19,6,0,0,0
15f24fe7,1,0,0,6,1,0,0,0,0
15f3ec41,0,0,0,2,20,2,0,0,0
17376543,2,0,0,0,3,0,0,0,0
1866b0f1,0,0,0,1,0,0,0,0,0
19a967ab,0,0,0,13,15,1,1,0,0
1ae836b1,5,0,0,20,41,0,0,0,0
1c86aa16,0,0,0,0,0,0,0,0,0
1cbe4984,7,0,0,19,32,0,0,0,1
1d8e9add,8,0,0,19,11,0,0,0,0
1df0c0b9,4,0,0,20,15,0,0,0,0
1e274a0a,2,0,0,8,3,2,0,0,0
1e43fad8,0,0,0,0,1,0,0,0,0
1f2c7b55,0,0,0,2,2,0,0,0,0
1f3afdcb,0,0,0,7,2,1,0,0,0
1fc4f3d1,1,0,0,20,9,0,0,0,0
1fffae99,1,0,0,13,10,0,0,0,0
20030c06,2,0,0,15,20,3,0,0,0
202b3b68,0,0,0,7,6,2,0,0,0
204dded0,4,0,0,14,14,2,0,0,0
2077ae86,0,0,0,7,12,0,0,0,0
220ace7e,1,0,0,9,14,1,0,0,0
22798128,1,0,0,3,19,0,0,0,0
22919e97,3,0,0,16,5,4,0,0,0
231c67ff,0,0,0,0,1,2,0,0,0
236f02cd,1,0,0,9,44,2,0,0,0
25ab9c9c,0,0,0,5,1,0,0,0,0
271b8617,1,0,0,20,11,7,0,0,0
27270af4,0,0,0,1,0,0,0,0,0
2770726a,2,0,0,12,16,3,0,0,0
277c49ed,0,0,0,13,7,0,0,1,0
2903a856,1,0,0,10,33,15,1,1,0
2979c05a,0,0,0,6,6,3,0,0,0
29ddfb9c,1,0,0,0,0,0,0,0,0
29f7cfd9,4,0,0,19,8,6,0,1,0
2a29eb9b,0,0,0,11,9,1,0,1,0
2b114be3,4,0,0,12,16,2,0,0,0
2b83fa49,1,0,0,1,0,0,0,1,0
2c0558b8,1,0,0,12,26,1,0,0,0
2d61d13a,9,1,1,37,12,0,0,0,1
2e77d607,2,0,0,8,3,0,0,0,0
2f3e911a,1,0,0,18,8,2,0,0,0
2f7fec15,1,0,0,3,5,0,0,0,0
302527b2,3,0,0,12,21,1,0,0,0
30261ba1,1,0,0,4,6,1,0,0,0
30941e96,2,0,0,10,20,6,0,0,0
30ae134d,2,0,0,19,13,2,0,0,0
30c220c3,5,0,0,25,41,2,1,0,0
313254a3,4,1,1,30,5,2,0,0,0
33182cb8,1,0,0,21,4,6,0,0,0
33b554b7,1,0,0,9,7,0,0,0,0
346d51d9,5,0,0,17,17,0,0,0,0
34b0387f,2,0,0,14,18,3,0,0,0
34b54da7,0,0,0,2,0,0,0,0,0
34e12499,3,0,0,14,15,1,0,0,0
34e4343c,4,0,0,13,7,6,0,0,0
35d64857,4,0,0,24,13,1,0,0,0
35f67a30,0,0,0,1,2,2,0,0,0
36578017,0,0,0,1,0,0,0,0,0
36a3ff67,2,0,0,15,15,3,1,0,0
36a59ba4,0,0,0,4,8,0,0,0,0
36d9dabe,1,0,0,5,5,1,0,1,0
3745e8bd,2,0,0,19,7,2,0,0,0
378825c7,5,1,1,18,35,2,0,0,1
37998008,0,0,0,0,0,0,0,0,0
37dc1a48,2,0,0,15,16,3,1,0,0
37f606f0,6,0,0,27,9,1,0,0,0
3b1ed320,0,0,0,7,2,0,0,0,0
3b61c9ec,1,0,0,8,8,0,0,0,0
3bb625ac,3,0,0,16,13,0,0,0,0
3c200e05,0,0,0,0,0,0,0,0,0
3c6089ab,0,0,0,3,5,5,0,0,0
3eb0f2df,0,0,0,1,1,0,0,0,0
3eeb80e0,1,0,0,15,5,2,0,0,0
3effaa34,2,0,0,24,35,10,0,0,0
41bff4fa,1,0,0,5,2,0,0,0,0
420c18a1,1,0,0,1,0,0,0,0,0
437f2b00,5,0,0,48,36,4,2,0,0
441197b8,3,0,0,28,11,0,0,1,1
442b56fa,4,0,0,22,26,3,0,0,0
44a20f0c,6,0,0,13,16,1,0,1,0
45a03961,3,0,0,16,11,4,0,1,0
45e95f21,1,0,0,4,4,0,0,0,0
462475ed,1,0,0,11,4,1,0,0,0
463503e2,0,0,0,0,0,0,0,0,0
47064058,1,0,0,0,0,0,0,0,0
48035304,1,0,0,12,9,1,0,0,0
48780156,0,0,0,0,0,0,0,0,0
49296448,5,1,1,17,33,0,0,0,0
496aeede,3,0,0,27,13,4,0,0,0
49fe9070,2,0,0,5,9,9,0,0,0
4aea5077,1,0,0,3,2,0,0,0,0
4b96c347,1,0,0,7,15,1,0,0,0
4c6facae,5,0,0,23,31,0,0,0,0
4ccd8957,0,0,0,4,2,0,0,0,0
4e204552,0,0,0,1,1,4,0,0,0
4f16405e,4,0,0,24,37,20,0,0,0
4f627629,1,0,0,5,2,0,0,0,0
501055d8,5,0,0,11,18,0,0,0,0
50871bcc,1,0,0,14,5,4,0,0,0
5154b2ba,1,0,0,4,1,0,0,0,0
526ea7cc,8,0,0,20,8,2,0,1,0
52afb588,0,0,0,4,6,0,0,0,0
53070b63,0,0,0,0,1,0,0,0,0
5360a956,0,0,0,0,0,0,0,0,0
5458f670,0,0,0,6,2,4,0,0,0
54b4dc4e,3,0,0,21,16,0,0,0,0
54e4866f,1,0,0,4,19,1,1,0,0
5521f419,2,0,0,16,16,1,0,0,0
554bcc91,3,0,0,14,9,0,0,0,0
555d5edd,3,0,0,10,19,3,0,0,0
56413b1f,1,0,0,7,10,0,0,0,0
5762be5c,8,0,0,16,16,0,0,0,0
57d88cf9,6,0,0,25,58,1,0,0,0
57ec75bf,0,0,0,3,0,0,0,0,0
582a5247,3,0,0,13,12,0,0,0,0
591477c9,2,0,0,8,6,0,0,2,0
59e4b92e,6,0,0,38,10,0,0,0,0
5ad50391,1,0,0,14,12,0,0,1,1
5c4bf6ba,1,0,0,0,3,0,0,0,0
5c50fdbc,1,0,0,3,8,2,0,0,0
5c899683,0,0,0,0,1,0,0,0,0
5d4f7d61,0,0,0,5,16,0,0,0,0
5d8e331f,7,0,0,46,37,1,0,2,0
5dc15574,1,0,0,4,5,0,0,0,0
5ddb8f9f,0,0,0,4,1,1,0,0,0
5e080f73,1,0,0,1,0,0,0,0,0
5e66fa06,3,0,0,21,22,1,0,0,0
603cb947,1,0,0,5,18,7,0,0,0
610aa1e9,5,2,2,7,1,0,0,2,0
61590953,1,0,0,11,7,0,0,1,0
6190474d,2,0,0,12,6,1,1,0,0
626fab5f,0,0,0,4,0,0,0,0,0
62ab9184,2,0,0,13,15,1,0,1,0
635f2732,2,0,0,11,24,0,0,0,0
638a4d71,2,0,0,1,13,9,1,0,0
65857fdf,1,0,0,5,6,2,0,0,0
65bf7e2b,0,0,0,0,0,0,0,0,0
66385c46,0,0,0,0,0,0,0,0,0
663e080e,0,0,0,1,3,0,0,1,0
677da306,1,0,0,16,10,0,0,0,0
689c9cf4,1,0,0,15,5,0,0,2,0
691bef82,0,0,0,1,0,0,0,0,0
69374ff5,0,0,0,2,6,0,0,0,0
697dc00a,0,0,0,1,1,0,0,0,0
699fb8db,1,0,0,7,1,0,0,0,0
6a52a6c6,0,0,0,0,0,0,0,0,0
6b8887c2,0,0,0,10,10,10,0,0,0
6bd5cd5d,3,0,0,12,20,0,0,1,0
6c731625,1,0,0,2,0,5,0,0,0
6ce43701,0,0,0,6,7,1,0,0,0
6e17c802,1,0,0,8,3,0,0,0,0
6ec6fde0,7,0,0,18,10,0,0,0,0
6ecbddf6,2,0,0,13,12,2,1,0,0
6f8cd6d0,3,0,0,25,29,14,0,0,0
706a60e1,0,0,0,1,0,0,0,0,0
70dcf94d,0,0,0,22,25,1,0,0,0
71ec39ef,0,0,0,26,27,1,1,0,0
7242b495,4,0,0,14,15,0,0,0,0
72984eee,0,0,0,7,6,1,0,0,0
73000a79,1,0,0,6,4,0,0,0,0
74f2e748,3,0,0,15,48,3,0,0,0
76b2817e,0,0,0,2,2,0,0,0,0
76fa965f,3,0,0,24,10,0,0,0,0
778ccc44,0,0,0,0,0,0,0,0,0
792ffa71,0,0,0,1,0,0,0,0,0
79c90e45,1,0,0,16,12,1,0,0,0
79ca3e23,4,0,0,16,18,1,0,0,0
79f7302a,1,0,0,5,3,0,1,0,0
7aac47fe,0,0,0,0,1,0,0,0,0
