id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
00242715,1135,1567,22239.0,10267.0,403,478,566,715,147,312,1,2.1,1.5,-1.1,15,98,14,7,117
00242b75,449,702,6871.0,2878.0,225,316,178,236,27,74,2,2.7,2.1,-0.7,18,46,9,2,76
00844823,808,933,16038.0,6293.0,263,295,448,492,94,137,0,0.1,0.2,-0.1,2,49,2,0,57
00963611,848,1081,16426.0,6606.0,332,371,394,473,108,192,0,0.3,0.5,-0.3,5,66,5,2,82
009a4f60,417,563,6692.0,2154.0,223,265,147,194,32,60,2,0.9,0.8,1.1,8,19,5,3,32
016ff750,431,575,6443.0,1798.0,255,294,132,184,30,62,0,1.2,1.7,-1.2,17,25,9,3,30
01834aa0,752,922,16904.0,5637.0,164,195,442,488,141,211,1,0.0,0.1,1.0,1,26,3,1,43
02760e49,81,116,1288.0,402.0,42,53,24,33,8,14,1,0.6,0.5,0.4,7,6,3,1,8
028e70b9,21,27,230.0,13.0,15,20,5,6,0,0,0,0.1,0.1,-0.1,1,2,0,0,0
042e8a49,662,844,10231.0,1779.0,358,409,220,280,52,80,10,6.4,7.2,3.6,45,19,43,21,76
048a1cbc,1841,2151,27469.0,10173.0,1054,1151,613,704,112,172,10,7.4,8.7,2.6,55,188,56,10,243
05439de2,1929,2290,35563.0,12318.0,736,817,1003,1125,172,283,4,2.1,3.1,1.9,28,212,35,4,242
054849d2,591,829,10018.0,3373.0,266,319,248,324,58,126,1,1.1,1.3,-0.1,15,23,16,9,37
056d2d95,1092,1552,19417.0,7961.0,534,613,371,497,160,348,9,5.9,5.9,3.1,59,57,36,27,85
05ba9d7c,340,471,4667.0,1049.0,207,259,94,126,15,27,1,2.6,1.9,-1.6,15,17,9,3,29
05d548d8,2320,2654,51168.0,17573.0,535,595,1384,1484,390,523,0,0.8,1.1,-0.8,12,140,10,0,149
05f99a4a,280,401,4102.0,981.0,157,195,82,119,19,29,0,1.9,1.4,-1.9,14,23,8,1,33
