id,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
00242715,1456,76,44,2,8,6,32,0,0,0,0,5,16
00242b75,25,0,0,0,0,0,0,0,0,0,0,1,1
00844823,1888,51,47,1,13,13,3,1,1,0,0,4,15
00a6485f,682,172,5,0,5,36,167,0,0,0,0,2,32
00c3d4dc,4,0,0,0,0,1,0,0,0,0,0,0,0
012c38ec,3,0,0,0,0,0,0,0,0,0,0,0,0
016ff750,1235,389,68,0,11,156,263,58,12,45,0,10,43
01c3aff5,624,85,3,3,5,11,80,0,0,0,0,7,15
032f894e,347,21,3,0,1,20,10,8,7,1,0,0,5
03bd0bf4,316,9,9,0,3,0,0,0,0,0,0,2,3
042e8a49,673,5,0,1,1,55,5,0,0,0,0,2,28
048a1cbc,1053,109,35,3,3,65,37,37,10,19,0,3,18
04c11885,394,9,8,0,2,9,1,0,0,0,0,2,16
05439de2,1843,300,30,1,9,115,265,5,0,5,0,10,52
05d548d8,1717,28,21,3,10,3,7,0,0,0,0,6,8
05f99a4a,50,0,0,1,0,6,0,0,0,0,0,1,2
061e8e23,220,15,3,0,2,2,2,0,0,0,0,1,5
070ec0b1,1635,34,33,0,2,0,1,0,0,0,0,7,9
080440a4,1385,59,47,4,14,7,12,0,0,0,0,6,25
088ca1bd,1024,377,45,0,10,122,277,55,7,36,6,5,31
09586899,300,32,2,1,0,22,19,11,7,2,1,1,7
096a77c4,260,30,4,0,3,46,9,17,6,6,0,0,7
0999a593,5,0,0,0,0,0,0,0,0,0,0,0,0
09bcc566,373,21,1,2,3,48,13,0,0,0,0,1,21
0a1cb833,816,413,109,0,6,0,0,0,0,0,0,3,1
0a89e877,34,6,1,0,1,2,5,0,0,0,0,0,0
0b4f388a,253,5,0,5,2,6,1,0,0,0,0,4,20
0c3057a9,359,64,1,0,3,9,5,0,0,0,0,2,18
0c61c77c,562,26,5,2,10,41,2,5,3,1,0,3,18
0d55d942,850,420,90,0,0,0,0,0,0,0,0,3,1
0e0ab524,108,2,2,0,0,0,0,0,0,0,0,0,0
0e4fef6e,253,9,9,0,3,1,0,0,0,0,0,1,1
0f26fd24,177,17,1,0,2,25,8,0,0,0,0,1,8
0fbecd11,491,14,14,1,5,2,0,0,0,0,0,3,13
1025db8e,1149,65,60,1,27,5,5,0,0,0,0,6,17
106bca06,443,33,1,1,2,14,32,0,0,0,0,3,17
11fd2b75,469,4,4,0,2,1,0,0,0,0,0,4,3
1238a3f9,454,22,0,1,1,21,2,0,0,0,0,3,22
13203c45,1109,250,24,1,11,108,226,0,0,0,0,2,42
13ddc856,160,1,0,0,0,9,1,0,0,0,0,1,11
150d5992,0,0,0,0,0,0,0,0,0,0,0,0,0
15ea94de,58,5,0,0,0,3,1,0,0,0,0,0,1
15fd5593,1205,44,8,1,14,39,22,14,8,6,0,2,36
16daec92,582,30,10,4,3,25,5,13,4,5,0,5,23
17611373,413,37,1,5,3,4,2,0,0,0,0,2,25
17695062,17,1,1,0,0,0,0,0,0,0,0,0,1
17780d2b,1453,37,36,2,21,0,1,0,0,0,0,3,10
1ae836b1,391,19,6,1,10,13,11,2,2,0,0,1,14
1bcca8b8,815,130,53,8,10,108,6,71,31,21,0,7,22
1bf33a9a,493,34,4,1,0,39,5,25,3,16,1,4,25
1c08a3c8,368,4,1,0,0,2,2,0,0,0,0,0,9
1c96ad85,394,83,5,1,3,45,78,0,0,0,0,1,14
1cd87320,634,121,13,0,3,28,108,0,0,0,0,3,21
1d8e9add,1801,56,51,0,9,2,5,0,0,0,0,3,4
1e43fad8,353,161,41,0,1,0,0,0,0,0,0,2,0
20030c06,960,39,39,0,5,0,0,0,0,0,0,3,8
2042d931,680,27,1,9,3,21,7,0,0,0,0,8,26
206c37d3,2,4,1,0,0,0,0,0,0,0,0,0,0
2200181e,1348,90,79,3,48,4,11,0,0,0,0,2,9
22051fbe,264,91,8,1,3,26,83,0,0,0,0,1,4
229cd98a,116,7,0,0,0,5,2,0,0,0,0,0,6
2374aaca,596,25,1,1,3,45,11,0,0,0,0,6,26
258a6f4d,56,3,0,1,0,1,0,0,0,0,0,0,1
2590ddf7,2,0,0,0,0,0,0,0,0,0,0,0,0
25ab9c9c,843,30,30,0,9,0,0,0,0,0,0,3,11
25c633b0,83,26,0,0,1,3,26,0,0,0,0,0,1
26db8853,1040,36,31,2,6,1,5,0,0,0,0,2,20
278f6efc,47,7,0,0,1,1,7,0,0,0,0,0,0
27d2618c,785,368,89,0,2,0,0,0,0,0,0,7,1
2903a856,1020,99,34,2,16,56,23,41,11,20,1,6,20
2979c05a,30,0,0,1,0,5,0,0,0,0,0,0,8
2a29eb9b,432,127,10,0,7,25,117,0,0,0,0,2,17
2b09d998,511,18,15,4,3,2,3,0,0,0,0,1,12
2b350e6b,2,0,0,0,0,0,0,0,0,0,0,0,0
2b5527c4,432,84,4,0,3,39,80,0,0,0,0,1,15
2bb48e86,20,11,0,0,0,5,10,1,0,0,0,0,1
2bcc6d52,271,35,0,0,2,16,5,0,0,0,0,2,13
2bed2986,244,24,3,0,4,47,3,18,3,14,0,1,17
2d61d13a,544,17,16,0,6,2,1,0,0,0,0,2,8
2db2fd7b,1576,32,26,4,26,7,6,0,0,0,0,8,7
2e7ff968,44,20,7,0,0,0,0,0,0,0,0,0,0
2f3e911a,1281,451,62,2,3,235,302,87,31,50,1,7,42
2ff76adc,107,27,4,0,1,14,23,0,0,0,0,0,6
302527b2,275,24,17,0,13,2,7,0,0,0,0,2,1
30a09cb5,179,8,6,0,1,0,2,0,0,0,0,0,0
30c220c3,1354,244,16,2,6,84,228,0,0,0,0,3,42
31114001,31,2,1,0,0,1,1,0,0,0,0,0,1
316162b6,393,4,0,0,1,10,3,0,0,0,0,3,15
3189f61a,883,66,38,2,5,47,3,19,5,13,1,7,16
33144cc5,35,0,0,0,0,4,0,0,0,0,0,0,3
3376a776,1123,46,46,0,11,5,0,0,0,0,0,3,7
33b554b7,1003,30,18,6,8,9,9,3,0,3,0,6,16
346d51d9,1179,28,28,4,18,2,0,0,0,0,0,0,14
34a0f5ff,236,9,1,0,2,32,6,2,0,0,0,3,8
34b306a1,475,18,18,0,5,0,0,0,0,0,0,1,2
34b54da7,791,16,14,0,10,1,2,0,0,0,0,2,4
34e12499,88,14,2,1,2,0,12,0,0,0,0,0,1
36a3ff67,996,58,37,4,8,39,1,6,2,2,0,10,35
36a59ba4,886,10,5,4,10,23,5,0,0,0,0,9,36
37c213cf,71,7,0,0,0,1,0,0,0,0,0,0,1
37f606f0,136,8,3,0,1,7,1,4,1,3,0,0,2
384d58d9,756,10,3,2,6,14,7,0,0,0,0,2,18
3861d9cc,26,2,0,0,0,1,0,0,0,0,0,0,0
3a233281,831,117,21,0,13,163,24,71,37,30,1,2,45
3c05e082,630,2,2,1,8,8,0,0,0,0,0,5,29
3c6089ab,1219,55,4,5,10,52,22,6,0,1,0,11,50
3cb009c5,1,0,0,0,0,0,0,0,0,0,0,0,0
3dffff26,423,118,3,0,0,28,115,0,0,0,0,0,29
3e81a228,696,16,15,0,0,3,1,0,0,0,0,3,10
3eb0f2df,230,7,4,0,1,5,3,0,0,0,0,1,8
3eeb80e0,54,2,0,0,0,2,2,0,0,0,0,1,6
3f65898c,1359,314,21,2,1,39,292,1,0,0,0,1,45
3f7cd8f1,538,16,16,0,4,2,0,0,0,0,0,1,10
3faa1780,13,3,0,0,0,2,3,0,0,0,0,0,1
41d1fbc6,19,2,0,0,0,0,2,0,0,0,0,0,0
420c18a1,1260,342,78,0,7,0,0,0,0,0,0,5,1
420ff5a3,87,20,7,0,1,22,0,13,4,8,0,0,5
434cf5b7,291,7,1,1,0,1,3,0,0,0,0,0,12
437f2b00,36,0,0,0,1,1,0,0,0,0,0,0,2
441197b8,1083,31,22,1,6,2,9,0,0,0,0,6,13
442b56fa,438,12,8,0,4,4,4,0,0,0,0,1,10
45954ec7,566,32,11,0,14,9,21,0,0,0,0,4,9
45a03961,1413,103,48,0,17,17,55,0,0,0,0,1,11
45b7edae,257,9,8,0,4,0,1,0,0,0,0,0,2
463503e2,1124,42,42,0,13,2,0,0,0,0,0,3,9
47064058,945,339,91,0,9,0,0,0,0,0,0,4,2
48035304,2034,50,34,1,8,1,16,0,0,0,0,2,13
482b70ad,619,51,18,1,2,44,30,1,0,1,0,1,18
49296448,2563,453,75,3,25,254,244,133,37,81,0,10,43
496aeede,705,33,33,2,5,5,0,0,0,0,0,4,5
49fe9070,783,66,4,2,4,47,38,3,0,0,0,6,41
49ffe0f2,464,48,22,2,5,51,0,23,8,9,0,6,20
4a15e95b,606,277,59,0,2,0,0,0,0,0,0,5,0
4d74201d,27,6,0,0,0,4,5,1,1,0,0,0,1
4d8cd038,581,36,2,10,9,17,3,0,0,0,0,6,24
4e204552,509,26,4,6,3,16,7,12,8,3,0,1,16
4e3e4138,14,0,0,0,0,0,0,0,0,0,0,0,0
4f16405e,353,36,0,1,2,6,3,0,0,0,0,3,16
500cd987,91,6,6,0,1,0,0,0,0,0,0,0,1
50871bcc,1186,198,36,8,23,183,55,104,47,44,1,8,38
50e6dc35,414,62,0,1,0,28,0,0,0,0,0,3,15
53070b63,93,1,0,0,0,3,1,0,0,0,0,0,1
531807b3,135,17,1,0,0,3,1,0,0,0,0,0,7
536cebe5,526,17,2,7,3,43,4,0,0,0,0,5,29
53e07d0b,384,37,1,0,2,2,0,0,0,0,0,6,15
541127d5,103,1,0,1,0,0,0,0,0,0,0,1,1
541cdd20,731,106,15,0,11,19,91,0,0,0,0,4,15
54507986,27,8,0,0,0,6,8,0,0,0,0,0,3
549c6ba7,67,3,0,0,0,8,2,0,0,0,0,0,3
54b4dc4e,1250,168,67,12,11,130,19,82,31,45,0,5,21
54b6ee79,254,11,0,6,4,4,3,0,0,0,0,0,9
54e4866f,847,110,32,2,15,91,18,57,41,8,0,3,14
5528407e,1034,169,87,1,3,112,0,80,31,48,1,4,17
555d5edd,360,14,8,2,1,11,6,0,0,0,0,1,7
56413b1f,1593,60,43,2,11,24,3,14,7,7,0,8,25
565bf0da,646,22,20,0,13,8,2,0,0,0,0,3,12
5722eced,149,5,3,1,4,4,0,2,0,1,0,0,7
58007d77,17,0,0,0,0,1,0,0,0,0,0,0,2
58ce23e5,125,12,0,2,0,3,3,0,0,0,0,1,8
5939baa2,952,43,24,2,4,4,19,0,0,0,0,6,13
597ff9d3,3,0,0,0,0,0,0,0,0,0,0,0,0
59e4b92e,1226,35,35,1,5,7,0,0,0,0,0,5,15
5afafbfe,75,1,0,0,1,3,0,1,1,0,0,0,2
5c4bf6ba,232,108,20,0,0,0,0,0,0,0,0,4,0
5c4d9be7,552,224,39,0,8,106,140,45,13,25,3,2,19
5caa62a7,328,24,6,2,0,16,7,9,2,6,0,2,10
5d8e331f,825,56,45,0,4,2,1,0,0,0,0,4,17
5db04597,228,62,5,0,3,23,57,0,0,0,0,1,7
5ddb8f9f,1026,317,4,0,7,116,313,0,0,0,0,11,62
5dfc6ad5,2333,82,73,2,18,2,9,0,0,0,0,7,26
5e1df051,280,37,10,0,0,24,11,10,7,2,0,1,21
5e66fa06,1644,86,74,0,17,5,12,0,0,0,0,3,25
5ed9b537,993,46,46,1,5,2,0,0,0,0,0,3,15
603cb947,966,106,20,6,8,92,23,55,24,20,0,5,31
6190474d,2,0,0,1,0,0,0,0,0,0,0,0,0
61b0b44d,36,0,0,0,0,0,0,0,0,0,0,0,1
61fc9685,332,40,12,2,6,36,4,23,7,13,1,3,10
626fab5f,208,63,2,1,2,25,61,0,0,0,0,2,16
62ab9184,1002,29,11,1,13,51,18,0,0,0,0,6,40
62ba5881,13,3,0,0,0,0,0,0,0,0,0,0,0
635f2732,846,17,9,7,13,22,4,0,0,0,0,6,21
