id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
00242715,1611,1322,287,57,1,9,16,230,0,0,0,0,1206,2,19
00242b75,536,525,6,5,2,1,8,1,0,0,0,0,375,5,18
00672803,69,58,11,0,0,0,3,11,0,0,0,0,48,0,4
00963611,1859,1627,224,69,1,69,7,155,0,0,0,0,1493,8,23
009a4f60,650,522,126,5,0,1,51,120,1,0,0,0,482,2,20
0174ba21,494,447,43,11,2,3,34,11,13,6,3,0,349,4,23
01834aa0,1177,1136,36,31,0,4,0,3,0,0,0,0,1007,5,2
037130ca,179,174,3,3,0,2,2,0,0,0,0,0,150,2,2
042e8a49,707,675,29,2,4,4,79,20,7,4,0,0,547,3,14
048a1cbc,1525,1324,196,39,2,2,39,140,17,4,8,1,1294,5,22
049751d7,88,86,1,0,0,0,1,1,0,0,0,0,66,1,5
054849d2,1184,923,253,15,1,9,92,238,0,0,0,0,795,8,37
056d2d95,1142,818,312,41,3,4,146,210,61,21,36,2,759,12,29
05ba9d7c,326,282,43,1,2,1,14,38,0,0,0,0,239,1,10
05d548d8,1530,1480,47,40,5,8,1,5,0,0,0,0,1333,3,12
05e2d5ea,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
05f99a4a,602,563,34,0,0,4,35,3,0,0,0,0,399,5,30
061e8e23,332,291,40,5,2,2,35,4,24,23,0,0,248,1,7
07c7eb0c,1259,1224,30,28,0,19,10,2,0,0,0,0,960,5,11
07d3bfec,5,5,0,0,0,0,1,0,0,0,0,0,2,0,0
080440a4,1403,1333,69,54,5,11,0,14,0,0,0,0,1079,1,12
08593525,720,706,12,9,1,3,7,1,0,0,0,0,572,2,20
088ca1bd,330,270,59,5,0,3,16,52,2,1,1,0,258,1,8
091c86e2,124,121,2,1,1,2,3,1,0,0,0,0,88,1,5
0a3d6d2b,987,959,28,22,1,2,0,4,0,0,0,0,832,0,7
0a3f6cde,253,223,29,1,3,0,29,27,1,0,0,0,153,1,20
0a89e877,716,619,95,3,2,0,24,92,0,0,0,0,569,2,15
0b104510,1200,898,297,18,0,0,43,279,0,0,0,0,878,5,41
0b4f388a,541,502,36,1,10,2,2,1,0,0,0,0,398,3,18
0c61c77c,338,323,13,2,1,2,19,6,1,1,0,0,251,2,8
0c7a48f8,1198,1060,137,14,2,1,20,104,0,0,0,0,971,1,29
0cc5f4a5,395,372,21,0,2,4,21,1,0,0,0,0,258,2,11
0cddeaa7,266,233,32,9,2,2,12,6,16,6,4,0,215,1,6
0cf778df,698,610,84,28,4,4,61,26,23,4,17,0,553,4,15
0d55d942,829,557,268,64,0,2,0,0,0,0,0,0,598,4,0
0d8a37c2,47,38,9,3,0,0,0,0,0,0,0,0,39,0,0
0da32a38,31,31,0,0,0,0,0,0,0,0,0,0,21,0,1
0e0102eb,460,392,65,13,3,2,44,13,27,2,19,1,315,3,19
0e6bc38c,139,137,2,0,2,0,3,0,0,0,0,0,102,0,5
0f59a7bf,955,902,49,22,3,4,53,1,26,15,10,0,671,4,28
0fbecd11,840,808,28,27,2,5,2,1,0,0,0,0,621,4,16
1025db8e,1210,1131,64,60,2,25,6,4,0,0,0,0,861,15,9
10549b49,108,103,3,0,3,0,2,0,0,0,0,0,79,2,3
106bca06,1068,1009,57,23,1,5,58,3,25,13,10,1,821,2,27
10745192,43,40,2,1,2,0,0,1,0,0,0,0,29,1,0
11d8aff0,21,13,8,1,0,0,0,0,0,0,0,0,18,0,0
1238a3f9,227,209,17,0,1,0,6,0,0,0,0,0,134,1,4
12c35abe,426,411,14,3,6,4,5,9,1,0,0,0,305,1,17
13203c45,918,749,162,7,0,4,50,155,0,0,0,0,675,7,19
13d23b29,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0
13ddc856,378,372,5,0,4,2,34,4,0,0,0,0,244,1,24
13fe7b69,415,379,34,2,0,4,40,15,0,0,0,0,255,2,20
15413fa5,1360,1267,87,74,3,6,18,12,0,0,0,0,1128,6,15
15b287da,869,824,41,0,4,5,27,7,12,7,3,1,672,4,18
15f24fe7,369,333,36,0,2,4,2,2,0,0,0,0,255,0,11
169fd162,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
16daec92,53,46,7,0,0,1,0,7,0,0,0,0,39,0,5
17376543,1245,829,409,121,1,0,0,1,0,0,0,0,831,7,0
17780d2b,94,91,3,3,0,2,2,0,0,0,0,0,65,0,3
17f3620a,82,76,4,0,0,1,3,0,0,0,0,0,50,2,2
18c2e247,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
1940be91,4,3,1,1,0,0,0,0,0,0,0,0,4,0,0
19a967ab,377,302,71,0,1,1,21,70,1,0,0,0,231,4,15
1a4b9094,40,35,5,0,0,0,3,5,0,0,0,0,28,0,3
1a83027b,27,27,0,0,0,0,3,0,0,0,0,0,16,0,2
1ae836b1,799,738,54,24,4,6,41,5,15,7,2,0,520,7,25
1b6d8083,97,89,8,5,0,0,10,0,3,1,2,0,60,0,7
1cbe4984,202,156,46,2,0,2,25,44,0,0,0,0,144,0,7
1d8e9add,2183,2099,81,64,1,13,4,10,0,0,0,0,1920,3,11
1df0c0b9,965,797,165,14,0,8,28,151,0,0,0,0,720,3,24
1e274a0a,115,109,6,1,1,0,8,2,0,0,0,0,66,0,8
1f2d714c,606,574,31,14,1,7,26,1,11,4,6,0,482,1,12
1f3afdcb,1182,1074,105,19,0,9,5,86,0,0,0,0,977,3,15
1f44ac21,476,416,55,0,3,0,8,3,0,0,0,0,331,5,17
20030c06,2045,1984,57,49,1,1,3,3,0,0,0,0,1820,4,13
204dded0,1834,1737,90,34,2,22,21,54,1,1,0,0,1486,7,8
2077ae86,376,366,8,1,7,0,5,0,0,0,0,0,244,2,10
22919e97,101,95,5,0,0,0,5,5,0,0,0,0,73,1,3
229cd98a,51,46,5,0,0,1,3,3,0,0,0,0,34,0,0
236f02cd,1010,790,219,12,3,2,35,207,0,0,0,0,795,1,20
24b8e7bd,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
25ab9c9c,585,554,28,28,0,1,3,0,0,0,0,0,483,3,5
25bdea4b,560,399,157,42,0,0,0,0,0,0,0,0,334,4,0
25f50295,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
271b8617,248,232,16,5,2,1,13,1,3,2,0,0,169,0,7
27270af4,199,187,12,2,0,0,1,10,0,0,0,0,146,0,3
277c49ed,1538,1459,72,68,2,12,7,4,0,0,0,0,1240,7,22
2903a856,1265,1059,198,78,6,5,138,26,91,28,49,3,961,8,36
2979c05a,344,333,8,1,4,1,59,6,0,0,0,0,227,3,8
29ddfb9c,124,119,5,0,0,1,1,5,0,0,0,0,110,0,0
29f7cfd9,157,141,14,0,0,0,10,8,0,0,0,0,116,2,1
2a29eb9b,1238,996,237,9,0,5,49,228,0,0,0,0,898,5,24
2a6cd437,635,622,12,10,0,3,0,1,0,0,0,0,545,1,4
2b09d998,918,882,32,16,1,0,2,14,0,0,0,0,794,4,15
2b114be3,996,954,39,9,6,4,38,10,16,7,3,2,821,3,15
2b7c56b4,193,186,6,0,2,4,2,4,1,0,0,0,140,1,11
2b83fa49,305,233,72,6,1,0,28,66,0,0,0,0,217,0,14
2c0558b8,710,692,13,1,4,2,5,9,0,0,0,0,595,5,13
2e7ff968,177,139,38,8,0,0,0,0,0,0,0,0,155,0,1
2f3e911a,1126,872,249,27,1,4,180,126,96,53,35,0,768,5,24
2f7fec15,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
302527b2,1757,1693,61,54,1,20,8,7,0,0,0,0,1491,3,11
30261ba1,197,179,18,2,2,0,6,14,0,0,0,0,144,0,3
30941e96,1516,1201,304,47,0,6,187,205,52,26,9,0,1082,11,20
30ae134d,195,194,0,0,0,0,2,0,0,0,0,0,125,1,3
313254a3,96,77,19,2,0,0,5,17,0,0,0,0,59,0,6
32c016f8,22,17,5,1,0,0,1,1,0,0,0,0,15,0,1
34a0f5ff,33,33,0,0,0,1,1,0,0,0,0,0,26,0,2
34b0387f,647,626,16,4,3,4,28,6,4,4,0,0,466,5,21
34b54da7,121,117,4,4,0,0,1,0,0,0,0,0,88,0,0
34e12499,1750,1679,66,47,4,35,9,10,0,0,0,0,1403,5,23
