id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
00844823,25,2250,25,25,25,0,1,1,30,29,1,30.9,35.1,-4.2,0,0,0,0
00a6485f,23,1927,21,22,16,1,4,1,20,23,-3,25.0,21.4,3.6,0,0,0,0
00f36fae,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
012c38ec,1,55,0,1,0,0,1,3,1,0,1,0.5,1.1,-0.6,0,0,0,0
016ff750,26,1864,20,19,16,7,0,1,29,26,3,27.8,29.0,-1.2,0,0,0,0
0174ba21,3,69,0,1,0,2,2,1,1,3,-2,1.2,1.6,-0.4,0,0,0,0
01c3aff5,22,1263,14,13,8,9,4,1,19,18,1,18.2,16.4,1.7,0,0,0,0
01e5f06e,2,9,0,0,0,2,1,3,0,0,0,0.1,0.0,0.0,0,0,0,0
032f894e,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
03bd0bf4,34,3060,34,34,34,0,0,1,53,37,16,46.7,40.2,6.6,0,0,0,0
042e8a49,21,1153,12,10,6,11,0,2,34,8,26,28.1,9.6,18.4,0,0,0,0
048a1cbc,9,547,6,6,3,3,2,1,11,10,1,10.7,7.9,2.8,0,0,0,0
04c11885,28,2055,22,23,16,5,6,1,31,36,-5,30.3,42.3,-12.0,0,0,0,0
05439de2,23,1551,17,17,14,6,0,2,51,10,41,41.5,13.8,27.7,0,0,0,0
05d548d8,26,2213,24,25,23,1,5,2,65,20,45,55.3,24.5,30.8,0,0,0,0
061e8e23,20,1203,13,15,6,5,2,1,31,12,19,25.1,14.8,10.3,0,0,0,0
0674ebf1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
070ec0b1,29,2345,26,29,24,0,1,1,43,35,8,41.6,28.1,13.5,0,0,0,0
080440a4,30,2655,29,29,29,1,0,1,38,39,-1,38.0,36.7,1.3,0,0,0,0
088ca1bd,25,1473,16,15,10,10,6,1,16,23,-7,16.6,20.6,-3.9,0,0,0,0
09586899,21,1507,16,19,7,2,3,2,45,12,33,37.8,11.8,26.0,0,0,0,0
096a77c4,7,201,2,1,0,6,3,1,1,3,-2,3.7,3.2,0.5,0,0,0,0
0999a593,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0a1cb833,34,3060,34,34,34,0,0,1,37,40,-3,38.9,45.1,-6.2,3060,34,34,34
0a89e877,23,1268,14,11,9,12,9,1,27,22,5,27.1,18.8,8.3,0,0,0,0
0b4f388a,21,919,10,9,2,12,7,1,20,13,7,15.3,13.6,1.7,0,0,0,0
0cddeaa7,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0cf778df,2,95,1,1,0,1,0,1,1,0,1,1.8,0.4,1.4,0,0,0,0
0d55d942,33,2906,32,33,32,0,0,1,28,53,-25,38.3,44.6,-6.3,2906,33,33,32
0d8a37c2,5,435,4,4,4,1,29,0,3,10,-7,5.7,8.0,-2.4,435,5,4,4
0dabaf14,6,305,3,3,1,3,11,0,4,3,1,4.2,4.0,0.2,0,0,0,0
0e0ab524,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0eb5720b,17,1445,16,17,14,0,6,0,13,26,-13,14.2,27.4,-13.1,0,0,0,0
0f163121,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0f26fd24,18,949,10,11,3,7,9,1,10,12,-2,13.2,16.1,-2.9,0,0,0,0
0fbecd11,28,1664,18,18,8,10,4,1,25,27,-2,29.8,21.8,8.1,0,0,0,0
1025db8e,27,2385,26,27,26,0,0,1,34,36,-2,34.7,31.2,3.5,0,0,0,0
106bca06,15,808,9,9,5,6,9,2,11,9,2,10.5,9.9,0.6,0,0,0,0
11dbba47,24,1299,14,14,3,10,7,1,22,21,1,23.1,18.1,5.0,0,0,0,0
11fd2b75,9,771,8,8,8,1,0,1,14,15,-1,12.2,12.5,-0.4,0,0,0,0
1238a3f9,27,1886,21,19,12,8,0,1,28,32,-4,29.0,29.0,0.0,0,0,0,0
1238d5c3,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
