id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
00242715,33,2789,31.0,32,30,1,1,1.21,41,53.0,-12.0,-0.72,47.6,53.8,-6.3,0.39,0,0,0,0.0
00242b75,1,90,1.0,1,1,0,2,0.0,1,5.0,-4.0,-3.79,1.6,3.1,-1.5,-1.27,0,0,0,0.0
00844823,30,2637,29.3,30,28,0,0,1.63,47,36.0,11.0,0.8,42.2,46.3,-4.1,0.34,0,0,0,0.0
00a6485f,24,1776,19.7,21,15,3,5,1.0,23,35.0,-12.0,1.21,22.8,33.6,-10.9,0.1,0,0,0,0.0
00c3d4dc,3,29,0.3,0,0,3,0,0.33,0,0.0,0.0,1.19,0.1,0.7,-0.5,-0.74,0,0,0,0.0
00f36fae,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
012c38ec,1,1,0.0,0,0,1,1,3.0,0,0.0,0.0,-1.65,0.0,0.0,0.0,-1.72,0,0,0,0.0
016ff750,31,2741,30.5,31,29,0,0,1.26,45,54.0,-9.0,-0.58,46.2,57.0,-10.9,-0.47,0,0,0,0.0
01c3aff5,24,1746,19.4,19,14,5,1,1.0,18,32.0,-14.0,-0.45,27.3,24.9,2.3,0.59,0,0,0,0.0
01e5f06e,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
032f894e,17,577,6.4,4,2,13,13,1.94,16,9.0,7.0,-0.68,17.0,6.4,10.6,-0.07,0,0,0,0.0
03bd0bf4,7,630,7.0,7,7,0,9,0.57,5,11.0,-6.0,-0.41,8.3,7.9,0.4,0.24,0,0,0,0.0
042e8a49,21,1378,15.3,17,5,4,0,2.57,42,13.0,29.0,0.45,38.0,12.3,25.6,-0.08,0,0,0,0.0
048a1cbc,23,1527,17.0,17,7,6,5,2.22,40,21.0,19.0,0.06,31.7,15.3,16.4,0.67,0,0,0,0.0
