id,MP,Min,90s,Starts,Compl,Subs,unSub,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
00242715,32,2866,31,32,31,0,0,37,45,-8,48.2,44.2,4.0,0,0,0,0
00242b75,29,2303,25,27,13,2,4,28,37,-9,38.9,39.5,-0.5,0,0,0,0
00844823,18,1222,13,12,12,6,16,12,29,-17,13.8,23.3,-9.4,0,0,0,0
00963611,21,1463,16,19,8,2,4,24,22,2,19.2,23.7,-4.5,0,0,0,0
009a4f60,24,1069,11,10,4,14,9,17,18,-1,15.2,14.3,0.9,0,0,0,0
016ff750,22,1240,13,13,5,9,1,25,24,1,23.7,17.8,5.9,0,0,0,0
01834aa0,24,2083,23,23,23,1,1,21,40,-19,27.2,37.0,-9.8,0,0,0,0
02760e49,7,371,4,5,0,2,8,3,9,-6,4.2,7.8,-3.6,0,0,0,0
028e70b9,3,92,1,1,0,2,2,1,3,-2,0.6,1.3,-0.8,0,0,0,0
042e8a49,29,1752,19,23,3,6,2,49,24,25,41.5,23.2,18.3,0,0,0,0
048a1cbc,27,2218,24,25,19,2,1,58,34,24,50.4,29.6,20.8,0,0,0,0
05439de2,32,2675,29,30,27,2,0,82,43,39,62.7,37.5,25.2,0,0,0,0
054849d2,18,1560,17,18,14,0,1,21,24,-3,20.2,27.4,-7.2,0,0,0,0
055d99e1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
056d2d95,31,2572,28,30,22,1,1,40,38,2,38.9,36.0,2.8,0,0,0,0
05ba9d7c,31,1506,16,17,2,14,1,25,32,-7,25.2,25.0,0.2,0,0,0,0
05d548d8,33,2813,31,32,27,1,0,67,45,22,62.2,38.4,23.8,0,0,0,0
05f6fd87,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,0
05f99a4a,29,1373,15,16,1,13,2,17,29,-12,22.5,27.6,-5.1,0,0,0,0
061e8e23,24,1111,12,13,1,11,4,27,16,11,18.9,16.8,2.1,0,0,0,0
0630eb63,12,611,6,5,2,7,1,8,6,2,9.4,7.3,2.1,0,0,0,0
070ec0b1,18,1170,13,14,8,4,2,20,17,3,13.3,13.8,-0.5,0,0,0,0
072f1ccc,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,0,0
080440a4,29,2527,28,29,27,0,0,54,42,12,50.3,35.7,14.6,0,0,0,0
08593525,31,2563,28,31,18,0,1,45,47,-2,43.1,41.8,1.3,0,0,0,0
088ca1bd,31,2393,26,27,17,4,0,38,40,-2,35.2,39.9,-4.7,0,0,0,0
096a77c4,7,98,1,1,0,6,17,2,1,1,2.1,0.8,1.3,0,0,0,0
0a1cb833,34,3060,34,34,34,0,0,36,57,-21,32.9,53.2,-20.3,3060,34,34,34
0a3d6d2b,14,1033,11,12,8,2,9,16,14,2,14.3,12.5,1.8,0,0,0,0
0a89e877,13,540,6,5,3,8,7,9,7,2,11.2,6.1,5.0,0,0,0,0
0b4f388a,31,1440,16,16,7,15,0,29,28,1,29.0,23.4,5.6,0,0,0,0
0b7dae21,11,899,10,11,9,0,6,10,19,-9,8.3,16.5,-8.2,0,0,0,0
0c61c77c,29,1855,20,21,3,8,0,29,35,-6,26.5,30.2,-3.7,0,0,0,0
0cddeaa7,18,421,4,2,0,16,13,13,5,8,8.8,7.5,1.4,0,0,0,0
0d55d942,26,2340,26,26,26,0,8,34,39,-5,32.3,36.5,-4.2,2340,26,26,26
0d8a37c2,4,344,3,3,3,1,30,9,6,3,6.2,5.2,1.0,344,4,3,3
