id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
00242715,1854,175,842,812,211,20,1853,24,12,12,938,5560.0,3196.0,47,28,4,25,7,977,18
00242b75,1028,78,286,490,256,51,1028,14,5,9,351,1311.0,521.0,11,14,1,34,11,425,42
00844823,1068,123,544,524,11,0,1068,2,1,1,665,3948.0,2240.0,14,4,0,5,4,708,0
00963611,1315,121,576,662,88,21,1315,14,9,5,616,2707.0,1442.0,10,12,1,17,7,716,2
009a4f60,685,25,205,337,148,5,685,19,11,8,322,1565.0,571.0,15,9,1,24,13,390,38
016ff750,707,26,148,342,225,28,707,26,14,12,372,2187.0,1000.0,33,28,11,16,8,444,71
01834aa0,1164,181,717,412,42,27,1164,6,4,2,626,2776.0,1131.0,4,4,0,7,0,682,4
02760e49,157,2,21,80,58,8,157,1,1,0,82,436.0,158.0,3,3,1,13,6,84,20
028e70b9,38,0,2,14,22,8,38,0,0,0,13,23.0,9.0,0,0,1,4,1,28,3
042e8a49,1091,7,85,334,681,121,1091,92,56,36,764,5409.0,2789.0,103,45,43,49,38,891,268
048a1cbc,2384,61,489,1153,754,94,2384,48,32,16,1419,6892.0,4115.0,86,59,17,40,19,1733,169
05439de2,2539,146,836,1396,329,24,2539,19,16,3,1654,9691.0,5512.0,56,38,2,20,12,1856,70
054849d2,1013,68,390,409,221,17,1013,17,8,9,511,3096.0,1571.0,39,24,4,15,13,545,67
056d2d95,1834,121,572,763,520,16,1834,20,10,10,736,3947.0,1918.0,47,51,5,20,12,839,78
05ba9d7c,710,10,97,293,341,65,710,79,50,29,420,3127.0,1512.0,46,33,22,49,43,456,149
05d548d8,2993,265,1286,1632,93,45,2993,10,7,3,1823,9383.0,5362.0,17,18,1,9,2,2093,7
05f99a4a,624,22,97,287,254,69,624,46,19,27,332,1910.0,979.0,39,26,16,47,28,373,97
061e8e23,504,3,55,227,224,45,504,13,11,2,272,924.0,284.0,8,7,5,33,7,362,71
0630eb63,335,4,29,139,173,34,335,37,21,16,228,1720.0,985.0,40,19,20,28,10,258,77
070ec0b1,1140,90,546,575,21,11,1140,4,2,2,647,3019.0,1394.0,1,1,0,8,3,825,2
080440a4,2252,224,994,1162,114,33,2252,15,5,10,1224,6384.0,3057.0,23,18,0,23,8,1371,18
08593525,1720,65,415,1048,273,7,1720,30,21,9,853,3525.0,1315.0,11,21,2,41,21,990,32
088ca1bd,1563,63,416,691,469,41,1563,39,19,20,719,3429.0,1986.0,49,34,9,29,13,822,122
096a77c4,63,0,11,20,32,1,63,2,0,2,32,111.0,42.0,2,0,2,4,2,38,8
0a1cb833,1243,1053,1232,10,1,1,1243,1,1,0,601,3245.0,2029.0,0,0,0,0,0,482,0
0a3d6d2b,899,92,444,423,38,6,899,3,2,1,558,2740.0,1248.0,5,5,0,5,3,615,12
0a89e877,417,16,97,202,121,11,417,4,1,3,207,939.0,499.0,12,6,1,9,2,271,32
0b4f388a,692,8,43,371,291,83,692,65,40,25,396,2186.0,1007.0,37,20,28,66,46,543,124
0b7dae21,547,75,368,174,7,2,547,2,1,1,269,1288.0,696.0,3,1,0,6,4,317,0
0c61c77c,754,11,98,349,325,78,752,66,39,27,468,3192.0,1474.0,49,41,28,48,40,574,124
0cddeaa7,416,10,61,236,122,4,416,9,6,3,219,1391.0,636.0,13,8,0,13,9,275,26
0d55d942,976,828,973,3,0,0,976,1,1,0,525,2546.0,1487.0,0,0,0,0,0,468,0
0d8a37c2,164,150,164,0,0,0,164,0,0,0,82,359.0,190.0,0,0,0,2,1,64,0
0da32a38,214,6,38,114,64,5,214,5,4,1,118,466.0,169.0,1,3,0,7,5,135,8
0e0102eb,1,0,0,0,1,1,1,0,0,0,1,0.0,0.0,0,0,0,0,0,1,1
0e6bc38c,313,7,24,115,177,44,313,19,15,4,193,864.0,339.0,9,10,7,26,17,249,63
0fbecd11,939,44,190,540,211,27,939,12,7,5,388,1784.0,878.0,23,19,5,30,15,526,37
1025db8e,1974,268,1049,869,82,15,1974,19,13,6,1105,7096.0,3844.0,27,26,4,25,3,1128,8
106bca06,472,11,79,245,154,16,472,30,12,18,282,1558.0,608.0,19,16,4,23,29,313,63
11bc43f4,2,0,1,1,0,0,2,0,0,0,2,1.0,0.0,0,0,0,0,0,2,0
11d8aff0,51,42,50,1,0,0,51,0,0,0,35,160.0,65.0,0,0,0,0,0,34,0
11fd2b75,1115,68,344,693,90,3,1115,16,8,8,547,2589.0,890.0,10,8,0,16,11,636,5
1238a3f9,316,10,32,139,151,52,315,11,2,9,151,819.0,331.0,10,2,3,25,14,250,46
13203c45,827,43,220,396,218,23,827,28,18,10,407,2007.0,1103.0,35,24,8,25,15,490,69
14a7af33,1030,78,436,555,51,6,1030,12,10,2,615,3161.0,1615.0,14,9,1,11,7,635,9
15413fa5,859,24,173,544,149,15,859,18,7,11,454,2242.0,1018.0,16,15,2,35,22,532,50
15b287da,1291,30,134,575,595,82,1291,62,33,29,662,3684.0,1848.0,63,41,20,60,41,868,210
15f24fe7,936,24,51,469,423,118,936,31,15,16,454,1779.0,538.0,18,16,9,79,30,731,166
15fd5593,87,4,12,46,29,2,87,3,1,2,30,105.0,47.0,1,1,0,4,3,39,2
169fd162,179,2,16,69,96,27,179,11,8,3,101,679.0,283.0,14,8,7,11,12,136,40
16b4260e,38,0,4,17,19,5,38,4,2,2,22,148.0,110.0,5,2,1,0,1,27,10
16daec92,565,18,123,235,211,23,565,13,5,8,267,1198.0,664.0,16,17,1,13,5,300,46
17376543,1490,1209,1478,12,0,0,1490,1,1,0,853,4534.0,2899.0,0,0,0,1,0,634,0
17780d2b,995,49,304,566,131,15,995,12,9,3,543,2274.0,982.0,9,12,1,29,17,630,34
