id,Gls,Sh,SoT,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG,TotDist
00844823,2,18,5,0,0,0,1.9,1.9,0.1,0.1,264.6
00a6485f,1,8,2,0,0,0,0.3,0.3,0.7,0.7,174.4
012c38ec,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
016ff750,2,17,11,2,0,0,2.2,2.2,-0.2,-0.2,316.2
0174ba21,1,2,1,0,0,0,0.1,0.1,0.9,0.9,30.2
01c3aff5,0,9,2,0,0,0,0.7,0.7,-0.7,-0.7,193.5
01e5f06e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
03bd0bf4,7,47,20,8,0,0,3.9,3.9,3.1,3.1,700.3
042e8a49,3,29,15,0,0,0,2.2,2.2,0.8,0.8,507.5
048a1cbc,1,9,5,0,0,0,1.0,1.0,0.0,0.0,153.9
04c11885,0,21,5,0,0,0,1.7,1.7,-1.7,-1.7,443.1
05439de2,2,24,7,8,0,0,1.3,1.3,0.7,0.7,645.6
05d548d8,1,27,4,0,0,0,2.0,2.0,-1.0,-1.0,297.0
061e8e23,9,44,15,0,0,0,4.2,4.1,4.8,4.9,721.6
070ec0b1,2,15,6,0,0,0,1.5,1.5,0.5,0.5,142.5
080440a4,0,26,4,1,0,0,2.2,2.2,-2.2,-2.2,478.4
088ca1bd,0,23,6,3,0,0,1.7,1.7,-1.7,-1.7,466.9
09586899,5,50,20,4,0,1,5.1,4.3,-0.1,0.7,940.0
096a77c4,0,8,3,1,0,0,0.5,0.5,-0.5,-0.5,175.2
0a1cb833,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0a89e877,0,19,2,0,0,0,0.8,0.8,-0.8,-0.8,385.7
0b4f388a,3,18,10,0,0,0,4.1,4.1,-1.1,-1.1,264.6
0cf778df,0,1,0,0,0,0,0.0,0.0,0.0,0.0,24.9
0d55d942,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,14.8
0d8a37c2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0dabaf14,0,7,0,0,0,0,0.3,0.3,-0.3,-0.3,196.0
0eb5720b,0,5,1,0,0,0,0.4,0.4,-0.4,-0.4,52.0
0f26fd24,2,38,15,3,0,0,4.4,4.4,-2.4,-2.4,790.4
0fbecd11,1,40,4,0,0,0,3.9,3.9,-2.9,-2.9,748.0
