id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
2590ddf7,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
565bf0da,1,10,2,0.1,0.5,15.9,0,0,0,0.6,0.6,0.4,0.4
1c08a3c8,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
dc38e3bc,1,2,1,0.5,1.0,13.7,0,0,0,0.1,0.1,0.9,0.9
2b09d998,1,7,4,0.14,0.25,17.6,0,0,0,1.3,1.3,-0.3,-0.3
22919e97,2,23,7,0.09,0.29,15.3,0,0,0,2.1,2.1,-0.1,-0.1
cb6d81b3,1,4,1,0.25,1.0,19.3,0,0,0,0.6,0.6,0.4,0.4
a6c58494,0,5,1,0.0,0.0,23.4,0,0,0,0.2,0.2,-0.2,-0.2
89ac64a6,2,19,4,0.11,0.5,13.9,0,0,0,1.7,1.7,0.3,0.3
6ec6fde0,1,2,2,0.5,0.5,21.0,0,0,0,0.1,0.1,0.9,0.9
05439de2,2,21,6,0.1,0.33,23.9,3,0,0,1.2,1.2,0.8,0.8
834d0be5,11,39,18,0.23,0.5,13.4,0,2,2,7.2,5.7,3.8,3.3
bb08bce9,0,6,2,0.0,0.0,15.0,0,0,0,0.3,0.3,-0.3,-0.3
555d5edd,2,42,14,0.05,0.14,24.4,3,0,0,2.2,2.2,-0.2,-0.2
b4cf5806,3,39,13,0.05,0.15,13.0,0,1,1,6.2,5.4,-3.2,-3.4
e0b113a7,5,41,9,0.12,0.56,24.0,4,0,0,2.6,2.6,2.4,2.4
30941e96,4,35,13,0.11,0.31,16.1,4,0,0,4.2,4.2,-0.2,-0.2
5e66fa06,0,12,4,0.0,0.0,14.9,0,0,0,1.3,1.3,-1.3,-1.3
56413b1f,0,4,2,0.0,0.0,10.1,0,0,0,0.6,0.6,-0.6,-0.6
fdd60087,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
86e119e0,3,55,15,0.05,0.2,29.4,12,0,0,2.4,2.4,0.6,0.6
a42760bc,0,3,1,0.0,0.0,10.2,0,0,0,0.2,0.2,-0.2,-0.2
e26fcca3,1,7,3,0.14,0.33,21.0,0,0,0,0.3,0.3,0.7,0.7
9fec8860,0,16,5,0.0,0.0,19.1,3,0,0,0.9,0.9,-0.9,-0.9
e5478b87,5,30,13,0.17,0.38,11.2,0,0,0,6.1,6.1,-1.1,-1.1
fe46e261,0,1,0,0.0,0.0,28.1,0,0,0,0.0,0.0,0.0,0.0
3a233281,9,58,21,0.16,0.43,20.5,3,0,0,6.2,6.2,2.8,2.8
442b56fa,6,35,12,0.17,0.5,18.7,0,0,0,3.4,3.4,2.6,2.6
442b56fa,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3f7cd8f1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
a2a85828,2,19,6,0.11,0.33,21.4,1,0,0,1.9,1.9,0.1,0.1
00242b75,2,33,10,0.06,0.2,15.7,0,0,0,4.5,4.5,-2.5,-2.5
c0d3bd23,0,2,0,0.0,0.0,23.5,0,0,0,0.1,0.1,-0.1,-0.1
47064058,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
69374ff5,2,7,4,0.29,0.5,15.7,0,0,0,1.0,1.0,1.0,1.0
437f2b00,6,61,21,0.1,0.29,16.1,1,0,0,5.9,5.9,0.1,0.1
fbbc8e15,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
a53b661f,9,48,19,0.19,0.47,12.7,0,0,0,9.9,9.9,-0.9,-0.9
8eb55dbb,3,31,10,0.1,0.3,22.1,0,0,0,1.5,1.5,1.5,1.5
543ddcaf,0,5,1,0.0,0.0,19.7,0,0,0,0.3,0.3,-0.3,-0.3
b1a21aca,0,2,0,0.0,0.0,30.9,0,0,0,0.0,0.0,0.0,0.0
5db45ee5,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
ff182fdc,0,12,3,0.0,0.0,12.0,0,0,0,1.5,1.5,-1.5,-1.5
857a5abe,1,8,2,0.13,0.5,14.0,0,0,0,0.5,0.5,0.5,0.5
bee0bab1,0,28,8,0.0,0.0,17.7,0,0,0,1.8,1.8,-1.8,-1.8
57d88cf9,1,33,8,0.03,0.13,19.8,0,0,0,2.5,2.5,-1.5,-1.5
c50281a0,1,8,0,0.0,0.0,17.6,0,1,1,1.7,0.9,-0.7,-0.9
070ec0b1,0,3,1,0.0,0.0,10.9,0,0,0,0.2,0.2,-0.2,-0.2
fe888e39,1,8,3,0.13,0.33,20.8,1,0,0,0.5,0.5,0.5,0.5
fe888e39,0,2,0,0.0,0.0,30.7,0,0,0,0.1,0.1,-0.1,-0.1
378825c7,4,21,7,0.14,0.43,16.0,0,1,1,2.3,1.6,1.7,1.4
