id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
f586779e,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,5,2,0,4,1,1,4,25.0,3,7,2,5,1,6,10,0,Matches
2b09d998,Tyler Adams,us USA,"MF,DF",de RB Leipzig,20,1999,0.9,1,0,1,0,0,0,1,0.0,1,1,1,0,0,1,2,0,Matches
ee926a02,Arijan Ademi,mk MKD,"MF,DF",hr Dinamo Zagreb,28,1991,5.7,8,2,4,4,0,2,9,22.2,7,4,0,4,2,10,12,0,Matches
f76e6b4e,Adrián,es ESP,GK,eng Liverpool,32,1987,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
4d034881,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,2.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,11,7,8,2,1,5,10,50.0,5,7,4,3,9,20,9,0,Matches
05439de2,David Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,7,6,6,1,0,4,5,80.0,1,5,3,2,6,13,17,3,Matches
834d0be5,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,2,1,1,1,0,0,1,0.0,1,0,0,0,3,5,1,0,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,30,1989,3.9,1,1,0,1,0,0,3,0.0,3,5,3,2,7,8,9,0,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,1.3,1,1,0,0,1,0,1,0.0,1,0,0,0,4,5,2,0,Matches
77e84962,Thiago Alcántara,es ESP,MF,de Bayern Munich,28,1991,9.1,34,23,10,21,3,11,23,47.8,12,6,0,6,23,57,4,0,Matches
f7d50789,Toby Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,7,3,5,2,0,4,6,66.7,2,7,3,4,3,10,34,0,Matches
6c811eb7,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1.0,1,0,1,0,0,1,5,20.0,4,1,0,1,1,2,0,0,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,16,11,7,8,1,9,14,64.3,5,2,1,1,7,23,6,0,Matches
7a2e46a8,Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
cc700722,Allan,br BRA,MF,it Napoli,28,1991,4.9,23,15,13,8,2,16,30,53.3,14,14,2,12,4,27,11,1,Matches
cea4ee8f,Dele Alli,eng ENG,"MF,FW",eng Tottenham,23,1996,5.7,6,4,3,2,1,3,9,33.3,6,5,2,3,5,11,1,0,Matches
67b3d74b,André Almeida,pt POR,DF,pt Benfica,28,1990,1.0,2,1,2,0,0,2,2,100.0,0,2,1,1,1,3,5,0,Matches
f4290206,Marcos Alonso,es ESP,DF,eng Chelsea,28,1990,4.4,5,4,4,1,0,1,3,33.3,2,1,0,1,6,11,14,0,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,be Club Brugge,26,1993,3.2,9,5,1,4,4,3,12,25.0,9,6,1,5,6,15,2,0,Matches
8b3ab7ad,Edson Álvarez,mx MEX,MF,nl Ajax,21,1997,4.2,14,9,7,4,3,8,16,50.0,8,6,4,2,5,19,7,0,Matches
555d5edd,Nadiem Amiri,de GER,"FW,MF",de Leverkusen,22,1996,2.6,8,5,4,3,1,1,5,20.0,4,2,0,2,1,9,1,0,Matches
10b9fa99,Ethan Ampadu,wls WAL,DF,de RB Leipzig,18,2000,2.0,4,1,4,0,0,2,4,50.0,2,3,2,1,4,8,10,0,Matches
e34fc66d,Joachim Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,3,2,2,1,0,1,3,33.3,2,6,4,2,7,10,36,0,Matches
dc008610,Florin Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,1,1,0,1,0,1,2,50.0,1,3,0,3,0,1,1,0,Matches
ef9c1c95,Benjamin André,fr FRA,MF,fr Lille,28,1990,4.5,18,12,8,8,2,3,18,16.7,15,7,3,4,11,29,6,0,Matches
b35db3f6,Miguel Ángel Guerrero,es ESP,FW,gr Olympiacos,29,1990,3.5,3,1,0,3,0,0,1,0.0,1,1,1,0,0,3,4,0,Matches
30941e96,Angeliño,es ESP,"DF,MF",de RB Leipzig,22,1997,4.0,2,2,1,1,0,0,2,0.0,2,3,0,3,5,7,8,0,Matches
30941e96,Angeliño,es ESP,DF,eng Manchester City,22,1997,1.0,3,2,3,0,0,1,2,50.0,1,0,0,0,1,4,1,0,Matches
108fe016,Marcos Antônio,br BRA,MF,ua Shakhtar,19,2000,0.3,1,1,0,1,0,0,0,,0,0,0,0,2,3,0,0,Matches
a5db0bec,Houssem Aouar,fr FRA,"MF,FW",fr Lyon,21,1998,7.9,14,6,4,8,2,5,19,26.3,14,12,2,10,5,19,2,0,Matches
c63f6e46,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,1,1,0,0,1,1,4,25.0,3,2,0,2,0,1,1,0,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,5,0,1,4,0,2,12,16.7,10,6,1,5,1,6,7,0,Matches
fa18c72e,Luiz Araújo,br BRA,"FW,MF",fr Lille,23,1996,3.1,4,2,0,1,3,0,7,0.0,7,3,1,2,5,9,0,0,Matches
2f965a72,Alphonse Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
fdd60087,Santiago Arias,co COL,DF,es Atlético Madrid,27,1992,2.0,5,4,5,0,0,2,2,100.0,0,0,0,0,3,8,4,0,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
089550f5,Kwadwo Asamoah,gh GHA,"FW,DF",it Inter,30,1988,2.9,3,1,1,1,1,1,4,25.0,3,5,0,5,1,4,2,0,Matches
45af8a54,Marco Asensio,es ESP,FW,es Real Madrid,23,1996,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
552e00b9,Majeed Ashimeru,gh GHA,MF,at RB Salzburg,21,1997,0.7,3,1,1,1,1,1,5,20.0,4,0,0,0,0,3,0,0,Matches
8f5bfaac,Iyayi Atiemwen,ng NGA,FW,hr Dinamo Zagreb,23,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
5c2b4f07,Serge Aurier,ci CIV,DF,eng Tottenham,26,1992,5.0,8,7,2,4,2,4,9,44.4,5,7,3,4,2,10,9,0,Matches
10549b49,Sardar Azmoun,ir IRN,FW,ru Zenit,24,1995,5.1,3,1,1,2,0,0,6,0.0,6,2,2,0,3,6,5,0,Matches
53cad200,César Azpilicueta,es ESP,DF,eng Chelsea,29,1989,6.8,13,5,6,3,4,7,11,63.6,4,10,2,8,11,24,15,0,Matches
6438d426,Ryan Babel,nl NED,FW,tr Galatasaray,32,1986,3.7,2,1,0,2,0,0,3,0.0,3,2,0,2,0,2,4,0,Matches
3a233281,Leon Bailey,jm JAM,"FW,MF",de Leverkusen,21,1997,1.3,1,0,0,0,1,0,1,0.0,1,3,0,3,0,1,1,1,Matches
a58bb1e1,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,30,1989,1.3,0,0,0,0,0,0,1,0.0,1,1,0,1,4,4,1,0,Matches
7c3ed041,Leonardo Balerdi,ar ARG,MF,de Dortmund,20,1999,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
b2bd0f6c,Jonathan Bamba,fr FRA,"FW,MF",fr Lille,23,1996,3.1,4,3,2,2,0,2,5,40.0,3,2,0,2,3,7,2,0,Matches
6928979a,Nicolò Barella,it ITA,MF,it Inter,22,1997,3.2,11,6,3,6,2,2,9,22.2,7,3,0,3,7,18,4,0,Matches
d7c09951,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,22,1996,5.0,8,3,3,4,1,4,16,25.0,12,6,3,3,5,13,7,0,Matches
3a24769f,Ross Barkley,eng ENG,"FW,MF",eng Chelsea,25,1993,1.8,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,1,Matches
