id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
1339039e,Liel Abada,il ISR,"FW,MF",sct Celtic,21-177,2001,2.4,5,2.07,3,0,0,1,1,0,1,0.41,0,0,0,1,0,0,Matches
8f5cdf66,Oliver Abildgaard,dk DEN,MF,sct Celtic,26-292,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
f417a1fa,Mohammad Abu Fani,il ISR,MF,il Maccabi Haifa,24-336,1998,4.4,20,4.50,13,3,2,2,0,0,1,0.23,1,0,0,0,0,0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Inter,35-047,1988,5.2,6,1.15,4,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,"DF,MF",es Sevilla,31-152,1991,2.4,4,1.64,3,1,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
82e12fe7,Chikwubuike Adamu,at AUT,FW,at RB Salzburg,21-296,2001,2.3,5,2.20,5,0,0,0,0,0,1,0.44,1,0,0,0,0,0,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,35-320,1987,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,31-304,1991,5.2,3,0.57,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",de Dortmund,21-070,2002,4.2,17,4.07,9,0,4,2,2,0,2,0.48,0,0,2,0,0,0,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",de Leverkusen,22-323,2000,1.3,8,6.00,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,eng Manchester City,27-253,1995,5.5,11,2.00,8,0,0,3,0,0,2,0.36,0,0,0,2,0,0,Matches
eaeca114,Nathan Aké,nl NED,DF,eng Manchester City,28-039,1995,4.0,5,1.24,4,0,0,0,0,1,1,0.25,1,0,0,0,0,0,Matches
05439de2,David Alaba,at AUT,DF,es Real Madrid,30-278,1992,4.4,12,2.72,7,4,1,0,0,0,1,0.23,0,1,0,0,0,0,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",de Eint Frankfurt,30-172,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,34-008,1989,1.6,7,4.32,7,0,0,0,0,0,2,1.23,2,0,0,0,0,0,Matches
77e84962,Thiago Alcántara,es ESP,MF,eng Liverpool,31-352,1991,3.4,13,3.80,12,0,1,0,0,0,2,0.58,2,0,0,0,0,0,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,24-173,1998,6.9,28,4.03,14,12,0,2,0,0,1,0.14,1,0,0,0,0,0,Matches
4288f249,Sotiris Alexandropoulos,gr GRE,MF,pt Sporting CP,21-123,2001,1.3,1,0.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
00f518d8,Faride Alidou,de GER,"DF,FW",de Eint Frankfurt,21-254,2001,0.8,4,4.93,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7a2e46a8,Alisson,br BRA,GK,eng Liverpool,30-178,1992,8.0,3,0.37,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
f4290206,Marcos Alonso,es ESP,DF,es Barcelona,32-091,1990,4.5,12,2.67,11,1,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
