id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,35-320,1987,5,5,382,4.2,5,1.18,21,16,81.0,2,1,2,2,40.0,1,1,0,0,0.0,Matches
7a2e46a8,Alisson,br BRA,GK,eng Liverpool,30-178,1992,8,8,720,8.0,12,1.50,28,15,60.7,5,0,3,3,37.5,2,1,1,0,50.0,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,28-177,1994,7,7,630,7.0,4,0.57,20,16,80.0,4,1,2,3,42.9,0,0,0,0,,Matches
663e080e,Janis Blaswich,de GER,GK,de RB Leipzig,31-331,1991,6,5,528,5.9,11,1.87,31,20,71.0,3,1,1,2,40.0,2,2,0,0,0.0,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,es Sevilla,31-358,1991,4,4,360,4.0,12,3.00,26,14,53.8,0,1,3,0,0.0,0,0,0,0,,Matches
75c2e240,Josh Cohen,us USA,GK,il Maccabi Haifa,30-223,1992,6,6,540,6.0,21,3.50,42,22,50.0,1,0,5,1,16.7,0,0,0,0,,Matches
93fffbcf,Diogo Costa,pt POR,GK,pt Porto,23-191,1999,8,8,720,8.0,8,1.00,38,28,81.6,4,1,3,4,50.0,4,1,3,0,75.0,Matches
1840e36d,Thibaut Courtois,be BEL,GK,es Real Madrid,30-322,1992,6,6,540,6.0,6,1.00,30,23,80.0,5,0,1,3,50.0,1,0,1,0,100.0,Matches
ac295d9e,Marko Dmitrović,rs SRB,GK,es Sevilla,31-064,1992,2,2,180,2.0,0,0.00,4,4,100.0,1,1,0,2,100.0,0,0,0,0,,Matches
08f5afaa,Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,24-032,1999,8,8,720,8.0,10,1.25,35,26,74.3,4,2,2,0,0.0,1,1,0,0,0.0,Matches
3bb7b8b4,Ederson,br BRA,GK,eng Manchester City,29-224,1993,6,6,540,6.0,2,0.33,9,7,77.8,4,2,0,4,66.7,0,0,0,0,,Matches
