id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,35-310,1987,4.2,5,1,0,1,0,6.1,0.24,+1.1,+0.25,14,69,20.3,184,29,27.7,30.5,35,51.4,37.0,82,9,11.0,3,0.71,9.2,Matches
7a2e46a8,Alisson,br BRA,GK,eng Liverpool,30-168,1992,8.0,12,1,0,0,0,12.6,0.40,+0.6,+0.08,28,51,54.9,235,36,17.9,26.5,37,24.3,31.6,56,7,12.5,10,1.25,17.4,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,28-167,1994,7.0,4,0,0,0,0,5.2,0.26,+1.2,+0.17,21,67,31.3,168,26,29.2,31.1,35,51.4,40.9,66,5,7.6,10,1.43,18.7,Matches
663e080e,Janis Blaswich,de GER,GK,de RB Leipzig,31-321,1991,5.9,11,2,0,3,0,10.2,0.30,-0.8,-0.13,13,42,31.0,226,24,16.4,25.6,35,14.3,26.8,83,5,6.0,4,0.68,14.5,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,es Sevilla,31-348,1991,4.0,12,0,0,1,0,9.2,0.38,-2.8,-0.71,23,57,40.4,165,17,20.6,28.5,43,53.5,43.6,53,6,11.3,4,1.00,11.4,Matches
75c2e240,Josh Cohen,us USA,GK,il Maccabi Haifa,30-213,1992,6.0,21,0,1,2,1,17.7,0.42,-2.3,-0.38,19,49,38.8,104,30,30.8,32.5,39,43.6,34.6,82,4,4.9,8,1.33,17.2,Matches
93fffbcf,Diogo Costa,pt POR,GK,pt Porto,23-181,1999,8.0,8,1,0,1,1,10.7,0.18,+3.7,+0.46,56,147,38.1,330,44,36.1,36.1,48,58.3,46.7,118,9,7.6,8,1.00,13.6,Matches
1840e36d,Thibaut Courtois,be BEL,GK,es Real Madrid,30-312,1992,6.0,6,0,1,2,0,8.7,0.27,+2.7,+0.45,17,54,31.5,205,43,20.0,28.2,37,35.1,39.3,78,6,7.7,4,0.67,13.6,Matches
ac295d9e,Marko Dmitrović,rs SRB,GK,es Sevilla,31-054,1992,2.0,0,0,0,0,0,0.9,0.22,+0.9,+0.44,6,29,20.7,64,6,35.9,32.7,9,66.7,48.6,20,2,10.0,0,0.00,7.8,Matches
08f5afaa,Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,24-022,1999,8.0,10,1,0,2,1,10.1,0.26,+1.1,+0.13,13,42,31.0,192,41,17.2,25.1,46,19.6,23.7,99,2,2.0,8,1.00,13.3,Matches
3bb7b8b4,Ederson,br BRA,GK,eng Manchester City,29-214,1993,6.0,2,0,0,2,0,1.7,0.21,-0.3,-0.04,26,46,56.5,172,21,20.9,27.5,26,38.5,37.7,37,1,2.7,6,1.00,19.8,Matches
c3e39f12,Fraser Forster,eng ENG,GK,eng Tottenham,35-002,1988,2.0,1,0,0,0,0,2.0,0.40,+1.0,+0.51,3,9,33.3,45,16,17.8,26.6,10,10.0,26.0,17,0,0.0,3,1.50,25.0,Matches
62182b1d,Kamil Grabara,pl POL,GK,dk FC Copenhagen,24-070,1999,4.0,9,1,0,1,1,8.9,0.23,+0.9,+0.23,18,59,30.5,96,17,41.7,35.3,28,67.9,53.8,54,6,11.1,3,0.75,13.1,Matches
3f034750,Ivo Grbić,hr CRO,GK,es Atlético Madrid,27-060,1996,1.0,2,0,0,0,0,1.8,0.36,-0.2,-0.22,4,14,28.6,21,5,33.3,33.3,9,77.8,57.4,11,0,0.0,0,0.00,9.3,Matches
bcb2ccd8,Péter Gulácsi,hu HUN,GK,de RB Leipzig,32-317,1990,2.1,6,0,0,0,0,4.2,0.52,-1.8,-0.86,1,10,10.0,52,10,17.3,25.4,12,8.3,19.2,9,1,11.1,1,0.47,17.8,Matches
cb4f24c6,Joe Hart,eng ENG,GK,sct Celtic,35-334,1987,6.0,15,2,0,0,0,13.3,0.40,-1.7,-0.28,7,17,41.2,142,32,9.2,24.5,32,12.5,25.3,59,0,0.0,6,1.00,19.3,Matches
ad3389d5,Lukáš Hrádecký,fi FIN,GK,de Leverkusen,33-115,1989,6.0,8,2,0,1,0,7.0,0.17,-1.0,-0.17,22,58,37.9,167,28,27.5,30.8,35,34.3,32.7,91,5,5.5,2,0.33,10.0,Matches
1f994616,Franco Israel,uy URU,GK,pt Sporting CP,22-331,2000,1.7,4,1,0,1,0,4.5,0.48,+0.5,+0.31,12,38,31.6,48,11,41.7,32.4,22,81.8,50.2,23,2,8.7,0,0.00,5.3,Matches
cd59b9df,Gregor Kobel,ch SUI,GK,de Dortmund,25-103,1997,3.5,2,0,0,0,0,5.5,0.24,+3.5,+1.01,12,41,29.3,124,13,29.0,29.2,18,27.8,28.3,48,2,4.2,4,1.14,11.9,Matches
ff74841d,Philipp Köhn,ch SUI,GK,at RB Salzburg,24-351,1998,6.0,9,0,0,2,0,9.4,0.31,+0.4,+0.07,29,73,39.7,111,11,54.1,42.4,32,40.6,39.9,89,2,2.2,8,1.33,16.2,Matches
58f077c0,Dominik Livaković,hr CRO,GK,hr Dinamo Zagreb,28-069,1995,6.0,11,3,0,0,1,12.5,0.27,+2.5,+0.41,34,110,30.9,177,27,42.4,35.7,76,46.1,41.3,101,3,3.0,3,0.50,10.8,Matches
