id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
8637e09a,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,5.5,0,0,0,9,8,3,0,0,0,0,0,0,19,12,23,34.3,Matches
81442ecb,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,4.8,2,0,0,11,12,2,21,8,5,0,0,0,34,4,6,40.0,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,1.0,0,0,0,0,2,0,0,2,0,0,0,0,10,0,0,,Matches
9d8586c4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,5.4,1,0,0,8,5,0,8,11,12,0,0,0,38,3,5,37.5,Matches
2557c196,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6.0,1,0,0,9,13,2,3,1,6,0,0,0,14,11,12,47.8,Matches
42a632ba,Ansi Agolli,al ALB,DF,az Qarabağ FK,34,1982,4.0,0,0,0,3,5,0,8,6,5,0,0,0,19,7,3,70.0,Matches
4d034881,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,4.9,0,0,0,1,2,5,2,3,2,0,0,0,12,2,6,25.0,Matches
0ff9eabc,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4.0,3,0,0,15,3,1,1,3,6,0,0,0,27,1,1,50.0,Matches
5d91cf0f,Valon Ahmedi,al ALB,"MF,FW",si NK Maribor,22,1994,2.5,0,0,0,2,5,2,11,0,1,0,0,0,10,0,6,0.0,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,1.1,0,0,0,3,1,4,0,0,0,0,0,0,0,0,4,0.0,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6.0,2,0,0,9,6,0,1,13,5,0,0,0,31,13,8,61.9,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6.0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,0,100.0,Matches
05439de2,David Alaba,at AUT,DF,de Bayern Munich,25,1992,6.9,0,0,0,8,4,0,33,7,5,0,0,0,33,6,3,66.7,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,28,1989,7.1,0,0,0,6,4,3,7,10,6,0,0,0,47,2,4,33.3,Matches
4bd414c1,Raúl Albiol,es ESP,DF,it Napoli,31,1985,5.0,1,0,0,2,5,0,1,6,5,2,0,0,23,9,5,64.3,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,es Barcelona,23,1993,1.1,0,0,0,0,1,0,0,2,0,0,0,0,4,3,4,42.9,Matches
77e84962,Thiago Alcántara,es ESP,MF,de Bayern Munich,26,1991,6.7,2,0,0,11,12,1,11,14,19,0,0,0,68,4,13,23.5,Matches
f7d50789,Toby Alderweireld,be BEL,DF,eng Tottenham,28,1989,3.3,0,0,0,2,0,0,0,2,5,0,0,0,14,5,5,50.0,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,18,1998,9.1,2,0,0,10,1,1,40,22,14,0,0,0,69,3,4,42.9,Matches
e044ce1e,Nektarios Alexandrou,cy CYP,"DF,MF",cy APOEL FC,33,1983,0.6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.0,Matches
7a2e46a8,Alisson,br BRA,GK,it Roma,24,1992,12.0,0,0,0,0,1,0,0,1,1,0,0,0,14,2,0,100.0,Matches
cc700722,Allan,br BRA,MF,it Napoli,26,1991,3.4,0,0,0,8,8,0,3,3,5,0,0,0,22,1,0,100.0,Matches
cea4ee8f,Dele Alli,eng ENG,"MF,FW",eng Tottenham,21,1996,4.8,1,0,0,10,12,0,1,1,6,0,0,0,21,3,7,30.0,Matches
67b3d74b,André Almeida,pt POR,DF,pt Benfica,26,1990,2.9,1,1,0,5,2,0,15,4,4,0,1,0,23,7,1,87.5,Matches
ba6e52b0,André Almeida Pinto,pt POR,DF,pt Sporting CP,27,1989,2.0,1,0,0,4,1,0,0,2,2,0,0,0,6,4,2,66.7,Matches
bdf8165d,Richard Almeida,az AZE,MF,az Qarabağ FK,28,1989,6.0,0,0,0,4,7,2,4,4,5,0,0,0,41,1,2,33.3,Matches
cb7786d5,Stathis Aloneftis,cy CYP,"FW,MF",cy APOEL FC,34,1983,5.6,0,0,0,1,6,5,20,10,7,0,0,0,31,2,9,18.2,Matches
f4290206,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,26,1990,6.6,2,0,0,12,5,0,13,12,10,0,0,0,45,13,6,68.4,Matches
8ce30c57,Éder Álvarez Balanta,co COL,DF,ch Basel,24,1993,5.9,2,0,0,12,1,0,0,12,9,0,0,0,40,15,18,45.5,Matches
c9e99e49,Dani Alves,br BRA,DF,fr Paris S-G,34,1983,8.0,0,0,0,10,8,2,37,13,15,0,0,0,71,6,7,46.2,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,"MF,DF",nl Feyenoord,20,1996,5.9,1,0,0,16,11,0,9,9,12,0,0,0,41,7,4,63.6,Matches
9f31b1d3,André André,pt POR,"MF,FW",pt Porto,27,1989,2.5,3,0,0,8,6,0,1,2,3,0,0,0,14,2,4,33.3,Matches
2a70dcc9,Thanasis Androutsos,gr GRE,FW,gr Olympiacos,20,1997,1.0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,1,0.0,Matches
632e0184,Minas Antoniou,cy CYP,FW,cy APOEL FC,23,1994,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,Matches
91976866,Mirko Antonucci,it ITA,FW,it Roma,18,1999,0.2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,Matches
feb5d3ab,Dennis Appiah,fr FRA,"DF,MF",be Anderlecht,25,1992,5.7,0,0,0,10,1,0,23,6,13,0,0,0,36,5,8,38.5,Matches
2f965a72,Alphonse Areola,fr FRA,GK,fr Paris S-G,24,1993,8.0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,100.0,Matches
97333cf5,Stuart Armstrong,sct SCO,MF,sct Celtic,25,1992,2.6,0,0,0,1,5,0,7,5,1,0,0,0,13,0,2,0.0,Matches
963a328b,Tolgay Arslan,de GER,MF,tr Beşiktaş,26,1990,3.6,2,0,0,7,10,0,1,4,11,0,0,0,31,1,3,25.0,Matches
089550f5,Kwadwo Asamoah,gh GHA,DF,it Juventus,28,1988,1.1,0,0,0,0,1,0,3,2,2,0,0,0,6,2,1,66.7,Matches
45af8a54,Marco Asensio,es ESP,"MF,FW",es Real Madrid,21,1996,5.2,0,0,0,3,6,5,31,3,3,0,0,0,27,0,4,0.0,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,de Dortmund,28,1989,6.0,0,0,0,4,1,5,7,0,0,0,0,0,8,5,9,35.7,Matches
97bfa797,Jean-Kévin Augustin,fr FRA,FW,de RB Leipzig,20,1997,3.8,1,0,0,5,10,7,3,1,0,0,0,0,14,0,10,0.0,Matches
0e34de55,Filipe Augusto,br BRA,MF,pt Benfica,23,1993,2.6,0,0,0,6,3,0,0,5,3,0,0,0,18,5,0,100.0,Matches
5c2b4f07,Serge Aurier,ci CIV,DF,eng Tottenham,24,1992,5.6,3,0,0,11,8,1,29,17,7,0,2,0,41,6,4,60.0,Matches
53fc526b,Márcio Azevedo,br BRA,DF,ua Shakhtar,31,1986,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Matches
53cad200,César Azpilicueta,es ESP,DF,eng Chelsea,27,1989,7.8,0,0,0,6,3,1,8,17,8,0,0,0,39,6,5,54.5,Matches
6438d426,Ryan Babel,nl NED,FW,tr Beşiktaş,30,1986,6.2,0,0,0,7,9,3,9,7,1,0,0,0,38,11,7,61.1,Matches
a1232f4e,Eric Bailly,ci CIV,DF,eng Manchester Utd,23,1994,3.0,1,0,0,2,2,1,0,2,4,0,0,0,22,0,3,0.0,Matches
ae8ec371,Gregor Bajde,si SVN,"MF,FW",si NK Maribor,23,1994,2.8,0,0,0,2,2,0,5,3,4,0,0,0,12,7,10,41.2,Matches
59bf127b,Tiemoué Bakayoko,fr FRA,MF,eng Chelsea,22,1994,4.0,1,0,0,6,4,0,1,7,11,0,0,0,32,6,8,42.9,Matches
509a4ccb,Keita Baldé,sn SEN,"FW,MF",fr Monaco,22,1995,3.2,1,0,0,5,4,5,8,1,0,0,0,0,11,4,8,33.3,Matches
a58bb1e1,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,28,1989,3.3,1,0,0,2,1,6,10,1,1,0,0,0,10,9,9,50.0,Matches
fa937f7a,Éver Banega,ar ARG,MF,es Sevilla,29,1988,8.8,4,0,0,7,15,2,58,6,9,0,0,0,89,3,3,50.0,Matches
72d0e1b6,Gabriel Barbosa,br BRA,"MF,DF",pt Benfica,20,1996,0.3,0,0,0,2,2,0,1,1,2,0,0,0,2,0,0,,Matches
b742cc0d,Marc Bartra,es ESP,"DF,MF",de Dortmund,26,1991,3.9,1,0,0,6,3,0,6,11,10,0,0,0,23,7,11,38.9,Matches
7c0000fd,Andrea Barzagli,it ITA,DF,it Juventus,36,1981,7.3,1,0,0,7,4,0,0,13,8,0,0,0,53,8,9,47.1,Matches
b9052bad,Bilal Başaçıkoğlu,tr TUR,FW,nl Feyenoord,22,1995,0.3,0,0,0,0,1,0,8,0,1,0,0,0,0,1,0,100.0,Matches
2973d8ff,Michy Batshuayi,be BEL,FW,eng Chelsea,23,1993,1.4,0,0,0,1,0,2,0,0,0,0,0,0,3,2,3,40.0,Matches
d637fc22,Rodrigo Battaglia,ar ARG,MF,pt Sporting CP,26,1991,6.0,1,0,0,13,9,0,0,9,14,0,0,0,35,5,6,45.5,Matches
49312f11,Sven van Beek,nl NED,DF,nl Feyenoord,23,1994,3.0,1,0,0,4,0,0,0,4,2,0,0,0,7,2,2,50.0,Matches
942b4f90,Wissam Ben Yedder,fr FRA,FW,es Sevilla,26,1990,7.2,2,0,0,4,9,9,5,2,2,1,0,0,25,10,19,34.5,Matches
b7e7937d,Diego Benaglio,ch SUI,GK,fr Monaco,33,1983,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
3b15ef2d,Medhi Benatia,ma MAR,DF,it Juventus,30,1987,6.3,4,0,0,12,4,0,0,21,4,0,1,0,27,11,6,64.7,Matches
3b8674e6,Rodrigo Bentancur,uy URU,"MF,FW",it Juventus,20,1997,3.2,3,0,0,6,4,0,0,9,5,0,0,0,19,4,1,80.0,Matches
70d74ece,Karim Benzema,fr FRA,FW,es Real Madrid,29,1987,6.7,0,0,0,6,1,6,4,1,5,0,0,0,23,2,9,18.2,Matches
b6e50615,Yuri Berchiche,es ESP,DF,fr Paris S-G,27,1990,2.0,0,0,0,1,3,0,4,2,6,0,0,0,13,5,1,83.3,Matches
84ad89fa,Aleksei Berezutski,ru RUS,DF,ru CSKA Moscow,35,1982,3.0,0,0,0,1,2,0,2,8,8,0,0,0,19,10,4,71.4,Matches
a49fd565,Vasili Berezutski,ru RUS,DF,ru CSKA Moscow,35,1982,5.0,1,0,0,0,0,0,1,5,2,0,0,0,37,12,5,70.6,Matches
713c144a,Steven Berghuis,nl NED,FW,nl Feyenoord,25,1991,5.2,2,0,0,6,11,3,22,4,6,1,0,0,30,1,4,20.0,Matches
ab4b3e35,Bernard,br BRA,FW,ua Shakhtar,24,1992,7.6,0,0,0,5,10,3,20,14,8,0,0,0,30,0,2,0.0,Matches
ee93c1a9,Federico Bernardeschi,it ITA,FW,it Juventus,23,1994,1.5,0,0,0,2,2,0,2,0,3,1,0,0,6,2,0,100.0,Matches
17370b95,Bernardo,br BRA,DF,de RB Leipzig,22,1995,1.3,0,0,0,6,4,0,0,0,1,0,0,0,4,3,0,100.0,Matches
433dc9a2,Juan Bernat,es ESP,DF,de Bayern Munich,24,1993,0.5,1,0,0,2,1,0,1,0,0,0,0,0,2,0,0,,Matches
a3e1d20d,Jean-Claude Billong,cm CMR,DF,si NK Maribor,23,1993,4.0,0,0,0,2,1,0,0,6,4,0,0,0,5,9,5,64.3,Matches
f533776b,Nir Bitton,il ISR,"DF,MF",sct Celtic,25,1991,2.1,1,0,0,2,1,0,0,5,6,0,0,0,12,1,3,25.0,Matches
691bef82,Daley Blind,nl NED,DF,eng Manchester Utd,27,1990,6.0,1,0,0,7,5,2,28,13,8,0,0,0,33,9,6,60.0,Matches
2db2fd7b,Jérôme Boateng,de GER,DF,de Bayern Munich,28,1988,7.5,2,0,0,6,3,0,3,9,3,0,0,0,51,10,7,58.8,Matches
faa1b07d,Salvatore Bocchetti,it ITA,DF,ru Spartak Moscow,30,1986,3.0,1,0,0,3,2,0,0,14,5,0,0,0,13,3,0,100.0,Matches
0ef05b3e,Frank Boeckx,be BEL,GK,be Anderlecht,30,1986,3.0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,,Matches
635f2732,Jean-Paul Boëtius,nl NED,FW,nl Feyenoord,23,1994,5.8,0,0,0,6,13,1,13,5,8,0,0,0,30,3,18,14.3,Matches
4d1cea6a,Damjan Bohar,si SVN,"MF,FW",si NK Maribor,25,1991,5.4,2,0,0,8,11,2,7,6,6,0,0,0,29,2,4,33.3,Matches
e90af77c,Gabriel Boschilia,br BRA,DF,fr Monaco,21,1996,0.1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,Matches
7f6bff1f,Alberto Botía,es ESP,DF,gr Olympiacos,28,1989,3.0,0,0,0,7,0,0,0,5,2,0,0,0,10,0,5,0.0,Matches
eef95b11,Eric Botteghin,br BRA,DF,nl Feyenoord,29,1987,1.0,1,0,0,1,0,0,0,2,0,0,0,0,5,1,2,33.3,Matches
7c473e12,Dedryck Boyata,be BEL,DF,sct Celtic,26,1990,5.0,0,0,0,2,1,0,1,12,6,0,0,0,17,7,2,77.8,Matches
56b5d64e,Yacine Brahimi,dz ALG,"FW,MF",pt Porto,27,1990,6.3,1,0,0,6,14,0,0,5,9,0,0,0,54,1,3,25.0,Matches
10072610,Claudio Bravo,cl CHI,GK,eng Manchester City,34,1983,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
0be28faf,Scott Brown,sct SCO,MF,sct Celtic,32,1985,5.8,0,0,0,7,8,1,0,12,3,0,0,0,42,1,8,11.1,Matches
5caa62a7,Bruma,pt POR,"FW,MF",de RB Leipzig,22,1994,3.0,0,0,0,4,3,1,8,2,2,0,0,0,22,1,1,50.0,Matches
4e18cf1c,Massimo Bruno,be BEL,FW,be Anderlecht,23,1993,0.5,0,0,0,0,1,0,7,1,1,0,0,0,7,0,0,,Matches
a4f642c5,Kevin Bua,ch SUI,"MF,FW",ch Basel,23,1993,1.1,0,0,0,2,2,2,0,0,2,0,0,0,6,1,2,33.3,Matches
e40d028b,Gianluigi Buffon,it ITA,GK,it Juventus,39,1978,9.0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,100.0,Matches
9d12e142,Roman Bürki,ch SUI,GK,de Dortmund,26,1990,6.0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0,Matches
5ab0ea87,Sergio Busquets,es ESP,MF,es Barcelona,29,1988,8.5,1,0,0,9,14,0,0,5,17,0,0,0,55,12,11,52.2,Matches
8a7a5ad7,Bohdan Butko,ua UKR,DF,ua Shakhtar,26,1991,7.0,1,0,0,5,1,0,15,10,9,0,1,0,37,8,6,57.1,Matches
7914b9fe,Gary Cahill,eng ENG,DF,eng Chelsea,31,1985,5.0,1,0,0,5,4,0,1,6,4,0,0,0,14,8,4,66.7,Matches
22ca11f1,Fabrizio Caligara,it ITA,FW,it Juventus,17,2000,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
78841da9,José Callejón,es ESP,FW,it Napoli,30,1987,5.6,0,0,0,2,12,5,32,4,3,0,0,0,24,3,3,50.0,Matches
341a40ef,Igor de Camargo,be BEL,FW,cy APOEL FC,34,1983,2.6,0,0,0,3,9,1,1,4,0,0,0,0,8,22,9,71.0,Matches
a65ce836,Emre Can,de GER,MF,eng Liverpool,23,1994,5.9,3,0,0,17,9,1,9,7,9,0,0,0,45,15,6,71.4,Matches
dc415e39,Mehdi Carcela,ma MAR,"FW,MF",gr Olympiacos,28,1989,3.0,0,0,0,3,9,1,9,3,5,0,0,0,11,3,3,50.0,Matches
0d863fdc,Carlão,br BRA,DF,cy APOEL FC,31,1986,5.0,1,0,0,3,1,0,0,16,6,0,0,0,14,6,7,46.2,Matches
de39485a,Yannick Carrasco,be BEL,"MF,FW",es Atlético Madrid,23,1993,3.0,0,0,0,3,6,1,8,3,2,0,0,0,20,0,1,0.0,Matches
8f898ba8,Guido Carrillo,ar ARG,FW,fr Monaco,26,1991,1.5,0,0,0,1,4,0,0,1,2,0,0,0,5,8,10,44.4,Matches
4958bfb2,Dani Carvajal,es ESP,DF,es Real Madrid,25,1992,7.2,4,0,0,14,6,0,24,17,15,0,0,0,46,11,10,52.4,Matches
36b76751,João Carvalho,pt POR,MF,pt Benfica,20,1997,1.0,0,0,0,1,1,0,0,4,0,0,0,0,9,0,0,,Matches
dee86451,William Carvalho,pt POR,MF,pt Sporting CP,25,1992,5.0,1,0,0,8,5,1,0,5,8,0,0,0,35,5,3,62.5,Matches
4d224fe8,Casemiro,br BRA,MF,es Real Madrid,25,1992,10.5,2,0,0,11,17,0,3,23,29,0,0,0,69,9,15,37.5,Matches
58bc7d18,Kiko Casilla,es ESP,GK,es Real Madrid,30,1986,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
1ddbb0da,Iker Casillas,es ESP,GK,pt Porto,36,1981,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
68829001,Gonzalo Castro,de GER,MF,de Dortmund,30,1987,1.5,1,0,0,2,0,0,8,2,3,0,0,0,16,0,1,0.0,Matches
527f063d,Edinson Cavani,uy URU,FW,fr Paris S-G,30,1987,7.6,1,0,0,6,3,9,1,5,1,1,0,0,21,5,6,45.5,Matches
c0617e2b,Dani Ceballos,es ESP,"MF,FW",es Real Madrid,20,1996,0.9,0,0,0,0,2,0,2,2,1,0,0,0,10,0,0,,Matches
5e1028e5,Franco Cervi,ar ARG,"MF,FW",pt Benfica,23,1994,1.1,0,0,0,1,4,0,9,0,2,0,0,0,2,0,1,0.0,Matches
f0faccb9,Bruno César,br BRA,"MF,FW",pt Sporting CP,28,1988,2.8,1,0,0,7,6,1,9,4,2,0,0,0,16,2,1,66.7,Matches
f619413f,Júlio César,br BRA,GK,pt Benfica,37,1979,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
042d286e,Fyodor Chalov,ru RUS,FW,ru CSKA Moscow,19,1998,1.6,0,0,0,1,0,0,0,1,0,0,0,0,7,1,3,25.0,Matches
e85fb9b8,Giorgio Chiellini,it ITA,DF,it Juventus,32,1984,7.0,2,0,0,6,11,0,4,13,10,0,0,0,45,22,12,64.7,Matches
c9081f9a,Alexandru Chipciu,ro ROU,DF,be Anderlecht,28,1989,2.0,0,0,0,1,3,0,2,6,6,0,0,0,15,5,1,83.3,Matches
c316607a,Vlad Chiricheș,ro ROU,DF,it Napoli,27,1989,1.0,1,0,0,3,0,0,0,1,1,0,0,0,6,1,3,25.0,Matches
1cb49278,Andreas Christensen,dk DEN,DF,eng Chelsea,21,1996,5.0,0,0,0,3,2,0,0,8,3,0,0,0,23,6,7,46.2,Matches
04ac8285,Jasper Cillessen,nl NED,GK,es Barcelona,28,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
a1c2666d,Orkan Çınar,tr TUR,FW,tr Beşiktaş,21,1996,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
0442183b,Nathaniel Clyne,eng ENG,DF,eng Liverpool,26,1991,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
1fbbfbde,Sebastián Coates,uy URU,DF,pt Sporting CP,26,1990,5.0,3,0,0,6,4,1,0,14,9,0,0,1,16,10,0,100.0,Matches
0f8bd0a6,Fábio Coentrão,pt POR,"DF,MF",pt Sporting CP,29,1988,3.0,2,0,0,5,10,0,8,6,2,0,0,0,10,5,1,83.3,Matches
042e8a49,Kingsley Coman,fr FRA,"FW,MF",de Bayern Munich,21,1996,4.3,0,0,0,3,9,0,19,1,4,0,0,0,19,5,6,45.5,Matches
3e99c613,Marvin Compper,de GER,DF,de RB Leipzig,32,1985,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.0,Matches
0e7ccfc4,Sébastien Corchia,fr FRA,DF,es Sevilla,26,1990,1.2,0,0,0,1,2,0,9,2,2,1,0,0,1,2,1,66.7,Matches
fb938d24,Jesús Corona,mx MEX,MF,pt Porto,24,1993,3.5,0,0,0,5,7,1,9,7,9,0,0,0,22,0,4,0.0,Matches
01eb744d,Ángel Correa,ar ARG,"MF,FW",es Atlético Madrid,22,1995,2.8,0,0,0,3,6,2,11,3,0,0,0,0,10,0,3,0.0,Matches
45b9b619,Joaquín Correa,ar ARG,FW,es Sevilla,22,1994,7.0,2,1,0,8,17,2,3,7,7,0,0,0,37,9,2,81.8,Matches
4fa7cb9b,Douglas Costa,br BRA,"FW,MF",it Juventus,26,1990,8.0,1,0,0,17,7,3,31,8,1,1,0,0,41,2,6,25.0,Matches
1840e36d,Thibaut Courtois,be BEL,GK,eng Chelsea,25,1992,8.0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,,Matches
0ef89a37,Philippe Coutinho,br BRA,"MF,FW",eng Liverpool,25,1992,3.9,0,0,0,7,8,0,19,4,0,0,0,0,36,1,3,25.0,Matches
0ab1f153,Juan Cuadrado,co COL,FW,it Juventus,29,1988,4.6,1,0,0,13,13,0,12,5,10,0,0,0,23,2,5,28.6,Matches
db4ed67b,Mahmoud Dahoud,de GER,MF,de Dortmund,21,1996,2.1,0,0,0,1,3,0,1,2,2,0,0,0,18,2,1,66.7,Matches
d9565625,Diogo Dalot,pt POR,DF,pt Porto,18,1999,1.0,1,0,0,1,0,0,0,2,0,0,0,0,4,4,2,66.7,Matches
94b2001f,Danilo,br BRA,DF,eng Manchester City,26,1991,4.1,2,0,0,6,3,0,4,7,9,0,0,0,30,0,1,0.0,Matches
