id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1339039e,Liel Abada,il ISR,"FW,MF",sct Celtic,21-196,2001,2.4,39,59,66.1,465,136,31,34,91.2,7,15,46.7,0,4,0.0,0,0.5,0.6,-0.5,4,1,3,1,4,Matches
8f5cdf66,Oliver Abildgaard,dk DEN,MF,sct Celtic,26-311,1996,0.7,24,33,72.7,406,121,10,12,83.3,13,16,81.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
f417a1fa,Mohammad Abu Fani,il ISR,MF,il Maccabi Haifa,24-355,1998,4.4,198,230,86.1,3416,732,97,111,87.4,65,73,89.0,28,31,90.3,0,0.6,0.7,-0.6,9,22,7,0,29,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Inter,35-066,1988,6.2,350,392,89.3,6792,2436,95,105,90.5,224,240,93.3,28,42,66.7,0,0.1,0.1,-0.1,1,25,0,0,24,Matches
81442ecb,Marcos Acuña,ar ARG,"DF,MF",es Sevilla,31-171,1991,2.4,67,97,69.1,1218,533,28,33,84.8,30,39,76.9,7,20,35.0,1,0.2,0.1,+0.8,4,4,4,2,5,Matches
82e12fe7,Chikwubuike Adamu,at AUT,FW,at RB Salzburg,21-315,2001,2.3,25,48,52.1,325,110,13,25,52.0,8,13,61.5,0,2,0.0,1,0.4,0.2,+0.6,2,2,2,2,1,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,35-339,1987,4.2,153,219,69.9,3467,1688,38,38,100.0,82,86,95.3,33,94,35.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,31-323,1991,5.2,122,147,83.0,1695,364,70,80,87.5,42,48,87.5,2,2,100.0,0,0.1,0.1,-0.1,3,8,1,0,10,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",de Dortmund,21-089,2002,4.2,77,101,76.2,992,241,52,57,91.2,19,27,70.4,3,5,60.0,0,1.1,0.7,-1.1,7,4,1,0,9,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",de Leverkusen,22-342,2000,1.3,44,64,68.8,644,170,22,34,64.7,19,22,86.4,2,4,50.0,0,0.2,0.4,-0.2,2,2,4,1,6,Matches
