id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
8637e09a,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,6,495,83,68.8,5.5,6,,3,0,,0,1.83,12,6,+6,+1.09,+3.49,7.6,6.6,+1.0,+0.18,+0.69,Matches
81442ecb,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,5,433,87,80.2,4.8,5,,4,0,,0,1.14,5,8,-3,-0.62,-2.31,5.1,6.2,-1.1,-0.23,-1.35,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,2,91,46,10.1,1.0,1,,1,1,,0,0.00,1,2,-1,-0.99,-1.99,1.7,1.7,0.0,+0.02,-0.49,Matches
9d8586c4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,6,486,81,67.5,5.4,5,,4,1,,1,1.83,8,10,-2,-0.37,-0.75,5.5,10.8,-5.3,-0.98,-0.52,Matches
2557c196,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6,540,90,100.0,6.0,6,,6,0,,0,1.00,9,13,-4,-0.67,,6.8,11.4,-4.6,-0.77,,Matches
42a632ba,Ansi Agolli,al ALB,DF,az Qarabağ FK,34,1982,4,360,90,66.7,4.0,4,,4,0,,0,1.50,2,7,-5,-1.25,+2.25,1.7,10.9,-9.1,-2.29,-0.69,Matches
4d034881,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,7,440,63,48.9,4.9,5,,1,2,,2,2.14,13,3,+10,+2.05,+2.44,7.9,4.4,+3.5,+0.72,+0.51,Matches
0ff9eabc,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4,360,90,66.7,4.0,4,,4,0,,0,0.00,3,12,-9,-2.25,-2.25,4.4,6.0,-1.6,-0.41,+0.40,Matches
5d91cf0f,Valon Ahmedi,al ALB,"MF,FW",si NK Maribor,22,1994,4,226,57,41.9,2.5,3,,1,1,,2,1.40,0,10,-10,-3.98,-3.12,1.5,9.3,-7.8,-3.10,-1.90,Matches
a8c0acb7,Kristoffer Ajer,no NOR,"DF,MF",sct Celtic,19,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,3,98,33,13.6,1.1,1,,0,2,,3,1.00,1,1,0,0.00,-0.43,0.3,0.6,-0.2,-0.19,-0.17,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6,540,90,75.0,6.0,6,,6,0,,0,2.00,11,5,+6,+1.00,+2.50,8.8,8.5,+0.4,+0.06,+0.42,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6,540,90,100.0,6.0,6,,6,0,,0,2.10,8,10,-2,-0.33,,5.7,12.9,-7.2,-1.20,,Matches
c6e7789b,Fatih Aksoy,tr TUR,"DF,MF",tr Beşiktaş,19,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
05439de2,David Alaba,at AUT,DF,de Bayern Munich,25,1992,7,625,89,57.9,6.9,7,,6,0,,0,2.29,18,8,+10,+1.44,+0.65,16.3,8.8,+7.4,+1.07,-0.06,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,28,1989,8,638,80,70.9,7.1,7,,7,1,,1,1.88,12,5,+7,+0.99,-0.39,8.2,7.4,+0.8,+0.11,-1.26,Matches
4bd414c1,Raúl Albiol,es ESP,DF,it Napoli,31,1985,5,450,90,83.3,5.0,5,,5,0,,0,1.29,8,10,-2,-0.40,-2.40,9.2,6.7,+2.5,+0.51,+1.20,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,es Barcelona,23,1993,2,95,48,10.6,1.1,1,,1,1,,5,1.50,2,0,+2,+1.89,+0.89,1.6,1.0,+0.6,+0.59,+0.12,Matches
77e84962,Thiago Alcántara,es ESP,MF,de Bayern Munich,26,1991,10,607,61,56.2,6.7,7,,4,3,,0,2.00,12,8,+4,+0.59,-1.31,14.1,7.9,+6.2,+0.92,-0.41,Matches
f7d50789,Toby Alderweireld,be BEL,DF,eng Tottenham,28,1989,4,294,74,40.8,3.3,4,,3,0,,0,2.50,7,2,+5,+1.53,+0.47,4.0,4.8,-0.8,-0.23,-0.49,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,18,1998,10,820,82,70.1,9.1,9,,6,1,,2,2.33,30,10,+20,+2.20,+0.91,24.3,8.4,+15.9,+1.75,+0.76,Matches
e044ce1e,Nektarios Alexandrou,cy CYP,"DF,MF",cy APOEL FC,33,1983,2,52,26,9.6,0.6,1,,0,1,,4,0.50,0,1,-1,-1.73,+0.85,0.1,1.8,-1.7,-2.86,-0.83,Matches
7a2e46a8,Alisson,br BRA,GK,it Roma,24,1992,12,1080,90,100.0,12.0,12,,12,0,,0,1.67,21,19,+2,+0.17,,19.1,18.2,+0.9,+0.07,,Matches
cc700722,Allan,br BRA,MF,it Napoli,26,1991,6,307,51,56.9,3.4,3,,1,3,,0,1.50,10,5,+5,+1.47,+3.40,8.4,4.4,+4.0,+1.18,+2.01,Matches
cea4ee8f,Dele Alli,eng ENG,"MF,FW",eng Tottenham,21,1996,5,428,86,59.4,4.8,5,,1,0,,0,2.00,11,6,+5,+1.05,-0.49,9.0,7.5,+1.5,+0.32,+0.64,Matches
67b3d74b,André Almeida,pt POR,DF,pt Benfica,26,1990,4,259,65,48.0,2.9,3,,2,1,,0,0.00,1,7,-6,-2.08,+0.16,3.8,5.2,-1.4,-0.49,+0.40,Matches
ba6e52b0,André Almeida Pinto,pt POR,DF,pt Sporting CP,27,1989,2,180,90,33.3,2.0,2,,2,0,,2,2.00,4,2,+2,+1.00,+1.75,2.5,2.3,+0.2,+0.09,+0.07,Matches
bdf8165d,Richard Almeida,az AZE,MF,az Qarabağ FK,28,1989,6,540,90,100.0,6.0,6,,6,0,,0,1.25,2,14,-12,-2.00,,2.4,14.8,-12.4,-2.06,,Matches
cb7786d5,Stathis Aloneftis,cy CYP,"FW,MF",cy APOEL FC,34,1983,6,502,84,93.0,5.6,6,,3,0,,0,1.00,2,16,-14,-2.51,-0.14,3.6,16.0,-12.4,-2.23,-1.63,Matches
f4290206,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,26,1990,7,598,85,83.1,6.6,7,,6,0,,1,1.57,14,11,+3,+0.45,-1.02,10.8,6.7,+4.1,+0.62,-2.07,Matches
8ce30c57,Éder Álvarez Balanta,co COL,DF,ch Basel,24,1993,6,530,88,73.6,5.9,6,,5,0,,0,2.00,11,5,+6,+1.02,+2.44,8.7,8.5,+0.2,+0.04,+0.32,Matches
c9e99e49,Dani Alves,br BRA,DF,fr Paris S-G,34,1983,8,720,90,100.0,8.0,8,,8,0,,0,1.88,27,9,+18,+2.25,,17.2,9.5,+7.7,+0.96,,Matches
936c6af7,Rahid Amirguliyev,az AZE,MF,az Qarabağ FK,27,1989,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
77128f7e,Luke Amos,eng ENG,MF,eng Tottenham,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
