id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
8637e09a,Vincent Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,0,3,1,33.3,4.58,1.53,0.00,0.00,20.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
f9c927de,Michel Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,0,2,0,0.0,0.79,0.00,0.00,,22.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
4d034881,Sergio Agüero,ar ARG,FW,eng Manchester City,30,1988,5.6,6,28,14,50.0,4.97,2.49,0.18,0.36,16.7,0,1,2,5.6,4.0,0.14,+0.4,+1.0,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,"MF,FW",fr Monaco,24,1994,2.0,0,2,1,50.0,1.02,0.51,0.00,0.00,16.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
c46fa34c,Youssef Aït Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,0,1,1,100.0,0.36,0.36,0.00,0.00,31.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,0,2,0,0.0,0.40,0.00,0.00,,35.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
7230b807,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,0,4,1,25.0,4.00,1.00,0.00,0.00,13.9,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
1453e3cf,Yunus Akgün,tr TUR,MF,tr Galatasaray,18,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
e0d3e18d,Ilzat Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,0,4,1,25.0,1.20,0.30,0.00,0.00,23.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,0,1,0,0.0,0.50,0.00,0.00,,33.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
05439de2,David Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,0,4,2,50.0,0.57,0.29,0.00,0.00,29.3,3,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,29,1989,11.0,1,6,3,50.0,0.55,0.27,0.17,0.33,16.0,0,0,0,0.9,0.9,0.16,+0.1,+0.1,Matches
4bd414c1,Raúl Albiol,es ESP,DF,it Napoli,32,1985,5.5,0,1,1,100.0,0.18,0.18,0.00,0.00,11.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,de Dortmund,24,1993,4.0,1,7,4,57.1,1.77,1.01,0.14,0.25,20.2,0,0,1,1.6,0.8,0.11,-0.6,+0.2,Matches
77e84962,Thiago Alcántara,es ESP,MF,de Bayern Munich,27,1991,4.3,0,4,0,0.0,0.93,0.00,0.00,,25.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
f7d50789,Toby Alderweireld,be BEL,DF,eng Tottenham,29,1989,12.0,0,9,3,33.3,0.75,0.25,0.00,0.00,9.5,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
d849ef0f,Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,0,2,0,0.0,0.90,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
6c811eb7,Carles Aleñá,es ESP,MF,es Barcelona,20,1998,1.0,0,2,0,0.0,1.96,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,10.2,0,12,1,8.3,1.18,0.10,0.00,0.00,24.2,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
7a2e46a8,Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
cc700722,Allan,br BRA,MF,it Napoli,27,1991,5.7,0,5,2,40.0,0.88,0.35,0.00,0.00,27.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
cea4ee8f,Dele Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,0,17,5,29.4,2.16,0.64,0.00,0.00,14.9,0,0,0,2.4,2.4,0.14,-2.4,-2.4,Matches
67b3d74b,André Almeida,pt POR,DF,pt Benfica,27,1990,6.0,0,2,0,0.0,0.33,0.00,0.00,,18.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
c9e99e49,Dani Alves,br BRA,"FW,DF",fr Paris S-G,35,1983,2.3,0,5,0,0.0,2.20,0.00,0.00,,25.2,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
