id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
f586779e,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,8,7,566,6.3,3,1,4,3,0,0,0,0,4.9,4.9,1.3,6.2,3,5,25,0.48,0.16,0.64,0.48,0.64,0.78,0.20,0.98,0.78,0.98,Matches
2b09d998,Tyler Adams,us USA,"MF,DF",de RB Leipzig,20,1999,3,0,82,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,7,4,1.10,0.00,1.10,1.10,1.10,0.17,0.00,0.17,0.17,0.17,Matches
ee926a02,Arijan Ademi,mk MKD,"MF,DF",hr Dinamo Zagreb,28,1991,6,6,517,5.7,1,1,2,1,0,0,3,0,0.8,0.8,1.3,2.1,11,6,10,0.17,0.17,0.35,0.17,0.35,0.14,0.23,0.37,0.14,0.37,Matches
f76e6b4e,Adrián,es ESP,GK,eng Liverpool,32,1987,3,3,300,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4d034881,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,3,2,196,2.2,2,0,2,1,1,1,0,0,3.5,2.7,0.6,3.4,5,3,16,0.92,0.00,0.92,0.46,0.46,1.62,0.28,1.90,1.26,1.54,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,6,6,523,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,26,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
05439de2,David Alaba,at AUT,DF,de Bayern Munich,27,1992,8,8,675,7.5,0,0,0,0,0,0,0,0,0.2,0.2,1.0,1.2,11,48,6,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.16,0.03,0.16,Matches
834d0be5,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,5,2,214,2.4,0,0,0,0,0,0,0,0,1.2,1.2,0.1,1.3,4,3,11,0.00,0.00,0.00,0.00,0.00,0.51,0.03,0.54,0.51,0.54,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,30,1989,5,5,354,3.9,0,1,1,0,0,0,2,0,0.0,0.0,1.4,1.4,2,14,21,0.00,0.25,0.25,0.00,0.25,0.01,0.35,0.36,0.01,0.36,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,2,1,113,1.3,0,1,1,0,0,0,0,0,1.2,1.2,0.3,1.6,0,3,3,0.00,0.80,0.80,0.00,0.80,0.99,0.27,1.26,0.99,1.26,Matches
