id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
8637e09a,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
81442ecb,7.0,5.0,3.0,3.0,1.0,0.0,2.0,2.0,4.0,0.0,4.0,8.0,15.0,3.0,0.0
c81d773d,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0
9d8586c4,15.0,12.0,5.0,9.0,1.0,8.0,13.0,5.0,2.0,0.0,2.0,11.0,26.0,19.0,2.0
2557c196,8.0,6.0,2.0,3.0,3.0,1.0,4.0,3.0,5.0,1.0,4.0,1.0,9.0,16.0,0.0
42a632ba,7.0,5.0,6.0,1.0,0.0,2.0,2.0,0.0,5.0,1.0,4.0,6.0,13.0,15.0,0.0
4d034881,3.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,0.0,4.0,3.0,6.0,0.0,0.0
0ff9eabc,9.0,6.0,4.0,5.0,0.0,1.0,6.0,5.0,10.0,0.0,10.0,3.0,12.0,4.0,0.0
5d91cf0f,2.0,1.0,1.0,1.0,0.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0
2b1c4abd,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
89ac64a6,8.0,5.0,8.0,0.0,0.0,4.0,11.0,7.0,11.0,5.0,6.0,13.0,21.0,32.0,0.0
42ec696a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0
05439de2,7.0,5.0,3.0,2.0,2.0,2.0,5.0,3.0,5.0,2.0,3.0,7.0,14.0,9.0,2.0
4601e194,12.0,6.0,7.0,4.0,1.0,5.0,13.0,8.0,9.0,3.0,6.0,10.0,22.0,15.0,0.0
4bd414c1,8.0,5.0,7.0,1.0,0.0,5.0,6.0,1.0,6.0,5.0,1.0,6.0,14.0,16.0,1.0
a7a9d95a,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0
77e84962,26.0,19.0,7.0,16.0,3.0,8.0,19.0,11.0,12.0,1.0,11.0,14.0,40.0,2.0,0.0
f7d50789,6.0,5.0,3.0,3.0,0.0,4.0,6.0,2.0,5.0,2.0,3.0,2.0,8.0,20.0,0.0
cd1acf9d,25.0,14.0,16.0,8.0,1.0,16.0,28.0,12.0,4.0,2.0,2.0,22.0,47.0,27.0,1.0
e044ce1e,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0
7a2e46a8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0
cc700722,8.0,5.0,1.0,5.0,2.0,2.0,13.0,11.0,7.0,0.0,7.0,3.0,11.0,2.0,0.0
cea4ee8f,11.0,6.0,3.0,6.0,2.0,1.0,5.0,4.0,2.0,0.0,2.0,1.0,12.0,1.0,0.0
67b3d74b,6.0,4.0,2.0,2.0,2.0,5.0,5.0,0.0,2.0,1.0,1.0,4.0,10.0,3.0,0.0
ba6e52b0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,3.0,1.0,2.0,5.0,5.0,0.0
bdf8165d,12.0,5.0,5.0,6.0,1.0,2.0,15.0,13.0,3.0,1.0,2.0,4.0,16.0,5.0,0.0
cb7786d5,9.0,7.0,4.0,4.0,1.0,3.0,18.0,15.0,6.0,0.0,6.0,10.0,19.0,8.0,0.0
f4290206,13.0,10.0,6.0,5.0,2.0,6.0,14.0,8.0,11.0,1.0,10.0,12.0,25.0,11.0,0.0
8ce30c57,14.0,9.0,11.0,3.0,0.0,5.0,12.0,7.0,9.0,4.0,5.0,12.0,26.0,33.0,0.0
c9e99e49,24.0,15.0,14.0,7.0,3.0,7.0,18.0,11.0,13.0,2.0,11.0,13.0,37.0,14.0,1.0
5a2cb25d,12.0,12.0,7.0,4.0,1.0,1.0,9.0,8.0,9.0,0.0,9.0,9.0,21.0,4.0,1.0
9f31b1d3,6.0,3.0,4.0,2.0,0.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,8.0,4.0,0.0
2a70dcc9,1.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
632e0184,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
91976866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feb5d3ab,18.0,13.0,10.0,8.0,0.0,10.0,20.0,10.0,10.0,1.0,9.0,6.0,24.0,14.0,1.0
2f965a72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
97333cf5,6.0,1.0,0.0,6.0,0.0,0.0,9.0,9.0,2.0,0.0,2.0,5.0,11.0,1.0,0.0
963a328b,15.0,11.0,4.0,11.0,0.0,4.0,15.0,11.0,6.0,0.0,6.0,4.0,19.0,1.0,0.0
089550f5,2.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,0.0
45af8a54,4.0,3.0,2.0,1.0,1.0,0.0,4.0,4.0,2.0,1.0,1.0,3.0,7.0,5.0,0.0
d5dd5f1f,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
97bfa797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0
0e34de55,4.0,3.0,0.0,4.0,0.0,1.0,4.0,3.0,4.0,1.0,3.0,5.0,9.0,1.0,0.0
5c2b4f07,8.0,7.0,6.0,1.0,1.0,4.0,12.0,8.0,3.0,1.0,2.0,17.0,25.0,13.0,0.0
53fc526b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53cad200,13.0,8.0,4.0,7.0,2.0,8.0,14.0,6.0,10.0,6.0,4.0,17.0,30.0,14.0,0.0
