id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
00672021,3,1,0,1,0,1,0,0,0,0,0,0,0,0
008a6e6d,3,2,0,0,0,1,0,0,0,0,0,0,0,0
01b8a2b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01eb744d,22,16,0,2,1,3,0,2,2,0,0,0,0,0
02c15616,2,2,0,0,0,0,0,0,0,0,0,0,0,0
02ce2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
042d286e,4,3,0,0,1,0,0,0,0,0,0,0,0,0
042e8a49,25,17,0,5,0,3,0,7,4,0,3,0,0,0
0442183b,0,0,0,0,0,0,0,0,0,0,0,0,0,0
048a1cbc,7,7,0,0,0,0,0,1,1,0,0,0,0,0
04965583,3,1,0,0,0,1,1,0,0,0,0,0,0,0
04ac8285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04f2ed4d,5,5,0,0,0,0,0,1,1,0,0,0,0,0
05439de2,23,20,1,0,2,0,0,2,2,0,0,0,0,0
0562b7f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05a84d52,5,4,0,0,0,0,1,2,2,0,0,0,0,0
05d548d8,10,6,0,1,3,0,0,1,0,0,0,1,0,0
061e8e23,11,9,0,0,1,1,0,1,1,0,0,0,0,0
07802f7f,1,1,0,0,0,0,0,1,1,0,0,0,0,0
08511d65,9,8,0,0,1,0,0,2,2,0,0,0,0,0
089550f5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
08a2c314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08aa17d0,4,3,0,0,1,0,0,0,0,0,0,0,0,0
09586899,32,24,5,1,2,0,0,4,2,1,0,1,0,0
0a215326,6,4,0,1,0,1,0,0,0,0,0,0,0,0
0aa874f4,5,5,0,0,0,0,0,0,0,0,0,0,0,0
0ab1f153,19,15,0,4,0,0,0,2,1,0,1,0,0,0
0b5a292a,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0be28faf,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0d267745,3,1,0,0,0,0,2,0,0,0,0,0,0,0
0d82903c,21,17,0,1,1,2,0,1,1,0,0,0,0,0
0d863fdc,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0e34de55,9,8,1,0,0,0,0,0,0,0,0,0,0,0
0e7ccfc4,6,2,1,0,1,1,1,2,0,0,0,0,1,1
0ef05b3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ef89a37,23,13,4,2,1,2,1,5,4,1,0,0,0,0
0f8bd0a6,6,3,2,0,1,0,0,1,0,0,0,1,0,0
0ff9eabc,6,3,2,0,0,1,0,0,0,0,0,0,0,0
10072610,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101da2b5,17,12,0,3,1,1,0,3,2,0,1,0,0,0
10d8eff2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
