id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
65d62814,13,29,16,3.0,1,3.0,2.0,0.0,0.0,0.0,0.0
7a2e46a8,14,28,14,10.0,1,2.0,4.0,0.0,0.0,0.0,0.0
28d596a0,3,7,4,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
55b93ae0,8,35,27,2.0,1,2.0,1.0,1.0,1.0,0.0,0.0
f7b10c66,6,15,9,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0
f6798fc3,5,19,14,1.0,3,2.0,2.0,4.0,2.0,0.0,2.0
1e064bfb,0,4,4,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0
eb2b33aa,11,23,13,0.0,0,5.0,0.0,1.0,1.0,0.0,0.0
3e1550ee,0,1,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
db401046,8,26,18,1.0,2,2.0,1.0,1.0,1.0,0.0,0.0
2edbd8d5,3,8,5,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
f5dfc256,4,8,4,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
93fffbcf,11,28,18,1.0,2,3.0,2.0,0.0,0.0,0.0,0.0
1840e36d,14,72,57,9.0,0,4.0,5.0,1.0,0.0,1.0,0.0
a04e2dd2,8,26,17,0.0,1,3.0,0.0,3.0,2.0,1.0,0.0
52b3c895,17,37,20,0.0,0,5.0,0.0,3.0,3.0,0.0,0.0
a9107589,6,18,12,0.0,0,2.0,0.0,2.0,2.0,0.0,0.0
08f5afaa,6,25,18,3.0,1,1.0,2.0,2.0,1.0,1.0,0.0
3bb7b8b4,14,28,15,7.0,2,2.0,3.0,2.0,2.0,0.0,0.0
11c7fa75,6,17,11,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0
7ba6d84e,9,29,20,3.0,2,2.0,1.0,0.0,0.0,0.0,0.0
3f034750,4,16,12,3.0,2,1.0,3.0,2.0,2.0,0.0,0.0
bcb2ccd8,14,24,11,1.0,1,3.0,0.0,3.0,2.0,0.0,1.0
b583aef5,2,6,4,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
74419746,7,19,12,4.0,1,3.0,3.0,0.0,0.0,0.0,0.0
a6de6361,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
e5a76dfe,1,4,3,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2fabebc0,4,9,5,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
cd59b9df,11,23,12,3.0,0,3.0,2.0,1.0,0.0,1.0,0.0
ff74841d,14,30,16,3.0,2,3.0,1.0,3.0,3.0,0.0,0.0
b8798a46,6,17,11,1.0,0,3.0,1.0,1.0,1.0,0.0,0.0
fcb38f57,7,20,13,0.0,0,3.0,0.0,2.0,1.0,1.0,0.0
11d8aff0,0,3,3,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0
33887998,7,16,9,7.0,0,2.0,5.0,1.0,1.0,0.0,0.0
d436eb94,20,47,27,1.0,1,4.0,0.0,3.0,3.0,0.0,0.0
a111cf41,13,34,21,1.0,3,2.0,1.0,0.0,0.0,0.0,0.0
ecada4fc,5,16,11,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0
8778c910,6,20,14,7.0,1,1.0,4.0,0.0,0.0,0.0,0.0
ee8508c0,10,36,26,3.0,3,4.0,3.0,2.0,2.0,0.0,0.0
e9c0c1b2,2,4,2,1.0,0,1.0,0.0,1.0,1.0,0.0,0.0
3392603d,6,18,13,5.0,1,0.0,2.0,1.0,1.0,0.0,0.0
4c62d0c8,0,2,2,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0
c89e8aae,2,7,5,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
34c3b935,2,8,6,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0
625c144a,16,55,40,5.0,3,4.0,3.0,0.0,0.0,0.0,0.0
e1d4f20d,1,2,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
42130443,2,5,3,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
01b8a2b2,10,22,13,4.0,1,2.0,3.0,2.0,2.0,0.0,0.0
b056e3da,2,9,7,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0
6f51e382,9,25,16,2.0,1,3.0,3.0,1.0,1.0,0.0,0.0
41f0b196,9,25,17,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
7d3e7da6,1,5,4,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
728e9b2e,4,7,3,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0
03df04ff,17,52,35,3.0,4,3.0,5.0,1.0,0.0,1.0,0.0
