id,GA,PKA,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
f76e6b4e,0,0,0.0,0.0,0.0,1.0,1.0,9.0,18.0,24.0,3.0,8.0,18.0,3.0,1.0,909.6,340.0,13.0
7a2e46a8,5,0,0.0,0.0,0.0,8.9,3.9,26.0,64.0,210.0,31.0,50.0,64.0,1.0,13.0,6153.0,1870.0,287.3
63e905bc,4,1,0.0,0.0,0.0,3.1,-0.9,16.0,41.0,84.0,13.0,12.0,18.0,1.0,3.0,2788.8,598.8,54.3
28d596a0,1,0,0.0,0.0,0.0,0.5,-0.5,0.0,2.0,20.0,1.0,5.0,5.0,0.0,0.0,502.0,97.0,0.0
f6798fc3,6,2,0.0,0.0,0.0,7.6,1.6,18.0,38.0,119.0,18.0,25.0,47.0,2.0,7.0,3379.6,945.0,135.1
1e064bfb,2,0,0.0,0.0,0.0,1.8,-0.2,5.0,8.0,34.0,8.0,5.0,11.0,1.0,0.0,880.6,219.0,0.0
e40d028b,0,0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,14.0,6.0,13.0,6.0,0.0,0.0,404.6,364.0,0.0
9d12e142,1,1,0.0,0.0,0.0,3.8,2.8,14.0,39.0,113.0,19.0,24.0,45.0,4.0,1.0,3457.8,808.8,9.0
eb2b33aa,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93fffbcf,0,0,0.0,0.0,0.0,0.1,0.1,3.0,27.0,37.0,5.0,8.0,8.0,1.0,0.0,1498.5,447.2,0.0
1840e36d,14,0,1.0,0.0,1.0,15.3,2.3,27.0,109.0,370.0,68.0,85.0,116.0,11.0,21.0,11211.0,2839.0,382.2
4030c7ae,17,3,0.0,0.0,1.0,14.2,-1.8,39.0,76.0,202.0,33.0,40.0,48.0,0.0,4.0,6262.0,1388.0,60.4
3bb7b8b4,5,0,0.0,1.0,0.0,6.4,1.4,31.0,71.0,287.0,53.0,46.0,76.0,4.0,19.0,8064.7,1564.0,366.7
7ba6d84e,8,0,1.0,1.0,1.0,6.7,-0.3,21.0,46.0,83.0,16.0,39.0,63.0,2.0,4.0,2689.2,1267.5,58.0
f0f7f62f,1,0,0.0,1.0,0.0,1.1,0.1,34.0,60.0,64.0,6.0,19.0,41.0,2.0,3.0,2848.0,1086.8,43.2
cecbce23,7,2,0.0,0.0,0.0,8.1,1.1,20.0,64.0,116.0,19.0,34.0,56.0,1.0,4.0,4060.0,1509.6,73.2
8b3d765f,3,1,0.0,0.0,0.0,3.7,0.7,17.0,42.0,53.0,8.0,19.0,31.0,0.0,1.0,2204.8,894.9,13.5
bcb2ccd8,16,3,1.0,1.0,1.0,16.7,1.7,26.0,75.0,261.0,43.0,41.0,81.0,5.0,14.0,7934.4,979.9,260.4
b583aef5,18,2,0.0,2.0,0.0,12.1,-5.9,37.0,92.0,141.0,29.0,43.0,71.0,3.0,12.0,5555.4,1883.4,186.0
74419746,9,2,0.0,1.0,1.0,6.8,-1.2,14.0,29.0,154.0,21.0,21.0,48.0,1.0,10.0,4127.2,436.8,205.0
a3b952f8,9,0,0.0,0.0,0.0,9.2,0.2,38.0,108.0,161.0,10.0,36.0,50.0,0.0,1.0,6262.9,1990.8,11.2
e5a76dfe,2,0,0.0,0.0,0.0,1.1,-0.9,3.0,5.0,12.0,5.0,6.0,7.0,0.0,0.0,409.2,105.0,0.0
2e7ff968,12,2,0.0,2.0,1.0,11.1,0.1,13.0,57.0,137.0,20.0,40.0,105.0,3.0,2.0,4452.5,1368.0,18.6
3f65d5ce,1,0,0.0,0.0,1.0,0.9,0.9,9.0,25.0,24.0,2.0,11.0,17.0,0.0,0.0,1099.2,572.0,0.0
62d7ef38,1,1,0.0,0.0,0.0,2.3,1.3,14.0,38.0,73.0,16.0,22.0,38.0,2.0,1.0,2584.2,594.0,15.8
2fabebc0,13,3,0.0,1.0,0.0,12.7,-0.3,25.0,60.0,151.0,43.0,39.0,90.0,4.0,2.0,4922.6,1333.8,21.2
1d2d5cc8,13,2,0.0,2.0,1.0,10.4,-1.6,26.0,95.0,209.0,18.0,38.0,50.0,1.0,5.0,6625.3,1406.0,81.0
853b7c48,9,1,1.0,1.0,0.0,12.9,3.9,66.0,220.0,329.0,39.0,60.0,183.0,4.0,8.0,14147.0,2400.0,112.8
a3b0ed18,10,0,0.0,3.0,0.0,9.4,-0.6,50.0,107.0,177.0,29.0,70.0,143.0,10.0,5.0,6230.4,2450.0,63.0
33887998,3,0,0.0,2.0,0.0,6.8,3.8,48.0,113.0,295.0,52.0,76.0,153.0,7.0,5.0,8348.5,2933.6,65.0
d436eb94,9,1,1.0,1.0,0.0,7.5,-1.5,46.0,95.0,199.0,26.0,32.0,43.0,3.0,13.0,7024.7,1174.4,308.1
ecada4fc,15,3,1.0,2.0,0.0,18.7,3.7,47.0,140.0,334.0,62.0,101.0,181.0,5.0,8.0,10921.8,3211.8,100.0
0880e10b,2,1,0.0,1.0,0.0,5.4,3.4,3.0,6.0,27.0,5.0,11.0,13.0,0.0,0.0,758.7,212.3,0.0
a9dc785c,1,1,0.0,0.0,0.0,1.8,0.8,5.0,17.0,70.0,14.0,22.0,26.0,0.0,4.0,1631.0,726.0,82.8
8778c910,8,0,0.0,1.0,0.0,13.0,5.0,28.0,57.0,273.0,57.0,44.0,92.0,3.0,25.0,7507.5,1359.6,527.5
afb0c500,2,0,0.0,0.0,0.0,2.2,0.2,4.0,11.0,68.0,11.0,13.0,19.0,0.0,3.0,1652.4,282.1,58.2
ee8508c0,11,2,0.0,0.0,1.0,9.7,-0.3,41.0,119.0,147.0,30.0,61.0,93.0,3.0,4.0,5703.6,2555.9,57.2
e9c0c1b2,7,1,0.0,0.0,1.0,8.4,2.4,22.0,77.0,284.0,34.0,31.0,64.0,2.0,5.0,8321.2,830.8,79.5
14e05913,4,1,0.0,0.0,0.0,2.7,-1.3,2.0,7.0,28.0,5.0,4.0,13.0,0.0,1.0,714.0,178.0,14.0
34c3b935,4,1,1.0,1.0,0.0,4.2,0.2,6.0,9.0,19.0,1.0,8.0,7.0,0.0,1.0,501.6,318.4,14.0
e358587b,12,2,0.0,0.0,1.0,8.9,-2.1,24.0,54.0,261.0,45.0,24.0,90.0,2.0,4.0,7334.1,475.2,43.2
903b6e8b,10,3,0.0,0.0,0.0,11.1,1.1,28.0,80.0,161.0,39.0,49.0,68.0,6.0,0.0,5184.2,2062.9,0.0
d97b252e,8,2,0.0,1.0,0.0,6.6,-1.4,29.0,74.0,94.0,23.0,30.0,76.0,4.0,1.0,3929.2,1398.0,7.0
74733221,4,0,0.0,0.0,0.0,3.2,-0.8,10.0,19.0,38.0,7.0,12.0,24.0,0.0,4.0,1075.4,552.0,88.8
420c18a1,13,0,0.0,1.0,0.0,14.1,1.1,33.0,86.0,293.0,29.0,49.0,107.0,6.0,4.0,8555.6,1180.9,50.4
ac4003af,11,2,0.0,0.0,0.0,9.8,-1.2,17.0,35.0,86.0,25.0,29.0,40.0,3.0,5.0,2433.8,1386.2,84.0
27d902c8,17,2,0.0,3.0,1.0,12.4,-3.6,11.0,36.0,94.0,19.0,31.0,67.0,3.0,3.0,3017.4,771.9,40.2
42130443,0,0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,20.0,5.0,5.0,9.0,0.0,0.0,436.0,78.0,0.0
339fe0e8,1,0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,10.0,3.0,8.0,14.0,0.0,0.0,350.0,360.0,0.0
01b8a2b2,8,2,1.0,0.0,0.0,9.4,1.4,6.0,15.0,133.0,25.0,39.0,61.0,3.0,10.0,2952.6,881.4,172.0
6f51e382,9,3,0.0,0.0,0.0,11.0,2.0,10.0,15.0,98.0,15.0,29.0,41.0,0.0,5.0,2312.8,742.4,81.0
41f0b196,8,0,0.0,1.0,1.0,7.1,0.1,20.0,91.0,162.0,28.0,52.0,117.0,2.0,1.0,5718.6,2438.8,10.3
7b456af7,3,1,1.0,0.0,0.0,1.8,-1.2,8.0,19.0,36.0,3.0,8.0,20.0,1.0,1.0,1195.2,359.2,14.7
