id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
01b8a2b2,0,1,0,6.8,-2.2,10,24,84,16,19,42,2,3,2394.0,625.1,47.4
03df04ff,0,1,0,8.5,0.5,26,81,157,32,47,108,4,9,5510.7,1809.5,130.5
08f5afaa,0,2,1,10.1,1.1,13,42,192,41,46,99,3,8,4761.6,1104.0,106.4
1840e36d,1,2,0,7.8,1.8,17,41,169,34,31,59,4,4,4529.2,1190.4,58.4
1f994616,0,1,0,4.5,0.5,12,38,48,11,22,23,2,0,1555.2,1104.4,0.0
20b9f052,0,1,0,5.4,-2.6,18,56,151,20,25,44,3,11,4952.8,940.0,187.0
28d596a0,0,0,0,5.1,1.1,21,67,168,26,35,66,5,10,5224.8,1431.5,187.0
3061e1ec,0,0,0,2.1,0.1,0,1,34,9,9,13,1,3,557.6,138.6,61.5
33887998,0,0,0,0.9,-0.1,2,3,22,3,3,7,1,2,605.0,41.1,45.4
3392603d,0,3,0,14.6,-1.4,20,101,248,29,33,85,4,5,8134.4,1270.5,62.0
3b0108d6,0,1,0,2.5,-1.5,4,12,26,5,5,12,1,1,813.8,199.0,15.3
3bb7b8b4,0,2,0,2.1,0.1,21,39,139,18,23,34,1,3,3878.1,892.4,52.2
3f034750,0,0,0,1.8,-0.2,4,14,21,5,9,11,0,0,699.3,516.6,0.0
41f0b196,0,0,2,9.0,1.0,22,71,205,25,54,122,4,2,5535.0,2403.0,17.4
420c18a1,0,0,0,1.3,1.3,1,7,56,10,9,22,1,0,1394.4,196.2,0.0
4535e4bb,0,0,0,2.7,-0.3,14,42,49,6,16,22,2,1,1915.9,1073.6,13.2
4c62d0c8,0,0,0,4.6,0.6,6,13,46,11,9,22,0,1,1485.8,147.6,10.7
58f077c0,0,0,1,12.5,2.5,34,110,177,27,76,101,3,3,6318.9,3138.8,32.4
62182b1d,0,1,1,8.9,0.9,18,59,96,17,28,54,6,3,3388.8,1506.4,39.3
65d62814,0,1,0,6.1,1.1,14,69,184,29,35,82,9,3,5612.0,1295.0,27.6
663e080e,0,0,0,3.7,-0.3,9,26,170,18,32,57,3,3,4114.0,841.6,52.2
6f51e382,0,2,0,9.7,-0.3,24,35,134,22,28,41,0,6,3577.8,859.6,121.2
75c2e240,1,2,1,17.7,-2.3,19,49,104,30,39,82,4,8,3380.0,1349.4,137.6
7a2e46a8,0,0,0,10.3,-0.7,25,46,216,30,33,46,7,9,5659.2,1032.9,154.8
7d3e7da6,0,0,0,2.9,0.9,8,19,95,14,21,43,1,3,2584.0,333.9,49.2
8778c910,0,0,0,1.8,1.8,9,24,98,14,22,28,0,0,3253.6,541.2,0.0
8f62b6ee,0,3,0,7.9,1.9,20,38,134,30,42,79,6,13,3685.0,1087.8,223.6
93fffbcf,0,1,1,10.3,3.3,51,130,267,34,42,107,8,4,9905.7,1957.2,45.2
9413b19f,0,2,0,8.0,2.0,16,34,161,27,51,102,5,7,3992.8,1020.0,95.2
ac295d9e,0,0,0,0.9,0.9,6,29,64,6,9,20,2,0,2092.8,437.4,0.0
ad3389d5,0,1,0,7.0,-1.0,22,58,167,28,35,91,5,2,5143.6,1144.5,20.0
b056e3da,0,1,0,6.9,1.9,34,65,140,15,33,56,3,11,4578.0,1296.9,234.3
b56dd813,0,1,0,5.5,0.5,25,55,153,17,44,73,4,9,4498.2,1526.8,185.4
bcb2ccd8,0,0,0,4.2,-1.8,1,10,52,10,12,9,1,1,1320.8,230.4,17.8
c1242d4e,0,1,0,1.1,0.1,3,5,42,6,10,5,1,5,894.6,269.0,115.5
c3e39f12,0,0,0,2.0,1.0,3,9,45,16,10,17,0,3,1197.0,260.0,75.0
cb4f24c6,0,0,0,13.3,-1.7,7,17,142,32,32,59,0,6,3479.0,809.6,115.8
cc1c5035,0,0,0,2.9,0.9,1,3,31,5,8,18,1,0,620.0,195.2,0.0
cd59b9df,0,0,0,5.4,3.4,12,41,124,13,18,48,2,4,3620.8,509.4,47.6
ce17b5eb,0,0,0,10.2,0.2,22,87,160,27,39,71,2,5,5984.0,1162.2,74.5
d3dc62d1,0,0,0,4.6,-0.4,14,32,37,7,13,5,0,0,1591.0,839.8,0.0
d436eb94,0,0,0,15.0,4.0,79,153,246,30,75,112,6,5,9052.8,3022.5,48.0
e9c0c1b2,0,1,1,11.1,5.1,41,99,234,38,53,114,8,3,7768.8,2178.3,32.4
eca17cf2,0,1,0,18.4,-0.6,40,86,101,17,40,74,2,8,4181.4,2184.0,136.8
ee8508c0,0,0,0,8.1,1.1,13,42,78,22,34,42,3,4,2433.6,1516.4,58.0
f3a97d02,1,2,0,15.7,-2.3,27,93,143,20,51,55,1,6,5105.1,2453.1,121.2
f6798fc3,0,1,0,9.2,-2.8,23,57,165,17,43,53,6,4,4702.5,1874.8,45.6
fcb38f57,0,0,0,2.6,0.6,11,25,90,14,19,32,3,1,2736.0,609.9,15.4
ff74841d,0,2,0,9.4,0.4,29,73,111,11,32,89,2,8,4706.4,1276.8,129.6
