id,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
00672021,0,0,0,0,3,0,0,0,0
008a6e6d,0,0,0,3,2,0,0,1,0
01b8a2b2,0,0,0,0,0,0,0,0,0
01eb744d,0,0,0,3,6,2,0,0,0
02c15616,0,0,0,0,0,0,0,0,0
02ce2030,1,0,0,5,7,0,0,0,0
042d286e,0,0,0,1,0,0,0,0,0
042e8a49,0,0,0,3,9,0,0,0,0
0442183b,0,0,0,0,0,0,0,0,0
048a1cbc,0,0,0,2,2,0,0,0,0
04965583,1,0,0,2,4,1,0,0,0
04ac8285,0,0,0,0,0,0,0,0,0
04f2ed4d,0,0,0,2,0,0,0,0,0
05439de2,0,0,0,8,4,0,0,0,0
0562b7f1,0,0,0,0,1,2,0,0,0
05a84d52,0,0,0,4,5,1,0,0,0
05d548d8,1,0,0,8,2,1,0,0,0
061e8e23,0,0,0,1,1,1,0,0,0
07802f7f,0,0,0,1,1,1,0,0,0
08511d65,3,0,0,13,13,3,0,0,0
089550f5,0,0,0,0,1,0,0,0,0
08a2c314,0,0,0,0,1,0,0,0,0
08aa17d0,1,0,0,9,1,0,0,0,0
09586899,0,0,0,1,5,4,0,0,0
0a215326,0,0,0,0,4,0,0,0,0
0aa874f4,2,0,0,8,7,1,0,0,0
0ab1f153,1,0,0,13,13,0,0,0,0
0b5a292a,0,0,0,0,1,0,0,0,0
0be28faf,0,0,0,7,8,1,0,0,0
0d267745,2,0,0,7,5,0,0,0,0
0d82903c,3,0,0,20,8,0,0,0,1
0d863fdc,1,0,0,3,1,0,0,0,0
0e34de55,0,0,0,6,3,0,0,0,0
0e7ccfc4,0,0,0,1,2,0,1,0,0
0ef05b3e,0,0,0,0,0,0,0,0,0
0ef89a37,0,0,0,7,8,0,0,0,0
0f8bd0a6,2,0,0,5,10,0,0,0,0
0ff9eabc,3,0,0,15,3,1,0,0,0
10072610,0,0,0,0,0,0,0,0,0
101da2b5,2,0,0,15,4,0,0,1,0
10d8eff2,0,0,0,2,1,0,0,0,0
110338ae,1,0,0,0,0,0,0,0,0
111c3236,0,0,0,2,2,0,0,0,0
114b510e,2,0,0,5,9,0,0,0,0
119b9a8e,0,0,0,0,0,0,0,0,0
11b9265b,2,0,0,7,7,0,0,1,0
129af0db,1,0,0,8,9,8,0,0,0
12c50af5,0,0,0,3,3,2,0,0,0
13c44fc5,2,0,0,4,6,0,0,1,0
1467af0d,1,2,1,13,15,0,0,0,0
