id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
8637e09a,89.0,135.0,1177.0,140.0,50.0,71.0,27.0,37.0,3.0,4.0,2,1.0,0.9,1.0,4.0,4.0,2.0,0.0,7.0
81442ecb,104.0,161.0,1748.0,706.0,55.0,62.0,31.0,51.0,14.0,33.0,1,0.5,0.7,0.5,5.0,7.0,8.0,3.0,13.0
c81d773d,90.0,95.0,1626.0,364.0,37.0,37.0,40.0,41.0,10.0,14.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
9d8586c4,194.0,269.0,3185.0,1327.0,104.0,116.0,71.0,93.0,14.0,36.0,0,0.1,0.1,-0.1,3.0,17.0,2.0,0.0,25.0
2557c196,109.0,151.0,1625.0,336.0,60.0,79.0,35.0,41.0,8.0,14.0,0,0.9,0.8,-0.9,9.0,9.0,8.0,1.0,16.0
42a632ba,189.0,224.0,2760.0,934.0,116.0,128.0,58.0,71.0,10.0,16.0,0,0.1,0.1,-0.1,3.0,11.0,2.0,2.0,12.0
4d034881,98.0,128.0,1104.0,156.0,60.0,76.0,20.0,21.0,4.0,5.0,1,0.4,0.6,0.6,6.0,6.0,4.0,1.0,6.0
0ff9eabc,169.0,191.0,2631.0,680.0,85.0,90.0,65.0,72.0,10.0,14.0,0,0.3,0.1,-0.3,3.0,9.0,2.0,0.0,13.0
5d91cf0f,52.0,76.0,750.0,216.0,32.0,40.0,11.0,19.0,5.0,10.0,0,0.5,0.2,-0.5,5.0,2.0,3.0,1.0,6.0
2b1c4abd,9.0,10.0,110.0,0.0,5.0,6.0,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89ac64a6,210.0,261.0,3826.0,1391.0,96.0,110.0,89.0,105.0,23.0,43.0,1,0.4,0.1,0.6,1.0,6.0,0.0,0.0,15.0
42ec696a,79.0,165.0,2914.0,2441.0,5.0,5.0,26.0,26.0,48.0,134.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
05439de2,325.0,402.0,4666.0,1632.0,184.0,205.0,108.0,131.0,14.0,31.0,2,1.7,1.7,0.3,13.0,26.0,11.0,6.0,31.0
4601e194,499.0,574.0,6953.0,1745.0,308.0,327.0,151.0,174.0,22.0,39.0,0,0.4,0.5,-0.4,8.0,24.0,5.0,0.0,27.0
4bd414c1,347.0,395.0,6794.0,2374.0,115.0,129.0,168.0,180.0,55.0,74.0,0,0.0,0.1,0.0,0.0,18.0,0.0,0.0,28.0
a7a9d95a,41.0,53.0,473.0,113.0,28.0,30.0,11.0,18.0,0.0,1.0,0,0.0,0.1,0.0,0.0,0.0,2.0,0.0,6.0
77e84962,520.0,580.0,9727.0,2372.0,225.0,239.0,211.0,228.0,74.0,91.0,0,0.8,1.1,-0.8,11.0,56.0,9.0,0.0,74.0
f7d50789,136.0,168.0,3217.0,1382.0,38.0,44.0,61.0,66.0,36.0,52.0,1,0.5,0.2,0.5,2.0,14.0,0.0,0.0,12.0
cd1acf9d,444.0,606.0,7898.0,2742.0,208.0,236.0,186.0,250.0,43.0,92.0,1,1.4,1.4,-0.4,5.0,28.0,16.0,4.0,50.0
e044ce1e,8.0,18.0,173.0,89.0,3.0,5.0,4.0,9.0,1.0,4.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0
7a2e46a8,334.0,403.0,9683.0,7331.0,44.0,44.0,155.0,157.0,135.0,201.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
cc700722,129.0,156.0,1765.0,455.0,76.0,84.0,36.0,45.0,7.0,10.0,0,0.1,0.2,-0.1,3.0,13.0,4.0,1.0,14.0
cea4ee8f,156.0,195.0,2161.0,569.0,97.0,115.0,38.0,42.0,7.0,12.0,3,1.5,1.1,1.5,12.0,12.0,6.0,0.0,23.0
67b3d74b,247.0,301.0,3475.0,1137.0,143.0,154.0,76.0,100.0,13.0,24.0,0,0.1,0.1,-0.1,2.0,19.0,2.0,1.0,16.0
ba6e52b0,82.0,91.0,1692.0,630.0,19.0,19.0,52.0,56.0,11.0,15.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0
bdf8165d,359.0,410.0,6210.0,1203.0,175.0,186.0,136.0,157.0,41.0,53.0,0,0.1,0.1,-0.1,1.0,25.0,2.0,0.0,27.0
