id,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
00672021,38,2,2,0,0,0,0,0,0,0,0,0,1
008a6e6d,212,3,3,0,2,0,0,0,0,0,0,0,0
01b8a2b2,24,9,2,0,0,0,0,0,0,0,0,0,0
01eb744d,107,1,0,3,0,11,0,0,0,0,0,2,2
02c15616,29,0,0,0,0,0,0,0,0,0,0,0,0
02ce2030,132,3,3,1,7,0,0,0,0,0,0,0,2
042d286e,40,2,0,0,0,0,0,0,0,0,0,1,3
042e8a49,202,2,1,1,3,19,1,0,0,0,0,0,7
0442183b,3,0,0,0,0,0,0,0,0,0,0,0,0
048a1cbc,151,20,4,0,1,10,11,5,4,0,0,0,3
04965583,64,2,1,0,0,1,1,0,0,0,0,1,6
04ac8285,33,5,1,0,0,0,0,0,0,0,0,0,0
04f2ed4d,144,4,4,0,2,1,0,0,0,0,0,0,0
05439de2,339,62,3,0,1,33,58,1,0,1,0,1,13
0562b7f1,6,2,0,0,0,0,0,0,0,0,0,0,0
05a84d52,99,1,0,0,1,10,1,0,0,0,0,0,10
05d548d8,502,12,10,4,5,0,2,0,0,0,0,6,8
061e8e23,79,6,0,0,0,5,6,0,0,0,0,0,4
07802f7f,16,0,0,0,0,0,0,0,0,0,0,0,2
08511d65,699,22,19,2,19,0,3,0,0,0,0,3,4
089550f5,59,4,1,0,0,3,3,0,0,0,0,0,1
08a2c314,49,25,7,0,0,0,0,0,0,0,0,0,0
08aa17d0,181,42,2,0,2,8,40,0,0,0,0,0,6
09586899,275,35,9,3,0,16,16,10,6,0,0,3,7
0a215326,58,5,2,0,0,4,3,0,0,0,0,0,2
0aa874f4,223,5,5,0,1,1,0,0,0,0,0,0,3
0ab1f153,229,9,1,1,9,12,8,0,0,0,0,1,7
0b5a292a,24,6,0,0,0,1,5,1,1,0,0,0,1
0be28faf,339,12,11,0,2,0,1,0,0,0,0,0,3
0d267745,785,15,13,0,12,0,2,0,0,0,0,1,4
0d82903c,506,70,3,0,6,24,67,0,0,0,0,5,11
0d863fdc,87,12,3,0,0,0,9,0,0,0,0,0,0
0e34de55,166,4,4,0,1,0,0,0,0,0,0,0,1
0e7ccfc4,62,11,0,0,0,9,9,2,0,0,0,0,4
0ef05b3e,65,25,6,0,0,0,0,0,0,0,0,0,0
0ef89a37,227,34,6,7,2,19,4,21,5,8,0,3,4
0f8bd0a6,99,43,9,0,0,8,34,0,0,0,0,0,3
0ff9eabc,177,14,14,0,3,1,0,0,0,0,0,0,6
10072610,40,4,0,0,0,0,0,0,0,0,0,0,0
101da2b5,679,6,5,0,4,2,1,0,0,0,0,4,2
10d8eff2,21,6,1,0,1,0,5,0,0,0,0,0,0
110338ae,47,36,4,0,0,0,0,0,0,0,0,0,0
111c3236,350,40,7,0,2,1,33,0,0,0,0,0,4
114b510e,163,52,8,0,2,17,44,0,0,0,0,2,4
119b9a8e,322,35,6,0,5,8,29,0,0,0,0,0,2
11b9265b,432,67,13,0,4,22,52,2,0,1,0,1,7
129af0db,70,13,1,0,1,1,0,0,0,0,0,0,4
12c50af5,122,10,1,1,0,6,1,8,3,3,0,0,1
13c44fc5,137,47,4,0,2,6,43,0,0,0,0,0,5
1467af0d,712,24,20,9,12,2,4,0,0,0,0,7,8
14a04bea,15,3,1,0,0,0,0,0,0,0,0,0,0
14b8fcdf,53,0,0,0,1,0,0,0,0,0,0,0,1
157c5e0b,46,1,0,0,0,0,0,0,0,0,0,0,1
15b6e8d7,238,64,9,0,2,13,52,3,0,2,0,1,2
16b9d5cf,90,1,1,1,0,0,0,0,0,0,0,0,1
16ceb862,16,4,0,0,1,0,0,0,0,0,0,0,1
17370b95,61,15,3,0,0,0,12,0,0,0,0,0,3
1840e36d,164,64,6,0,0,0,0,0,0,0,0,3,0
1880614f,47,5,0,1,1,6,2,3,1,1,0,0,2
18b896d6,244,9,2,1,9,1,7,0,0,0,0,0,2
1932f8f4,26,3,2,0,0,2,0,1,1,0,0,0,0
1961b2aa,127,2,2,0,1,2,0,0,0,0,0,0,0
19cda00b,68,13,1,2,1,15,3,9,1,4,0,0,10
1a2935f6,650,13,12,0,8,0,1,0,0,0,0,0,6
1a992676,226,7,2,2,1,4,1,4,0,1,0,0,0
1b7ec703,25,0,0,1,0,1,0,0,0,0,0,0,0
1b84dbe1,178,33,3,0,0,6,30,0,0,0,0,0,4
1bebde9d,10,5,0,0,0,0,0,0,0,0,0,0,0
1bf33a9a,143,6,2,2,0,17,3,1,0,0,0,1,6
1c8dc17d,117,3,2,0,0,4,1,0,0,0,0,0,2
1cb49278,252,12,12,0,1,0,0,0,0,0,0,1,2
1ddbb0da,84,34,9,0,1,0,0,0,0,0,0,0,0
1e26e376,34,20,5,0,0,0,0,0,0,0,0,0,0
1f9328da,435,9,3,3,10,28,3,2,0,2,0,3,13
1f9a3a04,32,7,0,0,0,2,7,0,0,0,0,0,1
1fbbfbde,117,6,5,1,1,0,1,0,0,0,0,1,0
20030c06,287,10,10,0,3,0,0,0,0,0,0,4,1
21512407,179,35,1,0,1,8,32,2,0,1,0,1,2
21a66f6a,99,7,0,2,3,4,4,0,0,0,0,2,5
22a94b80,25,15,7,0,0,0,0,0,0,0,0,0,0
22ca11f1,0,0,0,0,0,0,0,0,0,0,0,0,0
230255f5,0,0,0,0,0,0,0,0,0,0,0,0,0
2327c29e,3,0,0,0,0,0,0,0,0,0,0,1,0
2334478a,156,16,2,0,5,6,14,0,0,0,0,0,7
23593121,29,0,0,0,0,0,0,0,0,0,0,0,1
244a1281,148,56,3,0,2,4,53,0,0,0,0,4,0
2513a588,20,0,0,0,0,1,0,0,0,0,0,0,4
