id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
00672021,290,281,9,6,4,6,3,0,3,2,0,0,247,0,4
0127419a,81,58,23,4,0,0,25,0,18,5,10,0,49,0,0
016ff750,70,55,15,0,1,0,6,15,0,0,0,0,51,0,2
01b8a2b2,198,137,61,7,0,0,0,0,0,0,0,0,181,0,0
01eb744d,119,117,1,0,3,0,4,0,1,0,0,0,78,1,5
028e70b9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
02c15616,49,48,1,0,1,0,2,0,0,0,0,0,35,0,1
02ef8778,29,24,5,0,0,1,1,0,0,0,0,0,27,0,0
032f894e,72,63,9,1,0,0,8,2,6,2,4,0,50,0,2
0331786b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03998238,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
03df04ff,187,115,72,15,0,0,0,0,0,0,0,0,154,0,0
042e8a49,273,267,5,0,0,2,34,5,0,0,0,0,212,1,6
048a1cbc,394,343,50,4,3,0,8,42,4,2,0,0,342,1,8
04989945,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
04ac8285,203,120,82,23,0,1,0,0,0,0,0,0,130,1,0
05439de2,595,581,14,9,0,2,4,5,0,0,0,0,538,0,3
05d548d8,434,417,16,14,1,8,0,2,0,0,0,0,368,1,8
0638becf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
070ec0b1,464,453,10,9,0,2,0,1,0,0,0,0,429,1,1
07a821e4,63,62,1,1,0,1,0,0,0,0,0,0,57,0,2
08511d65,346,337,9,7,0,8,0,2,0,0,0,0,319,0,2
089550f5,95,82,13,1,0,1,2,12,0,0,0,0,72,0,1
0959c2a2,220,220,0,0,1,1,3,0,0,0,0,0,193,0,3
0a6dbbf7,199,194,5,4,0,3,0,1,0,0,0,0,178,0,1
0ab1f153,434,397,35,7,2,11,19,28,0,0,0,0,371,2,8
0ac94a23,82,80,2,0,0,1,8,2,0,0,0,0,52,0,6
0b5a292a,380,303,74,13,0,6,25,58,3,0,3,0,300,3,13
0ba976e4,55,54,1,0,1,0,2,1,0,0,0,0,43,0,1
