,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0,00672021,3,54,0,0,0,3,5,1,0,2,-2,0.4,2.1,-1.7,540,6,6,6
1,008a6e6d,7,296,3,3,3,4,4,2,13,5,8,9.7,3.9,5.8,1080,12,12,12
2,011d8c56,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,720,8,8,8
3,01b8a2b2,2,90,1,1,1,1,8,3,2,1,1,1.5,1.8,-0.3,270,3,3,3
4,01eb744d,6,254,2,2,1,4,0,1,4,2,2,7.6,2.1,5.5,270,3,3,3
5,02c15616,1,21,0,0,0,1,3,3,1,0,1,1.6,0.1,1.5,90,1,1,1
6,02ce2030,5,359,4,5,3,0,0,0,2,7,-5,3.6,8.8,-5.2,810,9,9,9
7,042d286e,3,145,1,2,0,1,2,1,1,7,-6,0.8,7.7,-6.9,540,6,6,6
8,042e8a49,6,388,4,4,2,2,0,2,13,3,10,9.9,5.6,4.2,180,2,2,2
9,0442183b,2,9,0,0,0,2,3,1,0,1,-1,0.0,0.8,-0.8,270,3,3,3
10,048a1cbc,3,252,2,3,2,0,0,0,4,6,-2,5.0,4.3,0.7,90,1,1,1
11,04965583,4,112,1,1,0,3,1,2,2,0,2,1.5,0.3,1.3,90,1,1,1
12,04989945,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,720,8,8,8
13,04ac8285,1,90,1,1,1,0,9,3,2,0,2,1.2,1.0,0.2,810,9,9,9
14,04f2ed4d,4,316,3,4,3,0,2,1,4,7,-3,2.6,8.3,-5.7,540,6,6,6
15,05439de2,7,625,6,7,6,0,0,2,18,8,10,16.3,8.8,7.4,540,6,6,6
16,0562b7f1,2,37,0,0,0,2,0,0,0,2,-2,0.3,0.7,-0.4,540,6,6,6
17,05a6c38b,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,45,1,0,0
18,05a84d52,6,440,4,6,4,0,0,1,10,12,-2,7.3,7.8,-0.4,540,6,6,6
19,05b41351,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,540,6,6,6
20,05d548d8,9,679,7,8,7,1,3,2,17,6,11,18.5,7.2,11.3,450,5,5,5
21,061e8e23,3,172,1,2,1,1,2,0,2,4,-2,4.7,3.9,0.7,90,1,1,1
22,07802f7f,4,54,0,0,0,4,2,2,1,2,-1,1.0,2.0,-1.0,1170,13,13,13
23,08511d65,11,990,11,11,11,0,0,2,26,13,13,26.7,16.7,10.0,630,7,7,7
24,089550f5,3,99,1,1,0,2,7,1,2,2,0,2.4,1.4,1.0,990,11,11,11
25,08a2c314,2,180,2,2,2,0,6,1,3,4,-1,3.0,5.1,-2.0,90,1,1,1
26,08aa17d0,4,329,3,4,2,0,1,1,3,2,1,4.8,3.4,1.3,540,6,6,6
27,09586899,9,494,5,6,3,3,0,2,12,1,11,12.6,4.9,7.7,540,6,6,6
28,0a215326,2,107,1,1,1,1,0,0,1,8,-7,1.5,5.0,-3.5,270,3,3,3
29,0aa874f4,6,540,6,6,6,0,0,1,4,13,-9,3.4,13.8,-10.3,450,5,5,5
30,0ab1f153,6,410,4,5,2,1,1,1,4,2,2,6.5,4.1,2.4,720,8,8,8
31,0b1e3c10,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,158,2,2,1
32,0b5a292a,2,30,0,0,0,2,0,1,0,1,-1,0.2,0.1,0.0,540,6,6,6
33,0be28faf,6,520,5,6,5,0,0,1,4,18,-14,4.5,10.3,-5.8,720,8,8,8
34,0d267745,8,720,8,8,8,0,2,2,18,8,10,12.4,8.8,3.6,180,2,2,2
35,0d82903c,10,900,10,10,10,0,0,1,14,12,2,16.9,13.6,3.3,450,5,5,5
36,0d863fdc,5,450,5,5,5,0,0,1,1,16,-15,2.9,14.5,-11.6,540,6,6,6
37,0e34de55,3,237,2,3,2,0,1,0,1,5,-4,3.4,2.9,0.6,382,5,4,4
38,0e7ccfc4,3,104,1,1,1,2,2,2,3,0,3,4.0,0.5,3.6,270,3,3,3
39,0ef05b3e,3,270,3,3,3,0,3,1,1,8,-7,1.5,4.5,-3.0,180,2,2,2
40,0ef89a37,5,347,3,4,3,1,0,1,18,3,15,13.9,3.1,10.8,270,3,3,3
41,0f8bd0a6,4,267,3,3,1,1,0,1,4,4,0,3.2,2.4,0.8,270,3,3,3
42,0ff9eabc,4,360,4,4,4,0,0,0,3,12,-9,4.4,6.0,-1.6,90,2,1,1
43,10072610,1,90,1,1,1,0,9,0,1,2,-1,1.6,0.6,1.0,810,9,9,9
44,101da2b5,8,682,7,8,6,0,1,1,17,10,7,11.5,10.0,1.5,990,11,11,11
45,10d8eff2,1,90,1,1,1,0,4,0,0,4,-4,0.3,1.3,-1.0,720,8,8,8
46,110338ae,3,225,2,3,2,0,0,1,0,6,-6,1.3,6.2,-4.9,180,2,2,2
47,111c3236,5,383,4,4,4,1,3,3,12,3,9,8.0,5.8,2.1,90,1,1,1
48,114b510e,5,450,5,5,5,0,1,1,2,10,-8,2.4,11.1,-8.8,90,1,1,1
49,119b9a8e,3,270,3,3,3,0,1,0,2,7,-5,3.4,3.0,0.4,225,3,3,2
50,11b9265b,8,563,6,7,5,1,5,2,19,5,14,18.1,4.6,13.4,0,0,0,0
51,129af0db,7,383,4,4,1,3,1,1,7,8,-1,9.1,5.3,3.8,0,0,0,0
52,12c50af5,3,170,1,2,1,1,6,2,3,0,3,2.7,1.3,1.4,0,0,0,0
53,13c44fc5,4,360,4,4,4,0,2,0,3,9,-6,3.6,6.6,-3.0,0,0,0,0
54,1467af0d,8,640,7,8,3,0,0,1,21,8,13,14.1,7.7,6.4,0,0,0,0
55,14a04bea,2,77,0,1,0,1,2,0,1,1,0,0.2,2.5,-2.3,0,0,0,0
56,14b8fcdf,2,110,1,1,1,1,7,2,1,0,1,0.7,1.0,-0.3,0,0,0,0
57,157c5e0b,2,158,1,2,1,0,2,1,2,3,-1,2.1,4.5,-2.3,0,0,0,0
58,15b6e8d7,6,519,5,6,5,0,1,2,10,9,1,6.5,11.9,-5.4,0,0,0,0
59,15f3ec41,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
60,16b8fabd,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
61,16b9d5cf,1,90,1,1,1,0,3,3,3,1,2,0.9,1.6,-0.7,0,0,0,0
62,16ceb862,1,67,0,1,0,0,1,0,0,3,-3,0.7,0.7,-0.1,0,0,0,0
63,17370b95,3,114,1,1,1,2,3,1,2,4,-2,1.5,2.7,-1.2,0,0,0,0
64,17640790,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
65,17c1f79e,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
66,1840e36d,8,720,8,8,8,0,0,1,17,12,5,15.5,7.7,7.8,0,0,0,0
67,1880614f,5,237,2,3,0,2,4,1,5,4,1,4.6,3.5,1.1,0,0,0,0
68,18b896d6,6,388,4,4,4,2,2,1,7,7,0,7.7,3.9,3.7,0,0,0,0
69,1932f8f4,2,55,0,0,0,2,2,1,1,1,0,1.2,1.2,0.0,0,0,0,0
70,1940be91,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
71,1961b2aa,9,170,1,1,1,8,0,2,4,2,2,3.2,1.5,1.7,0,0,0,0
72,19cda00b,5,143,1,1,0,4,2,2,6,1,5,3.6,2.2,1.3,0,0,0,0
73,1a2935f6,12,1050,11,12,11,0,0,2,36,16,20,28.2,12.6,15.6,0,0,0,0
74,1a992676,8,315,3,3,1,5,0,1,13,6,7,7.8,3.7,4.1,0,0,0,0
75,1b4f1169,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
76,1b7ec703,5,83,0,0,0,5,1,2,5,0,5,4.7,0.3,4.4,0,0,0,0
77,1b84dbe1,3,270,3,3,3,0,4,2,5,1,4,5.5,1.7,3.8,0,0,0,0
78,1bebde9d,1,90,1,1,1,0,6,3,3,0,3,2.3,0.6,1.7,0,0,0,0
79,1bf33a9a,5,374,4,4,4,1,0,0,5,9,-4,7.6,6.3,1.3,0,0,0,0
80,1bfd572f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
81,1c24aacf,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
82,1c50f354,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
83,1c8dc17d,3,140,1,2,0,1,2,1,1,5,-4,1.8,2.5,-0.7,0,0,0,0
84,1cb49278,6,454,5,5,5,1,2,1,12,8,4,8.3,4.7,3.6,0,0,0,0
85,1ddbb0da,3,270,3,3,3,0,5,1,4,3,1,5.0,3.1,1.9,0,0,0,0
