id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
005ca692,6,474,5.3,5,5,1,0,1.2,1,12.0,-11.0,-3.45,5.4,9.9,-4.5,-2.44,0,0,0,0.0
00672021,4,266,3.0,3,0,1,0,1.38,1,6.0,-5.0,-0.05,2.9,5.3,-2.4,-0.5,0,0,0,0.0
007414dd,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
00844823,3,188,2.1,2,2,1,1,1.75,1,2.0,-1.0,2.59,0.4,4.1,-3.7,0.7,0,0,0,0.0
00a2c297,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
00f0482f,1,23,0.3,0,0,1,0,1.0,0,0.0,0.0,-0.26,0.0,0.2,-0.2,-0.81,0,0,0,0.0
0107757e,0,0,0.0,0,0,0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
012c975a,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
013d348e,0,0,0.0,0,0,0,6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
016ff750,6,117,1.3,1,0,5,2,2.0,1,0.0,1.0,1.23,1.0,1.9,-0.9,0.33,0,0,0,0.0
01834aa0,3,205,2.3,2,2,1,2,0.67,2,4.0,-2.0,-0.07,1.9,4.8,-2.9,-0.36,0,0,0,0.0
0193a8bf,6,531,5.9,6,5,0,0,1.58,7,11.0,-4.0,9.32,7.2,10.2,-3.0,-0.69,0,0,0,0.0
01b8a2b2,7,630,7.0,7,7,0,1,1.86,10,10.0,0.0,-1.0,11.1,10.4,0.8,-1.82,630,7,7,7.0
01c3aff5,6,389,4.3,4,3,2,0,2.17,6,7.0,-1.0,-0.78,6.0,7.2,-1.2,-1.32,0,0,0,0.0
01df0dc4,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
01eb744d,10,405,4.5,3,2,7,0,1.2,5,7.0,-2.0,-0.63,6.4,7.7,-1.3,-0.32,0,0,0,0.0
02aed921,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
02c15616,9,700,7.8,8,7,1,0,1.33,7,4.0,3.0,2.19,9.8,8.5,1.3,1.23,0,0,0,0.0
032f894e,5,404,4.5,5,2,0,0,2.0,6,4.0,2.0,1.02,6.4,4.2,2.3,0.31,0,0,0,0.0
03998238,0,0,0.0,0,0,0,6,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
03df04ff,10,900,10.0,10,10,0,0,1.64,14,17.0,-3.0,0.0,11.8,21.4,-9.7,0.0,900,10,10,10.0
0401175d,0,0,0.0,0,0,0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
042e8a49,9,628,7.0,8,3,1,0,2.22,21,4.0,17.0,0.12,19.9,5.5,14.4,0.67,0,0,0,0.0
048a1cbc,3,182,2.0,2,1,1,0,3.0,4,1.0,3.0,2.49,4.2,1.5,2.6,1.01,0,0,0,0.0
049a888d,6,182,2.0,1,0,5,0,0.43,1,4.0,-3.0,0.28,2.7,3.3,-0.6,0.39,0,0,0,0.0
