id,MP,Min,90s,Starts,Compl,Subs,unSub,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0076ab7f,6,496,5,5,5,1,0,5,12,-7,5.2,9.5,-4.3,0,0,0,0
009a4f60,1,18,0,0,0,1,0,0,0,0,0.0,0.6,-0.6,0,0,0,0
00f518d8,4,44,0,0,0,4,3,1,0,1,0.7,1.2,-0.5,0,0,0,0
01a49bd2,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,0
01b8a2b2,4,360,4,4,4,0,0,7,9,-2,6.8,6.7,0.1,360,4,4,4
01c3aff5,5,360,4,4,3,1,0,8,9,-1,6.4,9.5,-3.2,0,0,0,0
01e5f06e,4,278,3,4,2,0,2,10,1,9,10.1,1.2,9.0,0,0,0,0
01eb744d,6,315,3,3,1,3,0,3,9,-6,4.2,6.8,-2.6,0,0,0,0
01f6298a,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
02c15616,3,212,2,3,2,0,0,2,3,-1,2.3,3.8,-1.5,0,0,0,0
032f894e,3,141,1,1,0,2,1,7,3,4,2.5,2.2,0.3,0,0,0,0
03998238,4,104,1,0,0,4,2,1,3,-2,0.6,2.9,-2.3,0,0,0,0
03df04ff,8,720,8,8,8,0,0,23,8,15,17.0,8.6,8.4,720,8,8,8
042e8a49,5,353,3,5,0,0,1,10,0,10,7.7,3.1,4.5,0,0,0,0
048a1cbc,6,479,5,5,3,1,0,9,5,4,7.7,7.7,0.1,0,0,0,0
049a888d,7,586,6,7,3,0,1,8,10,-2,4.9,11.8,-6.8,0,0,0,0
04e17fd5,4,245,2,3,1,1,1,3,5,-2,3.2,3.9,-0.7,0,0,0,0
04e531b6,3,95,1,1,0,2,2,4,3,1,2.4,2.7,-0.4,0,0,0,0
05439de2,7,396,4,5,2,2,0,13,4,9,11.4,7.6,3.9,0,0,0,0
05d548d8,4,315,3,4,3,0,3,3,4,-1,2.6,4.1,-1.5,0,0,0,0
05e19d6a,6,274,3,3,1,3,0,10,7,3,5.6,6.1,-0.5,0,0,0,0
0670ee51,4,266,3,4,2,0,0,3,3,0,5.1,3.1,2.1,0,0,0,0
06a1d642,6,443,4,6,2,0,0,1,10,-9,4.0,9.2,-5.3,0,0,0,0
08511d65,8,720,8,8,8,0,0,16,10,6,11.0,9.7,1.3,0,0,0,0
08990838,4,360,4,4,4,0,0,1,9,-8,3.4,8.5,-5.1,0,0,0,0
08f5afaa,8,720,8,8,8,0,0,16,10,6,11.0,9.7,1.3,720,8,8,8
08fe932d,2,100,1,1,1,1,1,0,1,-1,0.3,1.7,-1.4,0,0,0,0
0959c2a2,6,517,5,6,5,0,0,17,5,12,12.4,7.2,5.2,0,0,0,0
0a084b35,6,540,6,6,6,0,0,4,15,-11,9.2,10.9,-1.7,0,0,0,0
0a69de7b,2,180,2,2,2,0,4,1,4,-3,2.8,3.1,-0.3,0,0,0,0
0a6dbbf7,8,720,8,8,8,0,0,8,11,-3,8.2,17.0,-8.8,0,0,0,0
0a89e877,6,123,1,0,0,6,1,3,5,-2,1.7,3.4,-1.7,0,0,0,0
0ab1f153,6,431,4,6,1,0,0,6,12,-6,6.3,6.8,-0.5,0,0,0,0
0b5a292a,3,183,2,2,1,1,4,4,0,4,4.5,2.0,2.4,0,0,0,0
0ba976e4,6,244,2,2,1,4,0,9,5,4,5.6,4.8,0.7,0,0,0,0
0be3255b,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,0
0c7a48f8,5,450,5,5,5,0,0,4,8,-4,7.9,7.0,0.9,0,0,0,0
0ca476cc,2,36,0,0,0,2,0,0,1,-1,2.3,1.5,0.7,0,0,0,0
0d267745,8,703,7,8,7,0,0,22,7,15,16.8,8.3,8.5,0,0,0,0
0d48a5bb,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,0
0d4fd3a0,6,540,6,6,6,0,0,7,21,-14,6.4,9.8,-3.4,0,0,0,0
0d82903c,4,239,2,2,1,2,1,5,5,0,4.2,4.5,-0.4,0,0,0,0
0d85a4e8,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,0,0
0d9b2d31,5,401,4,5,3,0,1,8,9,-1,7.2,6.1,1.1,0,0,0,0
0db169ae,8,691,7,8,6,0,0,12,7,5,11.2,8.2,3.0,0,0,0,0
0df2b165,5,450,5,5,5,0,0,1,19,-18,3.1,12.5,-9.4,0,0,0,0
0e6bc38c,6,365,4,4,0,2,2,8,2,6,7.1,3.4,3.7,0,0,0,0
0f41e2ee,1,17,0,0,0,1,1,1,1,0,0.1,0.3,-0.1,0,0,0,0
0fdcef0e,5,129,1,1,1,4,2,2,3,-1,2.7,1.8,0.9,0,0,0,0
10549b49,2,7,0,0,0,2,1,0,0,0,0.2,0.0,0.2,0,0,0,0
10745192,2,39,0,0,0,2,0,0,0,0,0.4,0.4,-0.1,0,0,0,0
10dc46f0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,0
119b9a8e,3,267,3,3,2,0,1,8,1,7,7.8,1.1,6.7,0,0,0,0
11d2efc5,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
121101a4,6,540,6,6,6,0,0,4,11,-7,4.2,12.5,-8.3,0,0,0,0
1265a93a,6,511,5,6,5,0,0,8,3,5,9.1,4.0,5.1,0,0,0,0
129af0db,5,294,3,4,0,1,1,2,4,-2,4.1,4.4,-0.3,0,0,0,0
12dcbdcc,3,109,1,2,1,1,2,2,4,-2,0.5,2.5,-2.0,0,0,0,0
12e7ac0a,6,47,0,0,0,6,0,0,3,-3,0.4,1.4,-1.0,0,0,0,0
132a82f1,3,217,2,3,2,0,2,3,1,2,3.4,1.5,1.9,0,0,0,0
1338e42b,3,66,0,0,0,3,5,2,1,1,2.0,0.5,1.5,0,0,0,0
1339039e,5,217,2,4,0,1,0,1,5,-4,4.0,5.3,-1.2,0,0,0,0
133faa84,3,223,2,3,1,0,0,5,1,4,2.1,2.2,-0.1,0,0,0,0
13d23b29,2,10,0,0,0,2,3,0,0,0,0.0,0.4,-0.4,0,0,0,0
141b0bd2,4,324,3,4,3,0,0,4,6,-2,3.9,4.9,-1.0,0,0,0,0
1467af0d,7,623,6,7,5,0,0,9,8,1,8.0,8.9,-0.9,0,0,0,0
148af9a8,1,7,0,0,0,1,5,0,0,0,0.0,0.0,0.0,0,0,0,0
14b8fcdf,1,90,1,1,1,0,5,0,2,-2,0.5,0.8,-0.3,0,0,0,0
15413fa5,7,541,6,7,2,0,0,10,7,3,7.9,9.1,-1.2,0,0,0,0
15ab5a2b,6,414,4,4,4,2,1,11,1,10,10.7,2.4,8.3,0,0,0,0
15b287da,7,606,6,7,4,0,0,6,10,-4,6.3,9.2,-2.9,0,0,0,0
15ea94de,6,95,1,0,0,6,0,0,2,-2,1.0,4.2,-3.2,0,0,0,0
15f3ec41,6,461,5,6,0,0,0,4,7,-3,8.0,5.2,2.9,0,0,0,0
15fd5593,5,212,2,2,1,3,1,3,9,-6,3.3,7.3,-4.0,0,0,0,0
162efffd,5,256,2,1,1,4,1,4,5,-1,4.8,6.5,-1.7,0,0,0,0
163bbd4a,6,361,4,5,0,1,0,3,19,-16,4.0,10.7,-6.6,0,0,0,0
16b6648e,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
