id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
8bc373ea,328.0,42.0,188.0,134.0,8.0,3.0,328.0,1.0,1.0,0.0,190.0,1036.0,447.0,0.0,2.0,1.0,1.0,1.0,200.0,0.0
f586779e,76.0,4.0,8.0,33.0,35.0,11.0,76.0,4.0,2.0,2.0,38.0,124.0,26.0,0.0,0.0,1.0,7.0,3.0,57.0,14.0
b96b595c,549.0,56.0,256.0,215.0,80.0,9.0,549.0,10.0,9.0,1.0,260.0,1615.0,1022.0,12.0,19.0,0.0,3.0,2.0,361.0,27.0
81442ecb,343.0,8.0,73.0,169.0,106.0,2.0,343.0,12.0,8.0,4.0,180.0,927.0,544.0,14.0,8.0,0.0,6.0,6.0,231.0,19.0
2b09d998,188.0,4.0,47.0,117.0,25.0,0.0,188.0,2.0,0.0,2.0,75.0,361.0,143.0,1.0,2.0,0.0,0.0,1.0,101.0,5.0
501055d8,17.0,0.0,1.0,3.0,13.0,3.0,17.0,1.0,0.0,1.0,13.0,58.0,36.0,2.0,0.0,2.0,3.0,1.0,13.0,4.0
f76e6b4e,40.0,37.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,22.0,76.0,35.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
288e1e13,223.0,25.0,105.0,114.0,5.0,3.0,223.0,0.0,0.0,0.0,117.0,428.0,195.0,0.0,1.0,0.0,1.0,0.0,163.0,0.0
4d034881,37.0,0.0,1.0,15.0,21.0,7.0,36.0,3.0,0.0,3.0,16.0,73.0,29.0,1.0,3.0,0.0,5.0,2.0,26.0,5.0
89ac64a6,631.0,64.0,283.0,327.0,23.0,2.0,631.0,5.0,1.0,4.0,422.0,2412.0,1554.0,7.0,7.0,0.0,8.0,1.0,509.0,1.0
414e1f69,18.0,0.0,2.0,10.0,6.0,1.0,18.0,0.0,0.0,0.0,13.0,89.0,4.0,0.0,2.0,0.0,2.0,2.0,15.0,3.0
eaeca114,155.0,8.0,42.0,99.0,14.0,1.0,155.0,0.0,0.0,0.0,108.0,500.0,247.0,0.0,0.0,0.0,2.0,3.0,117.0,7.0
fdf4b948,135.0,6.0,38.0,67.0,33.0,6.0,135.0,10.0,9.0,1.0,56.0,511.0,273.0,7.0,8.0,2.0,8.0,3.0,82.0,5.0
05439de2,783.0,50.0,318.0,392.0,74.0,8.0,783.0,2.0,0.0,2.0,513.0,3076.0,1750.0,12.0,12.0,0.0,5.0,4.0,581.0,14.0
4601e194,550.0,13.0,95.0,223.0,235.0,25.0,550.0,5.0,4.0,1.0,370.0,1266.0,619.0,10.0,13.0,4.0,6.0,6.0,456.0,74.0
5294a83f,413.0,4.0,71.0,224.0,123.0,6.0,413.0,15.0,10.0,5.0,233.0,1471.0,836.0,18.0,17.0,2.0,10.0,5.0,294.0,15.0
77e84962,207.0,6.0,35.0,118.0,54.0,2.0,207.0,6.0,4.0,2.0,120.0,556.0,297.0,6.0,10.0,2.0,1.0,1.0,136.0,6.0
d68cb24c,66.0,2.0,22.0,28.0,17.0,4.0,66.0,1.0,1.0,0.0,35.0,150.0,60.0,2.0,2.0,1.0,3.0,1.0,43.0,3.0
6c811eb7,172.0,6.0,16.0,115.0,43.0,0.0,172.0,2.0,2.0,0.0,87.0,372.0,143.0,1.0,1.0,0.0,0.0,2.0,146.0,2.0
cd1acf9d,681.0,23.0,160.0,346.0,182.0,18.0,681.0,9.0,5.0,4.0,417.0,1731.0,1055.0,13.0,15.0,4.0,11.0,1.0,418.0,36.0
edd38473,70.0,6.0,23.0,28.0,20.0,2.0,70.0,2.0,1.0,1.0,45.0,168.0,93.0,1.0,1.0,0.0,0.0,0.0,44.0,3.0
7a2e46a8,275.0,212.0,274.0,1.0,0.0,0.0,275.0,0.0,0.0,0.0,150.0,552.0,359.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0
f4290206,133.0,5.0,30.0,48.0,57.0,6.0,133.0,5.0,2.0,3.0,59.0,254.0,110.0,1.0,2.0,0.0,4.0,0.0,72.0,21.0
8ce30c57,148.0,10.0,40.0,90.0,23.0,0.0,148.0,5.0,5.0,0.0,97.0,439.0,192.0,2.0,3.0,0.0,3.0,5.0,86.0,2.0
8b3ab7ad,79.0,6.0,35.0,40.0,5.0,1.0,79.0,3.0,2.0,1.0,50.0,282.0,132.0,2.0,0.0,0.0,0.0,0.0,45.0,1.0
22721b88,320.0,15.0,98.0,165.0,61.0,1.0,320.0,5.0,2.0,3.0,167.0,659.0,342.0,8.0,6.0,0.0,4.0,3.0,180.0,19.0
63e905bc,97.0,86.0,97.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,71.0,389.0,170.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0
9f1893b9,28.0,0.0,4.0,17.0,7.0,0.0,28.0,0.0,0.0,0.0,16.0,129.0,61.0,1.0,2.0,0.0,1.0,1.0,14.0,3.0
0a721e85,82.0,2.0,18.0,45.0,21.0,2.0,82.0,4.0,3.0,1.0,35.0,263.0,153.0,3.0,1.0,0.0,3.0,0.0,38.0,5.0
b5f66351,243.0,13.0,74.0,108.0,62.0,2.0,243.0,2.0,1.0,1.0,107.0,478.0,233.0,6.0,6.0,0.0,6.0,3.0,137.0,9.0
4e3f5992,91.0,6.0,42.0,45.0,5.0,0.0,91.0,0.0,0.0,0.0,57.0,347.0,141.0,0.0,1.0,0.0,0.0,0.0,67.0,1.0
30941e96,477.0,12.0,117.0,186.0,177.0,23.0,477.0,5.0,0.0,5.0,235.0,861.0,377.0,9.0,10.0,3.0,8.0,4.0,287.0,62.0
