id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
5bc43860,0,9,3,0.0,0.0,23.0,1.0,0,0,0.5,0.5,-0.5,-0.5
47aaf574,0,2,0,0.0,0.0,29.2,0.0,0,0,0.1,0.1,-0.1,-0.1
81442ecb,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2b09d998,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
82e12fe7,1,4,2,0.25,0.5,17.2,0.0,0,0,0.6,0.6,0.4,0.4
65d62814,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
6af56975,0,1,0,0.0,0.0,31.8,0.0,0,0,0.0,0.0,0.0,0.0
501055d8,3,13,8,0.08,0.13,19.0,0.0,2,3,4.6,2.2,-1.6,-1.2
f9c927de,0,7,1,0.0,0.0,25.6,0.0,0,0,0.2,0.2,-0.2,-0.2
4d034881,0,1,0,0.0,0.0,29.3,0.0,0,0,0.0,0.0,0.0,0.0
eab957a3,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
89ac64a6,0,1,0,0.0,0.0,16.8,0.0,0,0,0.0,0.0,0.0,0.0
eaeca114,1,4,1,0.25,1.0,8.4,0.0,0,0,0.6,0.6,0.4,0.4
05439de2,1,5,1,0.2,1.0,24.0,2.0,0,0,0.2,0.2,0.8,0.8
4601e194,0,3,2,0.0,0.0,25.6,0.0,0,0,0.4,0.4,-0.4,-0.4
4bd414c1,0,2,0,0.0,0.0,16.9,0.0,0,0,0.1,0.1,-0.1,-0.1
a7a9d95a,1,4,2,0.25,0.5,11.5,0.0,0,0,1.0,1.0,0.0,0.0
77e84962,1,9,3,0.11,0.33,27.1,0.0,0,0,0.3,0.3,0.7,0.7
cd1acf9d,0,13,1,0.0,0.0,26.7,3.0,0,0,0.5,0.5,-0.5,-0.5
7a2e46a8,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
67b3d74b,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
f4290206,0,12,4,0.0,0.0,16.5,3.0,0,0,1.0,1.0,-1.0,-1.0
8ce30c57,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
8b3ab7ad,0,7,1,0.0,0.0,17.1,0.0,0,0,0.5,0.5,-0.5,-0.5
24fc70d3,0,2,1,0.0,0.0,12.2,0.0,0,0,0.1,0.1,-0.1,-0.1
ef9c1c95,0,5,1,0.0,0.0,19.4,0.0,0,0,0.2,0.2,-0.2,-0.2
4e3f5992,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
30941e96,0,5,0,0.0,0.0,15.0,0.0,0,0,0.3,0.3,-0.3,-0.3
108fe016,0,1,0,0.0,0.0,20.5,0.0,0,0,0.0,0.0,0.0,0.0
99127249,2,26,10,0.08,0.2,18.0,0.0,0,0,2.0,2.0,0.0,0.0
2bef2bca,0,3,0,0.0,0.0,19.9,0.0,0,0,0.1,0.1,-0.1,-0.1
df418fc0,0,1,0,0.0,0.0,9.5,0.0,0,0,0.1,0.1,-0.1,-0.1
86e119e0,0,5,1,0.0,0.0,34.8,3.0,0,0,0.2,0.2,-0.2,-0.2
28d596a0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
45af8a54,1,6,3,0.17,0.33,18.2,0.0,0,0,0.7,0.7,0.3,0.3
55b93ae0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
9fec8860,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
5c2b4f07,0,1,0,0.0,0.0,29.2,0.0,0,0,0.0,0.0,0.0,0.0
10549b49,2,8,6,0.25,0.33,12.5,0.0,0,0,1.8,1.8,0.2,0.2
53cad200,1,3,3,0.33,0.33,15.9,0.0,0,0,0.3,0.3,0.7,0.7
a1232f4e,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
59bf127b,0,2,0,0.0,0.0,12.4,0.0,0,0,0.1,0.1,-0.1,-0.1
442b56fa,1,2,1,0.5,1.0,15.4,0.0,0,0,0.6,0.6,0.4,0.4
5ccc9672,0,1,0,0.0,0.0,11.9,0.0,0,0,0.1,0.1,-0.1,-0.1
a58bb1e1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
f7b10c66,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
f449640d,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
b2bd0f6c,0,4,1,0.0,0.0,16.0,0.0,0,0,0.3,0.3,-0.3,-0.3
6928979a,0,8,0,0.0,0.0,22.8,0.0,0,0,0.4,0.4,-0.4,-0.4
3a24769f,0,3,1,0.0,0.0,25.1,0.0,0,0,0.1,0.1,-0.1,-0.1
8e7f49d3,0,1,0,0.0,0.0,28.5,0.0,0,0,0.0,0.0,0.0,0.0
e61bdd69,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
75b86fb3,0,1,0,0.0,0.0,22.6,0.0,0,0,0.0,0.0,0.0,0.0
2973d8ff,0,10,2,0.0,0.0,13.5,0.0,0,0,1.7,1.7,-1.7,-1.7
50dc94ce,0,1,1,0.0,0.0,10.1,0.0,0,0,0.1,0.1,-0.1,-0.1
57d88cf9,1,14,4,0.07,0.25,22.0,0.0,0,0,1.3,1.3,-0.3,-0.3
74dc806c,0,1,0,0.0,0.0,20.5,0.0,0,0,0.0,0.0,0.0,0.0
db092d3b,0,2,1,0.0,0.0,25.7,1.0,0,0,0.1,0.1,-0.1,-0.1
3b8674e6,0,2,0,0.0,0.0,27.3,0.0,0,0,0.1,0.1,-0.1,-0.1
70d74ece,15,43,20,0.28,0.6,17.4,4.0,3,3,8.4,6.0,6.6,6.0
713c144a,3,16,5,0.19,0.6,16.4,0.0,0,0,1.4,1.4,1.6,1.6
ee93c1a9,0,7,5,0.0,0.0,19.1,1.0,0,0,0.8,0.8,-0.8,-0.8
17370b95,0,1,0,0.0,0.0,14.9,0.0,0,0,0.0,0.0,0.0,0.0
4142f132,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
636247ca,0,5,0,0.0,0.0,26.1,1.0,0,0,0.2,0.2,-0.2,-0.2
506daeac,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
691bef82,1,4,2,0.25,0.5,19.9,0.0,0,0,0.2,0.2,0.8,0.8
7713c72a,0,1,0,0.0,0.0,4.9,0.0,0,0,0.2,0.2,-0.2,-0.2
415568b5,0,2,0,0.0,0.0,16.3,0.0,0,0,0.1,0.1,-0.1,-0.1
dd7b6eb8,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
52ec54d0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
01834aa0,0,1,0,0.0,0.0,10.6,0.0,0,0,0.1,0.1,-0.1,-0.1
ccce7025,0,3,1,0.0,0.0,9.0,0.0,0,0,0.2,0.2,-0.2,-0.2
f6798fc3,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1e064bfb,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
b797f558,0,2,0,0.0,0.0,23.8,0.0,0,0,0.1,0.1,-0.1,-0.1
8bbe2df5,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
bbd67769,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0c152537,0,3,1,0.0,0.0,15.3,0.0,0,0,0.5,0.5,-0.5,-0.5
a167537f,0,4,0,0.0,0.0,17.5,0.0,0,0,0.3,0.3,-0.3,-0.3
4c184730,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
4c184730,0,1,0,0.0,0.0,18.8,0.0,0,0,0.0,0.0,0.0,0.0
e27da244,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
08d37c53,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
33b8d077,1,11,1,0.09,1.0,23.1,0.0,0,0,0.4,0.4,0.6,0.6
a4851d9e,0,1,1,0.0,0.0,9.2,0.0,0,0,0.3,0.3,-0.3,-0.3
eb2b33aa,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
5ab0ea87,0,2,0,0.0,0.0,31.1,0.0,0,0,0.1,0.1,-0.1,-0.1
b8814868,0,4,4,0.0,0.0,14.2,0.0,0,0,0.5,0.5,-0.5,-0.5
e34e086c,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2146785a,0,1,0,0.0,0.0,25.3,0.0,0,0,0.0,0.0,0.0,0.0
cd0fa27b,0,5,1,0.0,0.0,19.9,1.0,0,0,0.3,0.3,-0.3,-0.3
489e80e3,0,3,0,0.0,0.0,29.0,0.0,0,0,0.1,0.1,-0.1,-0.1
7b9c2d84,0,2,0,0.0,0.0,24.1,0.0,0,0,0.1,0.1,-0.1,-0.1
a65ce836,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
bd6351cd,2,11,4,0.18,0.5,22.2,0.0,0,0,1.3,1.3,0.7,0.7
6885cc44,0,1,0,0.0,0.0,11.2,0.0,0,0,0.2,0.2,-0.2,-0.2
5acc4a10,2,10,3,0.2,0.67,13.8,0.0,0,0,2.0,2.0,0.0,0.0
4a5839fa,0,2,0,0.0,0.0,18.4,0.0,0,0,0.1,0.1,-0.1,-0.1
b4a014b1,0,4,1,0.0,0.0,14.3,0.0,0,0,0.2,0.2,-0.2,-0.2
de39485a,0,6,2,0.0,0.0,16.9,1.0,0,0,0.9,0.9,-0.9,-0.9
