id,Gls,Sh,SoT,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG,TotDist
0076ab7f,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,51.4
009a4f60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
00f518d8,1,2,2,0,0,0,0.3,0.3,0.7,0.7,32.2
01b8a2b2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
01c3aff5,2,4,2,0,0,0,0.6,0.6,1.4,1.4,40.8
01e5f06e,0,7,2,0,0,0,0.2,0.2,-0.2,-0.2,157.5
01eb744d,0,9,4,0,0,0,0.8,0.8,-0.8,-0.8,144.0
02c15616,0,1,0,0,0,0,0.0,0.0,0.0,0.0,20.7
032f894e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
03998238,0,2,0,0,0,0,0.2,0.2,-0.2,-0.2,31.6
03df04ff,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
042e8a49,1,8,4,0,0,0,0.6,0.6,0.4,0.4,164.0
048a1cbc,2,6,3,0,0,0,0.7,0.7,1.3,1.3,136.8
049a888d,3,10,6,1,0,0,1.1,1.1,1.9,1.9,413.0
04e17fd5,2,12,6,0,0,0,1.7,1.7,0.3,0.3,134.4
04e531b6,1,1,1,0,0,0,0.4,0.4,0.6,0.6,14.9
05439de2,0,1,0,0,0,0,0.0,0.0,0.0,0.0,32.2
05d548d8,0,1,0,0,0,0,0.0,0.0,0.0,0.0,8.5
05e19d6a,1,3,2,0,0,0,0.3,0.3,0.7,0.7,26.4
0670ee51,0,2,0,1,0,0,0.1,0.1,-0.1,-0.1,78.8
06a1d642,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,48.2
08511d65,0,6,2,0,0,0,0.3,0.3,-0.3,-0.3,90.0
08990838,0,3,2,2,0,0,0.2,0.2,-0.2,-0.2,68.7
08f5afaa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
08fe932d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
