id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
5f09991f,Patrick van Aanholt,nl NED,DF,nl PSV Eindhoven,32-215,1990,1.5,1,1,1,0,0,1,3,33.3,2,2,0,2,2,3,4,0,Matches
8c6239f2,Myenty Abena,sr SUR,DF,hu Ferencváros,28-110,1994,2.0,5,2,3,1,1,3,5,60.0,2,4,3,1,1,6,5,0,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,fr Rennes,20-004,2003,1.6,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,2,0,Matches
7f9c5d2d,Abner,br BRA,DF,es Betis,22-309,2000,1.3,1,1,1,0,0,1,4,25.0,3,5,1,4,0,1,6,0,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,27-199,1995,3.3,7,5,7,0,0,5,7,71.4,2,3,2,1,4,11,15,1,Matches
f586779e,Tammy Abraham,eng ENG,FW,it Roma,25-181,1997,5.6,7,3,2,3,2,3,3,100.0,0,3,0,3,0,7,1,0,Matches
47aaf574,Malik Abubakari,gh GHA,FW,fi HJK,22-326,2000,4.9,3,0,3,0,0,2,2,100.0,0,4,0,4,2,5,4,0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,es Sevilla,31-155,1991,3.7,15,7,6,8,1,5,11,45.5,6,4,1,3,3,18,6,0,Matches
82e12fe7,Chikwubuike Adamu,at AUT,FW,at RB Salzburg,21-299,2001,1.2,2,1,2,0,0,1,1,100.0,0,1,1,0,2,4,0,0,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,35-323,1987,4.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
4dcec659,Simon Adingra,ci CIV,"DF,FW",be Union SG,21-090,2002,4.0,5,2,2,1,2,5,6,83.3,1,3,0,3,4,9,2,0,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",de Leverkusen,22-326,2000,1.8,1,0,0,1,0,0,3,0.0,3,2,0,2,2,3,1,0,Matches
4b00cd47,David Affengruber,at AUT,DF,at Sturm Graz,22-013,2001,5.4,8,5,7,1,0,5,10,50.0,5,6,3,3,2,10,36,0,Matches
3dd738a1,Ruben Aguilar,fr FRA,"DF,MF",fr Monaco,29-340,1993,1.4,1,1,1,0,0,1,7,14.3,6,3,1,2,1,2,0,0,Matches
9c4f39b3,Tosin Aiyegun,bj BEN,FW,ch Zürich,24-279,1998,5.3,3,2,1,1,1,0,4,0.0,4,1,0,1,1,4,1,0,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,at Sturm Graz,26-034,1997,3.4,0,0,0,0,0,0,1,0.0,1,4,0,4,1,1,3,0,Matches
7328bee5,Samet Akaydın,tr TUR,DF,tr Fenerbahçe,29-019,1994,2.0,5,3,4,1,0,4,6,66.7,2,1,0,1,3,8,11,0,Matches
b625b241,Maghnes Akliouche,fr FRA,"FW,MF",fr Monaco,21-035,2002,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,es Betis,25-102,1997,4.0,5,2,0,3,2,3,7,42.9,4,5,0,5,7,12,3,0,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,34-011,1989,0.7,1,1,0,0,1,0,0,,0,3,2,1,2,3,3,0,Matches
5294a83f,Luis Alberto,es ESP,MF,it Lazio,30-185,1992,3.4,4,3,3,1,0,1,2,50.0,1,1,1,0,1,5,0,0,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,fr Rennes,20-154,2002,1.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
f8405304,Mohamed Ali Cho,fr FRA,"MF,FW",es Real Sociedad,19-072,2004,1.3,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,Matches
1a7fcf39,Ezgjan Alioski,mk MKD,DF,tr Fenerbahçe,31-048,1992,3.5,4,3,3,1,0,3,4,75.0,1,2,0,2,4,8,3,1,Matches
5c46e908,Fidan Aliti,xk KVX,DF,ch Zürich,29-180,1993,3.5,8,6,5,3,0,2,2,100.0,0,1,0,1,1,9,8,0,Matches
bdf8165d,Richard Almeida,az AZE,MF,az Qarabağ Ağdam,34-012,1989,3.4,3,0,1,2,0,1,5,20.0,4,3,1,2,2,5,2,0,Matches
f4290206,Marcos Alonso,es ESP,DF,es Barcelona,32-094,1990,0.8,0,0,0,0,0,0,0,,0,2,2,0,1,1,1,0,Matches
