id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
1c529186,Ignazio Abate,it ITA,DF,it Milan,31,1986,2.2,2,0.92,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
db265666,Araz Abdullayev,az AZE,"FW,MF",az Qarabağ Ağdam,26,1992,3.5,4,1.14,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,22,1995,7.0,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
565bf0da,David Abraham,ar ARG,DF,de Eint Frankfurt,32,1986,8.1,3,0.39,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,30,1988,8.0,4,0.50,3,0,0,0,0,1,1,0.12,1,0,0,0,0,0,Matches
aa1ecac3,Acorán,es ESP,"FW,MF",cy AÉK Lárnaka,35,1983,5.0,23,4.65,19,1,1,1,1,0,2,0.40,2,0,0,0,0,0,Matches
d75cf9bf,Rafael Acosta,uy URU,"FW,MF",cz Jablonec,27,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,"DF,MF",pt Sporting CP,26,1991,5.8,14,2.40,8,5,0,0,1,0,1,0.17,1,0,0,0,0,0,Matches
884a8908,Samuel Adegbenro,ng NGA,FW,no Rosenborg,22,1995,3.0,3,1.02,0,0,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,27,1991,6.0,4,0.67,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
9d8586c4,Adriano,br BRA,"DF,MF",tr Beşiktaş,33,1984,1.9,4,2.16,4,0,0,0,0,0,1,0.54,1,0,0,0,0,0,Matches
2557c196,Luiz Adriano,br BRA,FW,ru Spartak Moscow,31,1987,2.7,4,1.48,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
42a632ba,Ansi Agolli,al ALB,DF,az Qarabağ Ağdam,35,1982,1.0,3,3.00,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
18abe173,Joseph Aidoo,gh GHA,DF,be Genk,22,1995,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,sct Celtic,20,1998,1.8,4,2.24,1,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
7230b807,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
