id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
b3de00a7,Stanislav Agkatsev,ru RUS,GK,ru Krasnodar,18,2002,1.0,1,0,0,0,0,1.3,0.26,+0.3,+0.29,2,5,40.0,19,6,5.3,19.7,6,66.7,42.2,14,0,0.0,2,2.00,14.7,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,34,1986,6.0,8,1,0,1,0,9.4,0.34,+1.4,+0.23,20,74,27.0,100,20,46.0,39.8,47,59.6,45.2,76,2,2.6,3,0.50,13.3,Matches
8fa8f8d2,Rúnar Alex Rúnarsson,is ISL,GK,eng Arsenal,25,1995,4.0,3,0,0,0,0,2.5,0.36,-0.5,-0.11,6,20,30.0,111,15,9.9,26.2,18,50.0,37.6,33,2,6.1,7,1.75,20.4,Matches
011d8c56,Miguel Ángel Moyá,es ESP,GK,es Real Sociedad,36,1984,1.0,0,0,0,0,0,0.1,0.12,+0.1,+0.12,3,7,42.9,32,2,12.5,22.5,3,100.0,55.0,4,1,25.0,1,1.00,9.2,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,es Villarreal,31,1989,1.0,0,0,0,0,0,0.2,0.08,+0.2,+0.16,1,5,20.0,40,5,10.0,24.7,2,50.0,37.5,10,0,0.0,2,2.00,21.7,Matches
55b93ae0,Giorgos Athanasiadis,gr GRE,GK,gr AEK Athens,27,1993,1.0,3,1,0,0,0,2.4,0.51,-0.6,-0.61,6,17,35.3,26,6,46.2,38.6,7,71.4,48.9,6,1,16.7,0,0.00,6.5,Matches
56901a62,Scott Bain,sct SCO,GK,sct Celtic,28,1991,3.0,10,0,0,3,0,8.8,0.40,-1.2,-0.40,17,52,32.7,72,13,50.0,38.0,18,88.9,61.6,60,1,1.7,5,1.67,22.3,Matches
60a6fe9c,Cristian Bălgrădean,ro ROU,GK,ro CFR Cluj,32,1988,6.0,8,1,0,1,1,6.4,0.27,-0.6,-0.10,40,114,35.1,105,12,68.6,46.9,45,93.3,56.7,125,7,5.6,2,0.33,11.3,Matches
f7b10c66,David von Ballmoos,ch SUI,GK,ch Young Boys,25,1994,8.0,10,0,0,2,0,8.8,0.24,-1.2,-0.15,36,121,29.8,205,46,41.5,35.4,58,62.1,46.3,113,3,2.7,7,0.88,15.4,Matches
c2e41cfb,Vasilios Barkas,gr GRE,GK,sct Celtic,26,1994,2.0,7,0,1,0,0,3.5,0.38,-3.5,-1.77,5,23,21.7,32,5,50.0,38.0,12,58.3,38.4,17,0,0.0,2,1.00,13.8,Matches
47064058,Oliver Baumann,de GER,GK,de Hoffenheim,30,1990,7.0,6,0,0,1,0,6.7,0.41,+0.7,+0.10,26,68,38.2,222,31,24.8,27.4,34,38.2,35.5,57,2,3.5,18,2.57,23.2,Matches
93b95f72,Filip Bednarek,pl POL,GK,pl Lech Poznań,27,1992,6.0,14,1,0,1,0,12.8,0.39,-1.2,-0.21,23,66,34.8,183,30,24.6,29.5,56,37.5,34.7,88,1,1.1,0,0.00,9.4,Matches
6ca0b04a,Alireza Beiranvand,ir IRN,GK,be Antwerp,27,1992,1.8,4,1,0,0,0,4.5,0.31,+0.5,+0.29,8,27,29.6,66,14,33.3,34.8,13,38.5,37.9,19,0,0.0,3,1.63,12.1,Matches
8a2248b4,Walter Benítez,ar ARG,GK,fr Nice,27,1993,5.0,15,0,0,5,0,11.8,0.41,-3.2,-0.63,9,33,27.3,141,14,20.6,27.0,37,10.8,21.8,41,0,0.0,4,0.80,16.5,Matches
53d93280,Justin Bijlow,nl NED,GK,nl Feyenoord,22,1998,3.0,5,3,0,0,1,4.8,0.17,+0.8,+0.27,13,47,27.7,80,17,46.3,39.3,14,71.4,50.7,36,2,5.6,2,0.67,15.8,Matches
3d214e5f,Marco Bizot,nl NED,GK,nl AZ Alkmaar,29,1991,6.0,5,0,0,0,0,8.6,0.37,+3.6,+0.60,30,113,26.5,182,30,46.7,37.1,45,62.2,44.8,102,2,2.0,8,1.33,16.1,Matches
79c536d7,Arnaud Bodart,be BEL,GK,be Standard Liège,22,1998,6.0,14,5,0,1,0,12.7,0.24,-1.3,-0.22,25,69,36.2,144,21,36.1,34.8,50,34.0,32.6,65,3,4.6,5,0.83,13.9,Matches
b4a98bb4,Pietro Boer,it ITA,GK,it Roma,18,2002,1.0,3,0,0,0,0,1.7,0.58,-1.3,-1.26,1,3,33.3,27,9,11.1,23.9,3,0.0,11.0,13,0,0.0,3,3.00,27.7,Matches
fe7d8182,Sinan Bolat,tr TUR,GK,be Gent,31,1988,2.0,4,0,0,2,0,2.8,0.31,-1.2,-0.61,8,18,44.4,49,10,26.5,27.9,9,55.6,47.9,18,0,0.0,1,0.50,16.7,Matches
5e8936be,Milan Borjan,ca CAN,GK,rs Red Star,32,1987,8.0,7,2,0,0,1,8.2,0.17,+2.2,+0.28,63,160,39.4,251,38,49.8,38.8,64,54.7,41.3,129,6,4.7,5,0.63,12.4,Matches
