id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
5f09991f,Patrick van Aanholt,nl NED,DF,nl PSV Eindhoven,31,1990,1.5,0,0,0,0,0,0,4,2,1,0,0,0,9,0,0,,Matches
8c6239f2,Myenty Abena,sr SUR,DF,hu Ferencváros,27,1994,2.0,0,0,0,0,1,0,0,1,2,0,0,0,6,1,0,100.0,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,fr Rennes,19,2003,1.6,0,0,0,2,3,0,2,1,1,0,0,0,3,1,4,20.0,Matches
7f9c5d2d,Abner,br BRA,DF,es Betis,22,2000,1.3,0,0,0,3,0,0,3,0,1,0,0,0,8,1,2,33.3,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,26,1995,3.3,0,0,0,0,1,0,0,4,5,0,0,0,22,12,6,66.7,Matches
f586779e,Tammy Abraham,eng ENG,FW,it Roma,24,1997,5.6,0,0,0,5,13,3,1,0,3,0,0,0,12,18,13,58.1,Matches
47aaf574,Malik Abubakari,gh GHA,FW,fi HJK,22,2000,4.9,1,0,0,6,10,3,0,2,0,0,0,0,5,9,20,31.0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,es Sevilla,30,1991,3.7,1,0,0,4,8,1,20,3,7,0,0,0,25,4,7,36.4,Matches
82e12fe7,Chikwubuike Adamu,at AUT,FW,at RB Salzburg,21,2001,1.2,0,0,0,0,2,0,0,2,1,0,0,0,3,5,2,71.4,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,35,1987,4.3,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,,Matches
4dcec659,Simon Adingra,ci CIV,"DF,FW",be Union SG,20,2002,4.0,1,0,0,5,9,1,11,4,2,0,0,0,23,1,2,33.3,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",de Leverkusen,22,2000,1.8,1,0,0,4,0,0,5,2,0,0,0,0,7,3,1,75.0,Matches
4b00cd47,David Affengruber,at AUT,DF,at Sturm Graz,21,2001,5.4,2,0,0,5,1,0,0,2,5,0,1,0,32,8,7,53.3,Matches
3dd738a1,Ruben Aguilar,fr FRA,"DF,MF",fr Monaco,29,1993,1.4,0,0,0,2,1,1,5,1,1,0,0,0,4,0,0,,Matches
9c4f39b3,Tosin Aiyegun,bj BEN,FW,ch Zürich,24,1998,5.3,2,0,0,9,6,6,5,1,2,0,0,0,10,3,10,23.1,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,at Sturm Graz,25,1997,3.4,1,0,0,6,3,1,1,1,0,0,0,0,7,3,4,42.9,Matches
7328bee5,Samet Akaydın,tr TUR,DF,tr Fenerbahçe,28,1994,2.0,0,0,0,0,1,0,0,3,3,0,0,0,15,11,5,68.8,Matches
b625b241,Maghnes Akliouche,fr FRA,"FW,MF",fr Monaco,20,2002,0.5,0,0,0,1,2,0,2,0,0,0,0,0,5,0,0,,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,es Betis,24,1997,4.0,2,0,0,12,6,0,0,7,2,0,0,0,25,2,3,40.0,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,33,1989,0.7,1,0,0,0,0,0,3,2,1,0,0,0,10,0,0,,Matches
5294a83f,Luis Alberto,es ESP,MF,it Lazio,29,1992,3.4,0,0,0,2,3,0,16,1,3,0,0,0,17,2,1,66.7,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,fr Rennes,19,2002,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
f8405304,Mohamed Ali Cho,fr FRA,"MF,FW",es Real Sociedad,18,2004,1.3,0,0,0,1,1,0,5,0,0,0,0,0,2,0,0,,Matches
1a7fcf39,Ezgjan Alioski,mk MKD,DF,tr Fenerbahçe,30,1992,3.5,1,0,0,4,2,3,13,4,3,0,0,0,10,2,1,66.7,Matches
5c46e908,Fidan Aliti,xk KVX,DF,ch Zürich,28,1993,3.5,1,0,0,3,8,1,1,1,6,1,0,0,10,2,1,66.7,Matches
bdf8165d,Richard Almeida,az AZE,MF,az Qarabağ Ağdam,33,1989,3.4,1,0,0,11,2,0,3,2,0,0,0,0,25,3,6,33.3,Matches
f4290206,Marcos Alonso,es ESP,DF,es Barcelona,31,1990,0.8,0,0,0,1,0,0,0,1,0,0,0,0,7,1,0,100.0,Matches
0afff3b7,Omri Altman,il ISR,"FW,MF",cy AÉK Lárnaka,28,1994,4.2,1,0,0,8,16,1,3,2,4,1,0,0,12,6,4,60.0,Matches
8b3ab7ad,Edson Álvarez,mx MEX,MF,nl Ajax,24,1997,2.0,2,1,1,5,2,0,0,1,4,0,0,0,10,9,8,52.9,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",de Leverkusen,25,1996,2.3,0,0,0,4,3,0,4,3,3,0,0,0,7,0,1,0.0,Matches
7fdb872a,Isak Amundsen,no NOR,DF,no Bodø/Glimt,22,1999,0.4,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,Matches
9f1893b9,Felipe Anderson,br BRA,FW,it Lazio,29,1993,4.9,1,0,0,3,4,4,10,2,5,0,0,0,20,1,5,16.7,Matches
b5f66351,Joel Andersson,se SWE,DF,dk Midtjylland,25,1996,4.2,1,0,0,1,1,0,11,3,4,0,0,0,25,4,1,80.0,Matches
8382b207,Leandro Andrade,cv CPV,"FW,MF",az Qarabağ Ağdam,22,1999,0.8,0,0,0,1,1,1,1,0,2,0,0,0,7,0,1,0.0,Matches
4f9f721c,Valdemar Andreasen,dk DEN,FW,dk Midtjylland,17,2005,1.3,0,0,0,0,1,0,4,1,1,0,0,0,7,0,1,0.0,Matches
40dc75f0,Henry Andreou,cy CYP,MF,cy AÉK Lárnaka,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
e0b113a7,Robert Andrich,de GER,MF,de Leverkusen,27,1994,3.3,1,0,0,8,0,0,0,6,6,0,0,0,20,7,6,53.8,Matches
4e3f5992,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,28,1994,1.0,1,0,0,2,0,0,3,3,1,0,0,0,9,0,0,,Matches
2a70dcc9,Thanasis Androutsos,gr GRE,DF,gr Olympiacos,25,1997,1.0,0,0,0,0,2,0,3,1,2,0,0,0,8,0,1,0.0,Matches
4a7078f9,Ángel,es ESP,DF,cy AÉK Lárnaka,29,1993,4.9,3,1,1,8,8,0,7,5,3,0,1,0,33,8,4,66.7,Matches
50cddd19,Karim Ansarifard,ir IRN,FW,cy AC Omonia,32,1990,2.2,0,0,0,0,3,1,0,0,1,0,0,0,5,4,10,28.6,Matches
