id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1c529186,Ignazio Abate,it ITA,DF,it Milan,31,1986,2.2,97,124,78.2,1816,543,41,46,89.1,42,48,87.5,13,23,56.5,0,0.0,0.0,0.0,1,7,2,1,8,Matches
db265666,Araz Abdullayev,az AZE,"FW,MF",az Qarabağ Ağdam,26,1992,3.5,72,109,66.1,1001,184,45,61,73.8,14,18,77.8,7,13,53.8,0,0.3,0.3,-0.3,3,3,0,0,0,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,22,1995,7.0,258,311,83.0,5304,2335,88,94,93.6,122,133,91.7,41,71,57.7,0,0.2,0.1,-0.2,1,15,1,0,18,Matches
565bf0da,David Abraham,ar ARG,DF,de Eint Frankfurt,32,1986,8.1,206,269,76.6,4167,1506,70,81,86.4,103,117,88.0,32,63,50.8,0,0.1,0.1,-0.1,1,24,2,2,29,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,30,1988,8.0,380,448,84.8,7392,2819,139,153,90.8,169,186,90.9,63,93,67.7,0,0.0,0.1,0.0,1,18,2,0,34,Matches
aa1ecac3,Acorán,es ESP,"FW,MF",cy AÉK Lárnaka,35,1983,5.0,142,191,74.3,2004,570,90,107,84.1,41,60,68.3,6,8,75.0,1,0.8,0.6,+0.2,13,12,8,2,23,Matches
d75cf9bf,Rafael Acosta,uy URU,"FW,MF",cz Jablonec,27,1990,0.3,6,10,60.0,71,51,3,4,75.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,"DF,MF",pt Sporting CP,26,1991,5.8,227,305,74.4,4453,1640,84,94,89.4,104,128,81.3,36,69,52.2,0,0.5,0.8,-0.5,6,17,9,5,34,Matches
884a8908,Samuel Adegbenro,ng NGA,FW,no Rosenborg,22,1995,3.0,39,58,67.2,575,117,21,26,80.8,13,18,72.2,2,4,50.0,0,0.0,0.1,0.0,0,1,2,1,6,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,27,1991,6.0,135,171,78.9,2283,670,66,81,81.5,58,66,87.9,11,15,73.3,0,0.4,0.1,-0.4,2,13,2,0,13,Matches
9d8586c4,Adriano,br BRA,"DF,MF",tr Beşiktaş,33,1984,1.9,102,139,73.4,1931,626,42,51,82.4,42,55,76.4,17,29,58.6,0,0.1,0.2,-0.1,1,16,2,1,21,Matches
2557c196,Luiz Adriano,br BRA,FW,ru Spartak Moscow,31,1987,2.7,40,55,72.7,559,122,18,23,78.3,17,21,81.0,1,5,20.0,0,0.1,0.1,-0.1,2,5,1,0,7,Matches
