id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1c529186,Ignazio Abate,it ITA,DF,it Milan,31,1986,2.2,124,104,19,3,0,2,4,16,0,0,0,0,97,1,5,Matches
db265666,Araz Abdullayev,az AZE,"FW,MF",az Qarabağ Ağdam,26,1992,3.5,109,92,17,0,0,0,16,3,7,4,3,0,72,0,8,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,22,1995,7.0,311,297,13,13,0,4,0,0,0,0,0,0,258,1,2,Matches
565bf0da,David Abraham,ar ARG,DF,de Eint Frankfurt,32,1986,8.1,269,258,11,7,1,4,3,4,0,0,0,0,206,0,3,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,30,1988,8.0,448,431,16,12,0,3,3,4,0,0,0,0,380,1,2,Matches
aa1ecac3,Acorán,es ESP,"FW,MF",cy AÉK Lárnaka,35,1983,5.0,191,180,8,1,1,0,9,7,0,0,0,0,142,3,2,Matches
d75cf9bf,Rafael Acosta,uy URU,"FW,MF",cz Jablonec,27,1990,0.3,10,9,1,0,0,0,2,0,1,1,0,0,6,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,"DF,MF",pt Sporting CP,26,1991,5.8,305,232,73,11,0,3,39,46,15,3,10,0,227,0,5,Matches
884a8908,Samuel Adegbenro,ng NGA,FW,no Rosenborg,22,1995,3.0,58,55,3,0,0,0,7,3,0,0,0,0,39,0,5,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,27,1991,6.0,171,164,5,5,0,0,0,0,0,0,0,0,135,2,4,Matches
9d8586c4,Adriano,br BRA,"DF,MF",tr Beşiktaş,33,1984,1.9,139,125,12,2,1,1,5,10,0,0,0,0,102,2,3,Matches
2557c196,Luiz Adriano,br BRA,FW,ru Spartak Moscow,31,1987,2.7,55,46,9,1,0,0,1,0,0,0,0,0,40,0,3,Matches
42a632ba,Ansi Agolli,al ALB,DF,az Qarabağ Ağdam,35,1982,1.0,59,51,8,3,0,0,9,5,0,0,0,0,48,0,0,Matches
18abe173,Joseph Aidoo,gh GHA,DF,be Genk,22,1995,5.0,329,319,10,9,0,0,0,1,0,0,0,0,276,0,3,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,sct Celtic,20,1998,1.8,108,102,6,0,0,1,2,6,0,0,0,0,89,0,0,Matches
7230b807,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,2,Matches
1453e3cf,Yunus Akgün,tr TUR,FW,tr Galatasaray,18,2000,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
e2b384d2,Chuba Akpom,eng ENG,"MF,FW",gr PAOK,22,1995,0.9,17,17,0,0,0,0,1,0,0,0,0,0,14,0,0,Matches
c6e7789b,Fatih Aksoy,tr TUR,DF,tr Beşiktaş,20,1997,0.3,15,12,3,0,1,0,0,3,0,0,0,0,7,0,1,Matches
8b92fc98,Deni Alar,at AUT,"FW,MF",at Rapid Wien,28,1990,2.8,64,56,8,0,0,0,1,0,0,0,0,0,46,0,4,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",de Leverkusen,25,1992,4.6,157,145,11,4,0,3,0,1,0,0,0,0,126,1,2,Matches
5294a83f,Luis Alberto,es ESP,"FW,MF",it Lazio,25,1992,2.4,164,146,16,5,3,1,7,2,4,3,1,0,121,2,4,Matches
edd38473,Hasan Ali Kaldırım,tr TUR,"DF,FW",tr Fenerbahçe,28,1989,5.7,358,299,58,11,0,2,27,40,7,4,1,0,273,1,7,Matches
41b9d0c0,Barış Alıcı,tr TUR,"FW,MF",tr Fenerbahçe,21,1997,2.3,47,45,1,0,1,1,2,1,0,0,0,0,32,1,2,Matches
cc700722,Allan,br BRA,MF,it Napoli,27,1991,4.9,314,295,16,13,2,0,2,1,0,0,0,0,264,3,7,Matches
67b3d74b,André Almeida,pt POR,DF,pt Benfica,27,1990,3.2,222,169,52,4,0,1,6,48,0,0,0,0,160,1,6,Matches
ba6e52b0,André Almeida Pinto,pt POR,DF,pt Sporting CP,28,1989,5.2,319,309,9,9,0,1,0,0,0,0,0,0,295,1,1,Matches
bdf8165d,Richard Almeida,az AZE,"MF,FW",kz Astana FK,29,1989,4.5,182,164,16,8,0,2,14,0,8,3,5,0,148,2,4,Matches
f4290206,Marcos Alonso,es ESP,DF,eng Chelsea,27,1990,3.7,286,242,44,10,1,2,12,34,0,0,0,0,249,0,5,Matches
