id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
5f09991f,Patrick van Aanholt,nl NED,DF,tr Galatasaray,30,1990,8,698,87,96.9,7.8,8,87,5,0,,0,1.75,8,5,+3,+0.39,+0.39,7.5,12.2,-4.7,-0.60,+2.93,Matches
1339039e,Liel Abada,il ISR,"FW,MF",sct Celtic,19,2001,5,338,68,62.6,3.8,4,80,2,1,19,0,1.88,7,9,-2,-0.53,-0.53,6.7,8.7,-2.0,-0.54,-1.09,Matches
7bb0fe4a,Khalid Abdul Basit,gh GHA,FW,md Sheriff Tiraspol,24,1996,2,23,12,11.0,0.3,0,,0,2,12,0,1.50,1,0,+1,+3.91,+4.39,0.5,0.2,+0.3,+1.73,+2.53,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,25,1995,7,585,84,81.3,6.5,7,84,6,0,,0,1.44,8,8,0,0.00,+2.00,7.2,10.1,-2.9,-0.44,-0.48,Matches
c603091a,Joel Abu Hanna,il ISR,DF,pl Legia Warsaw,23,1998,1,13,13,2.4,0.1,0,,0,1,13,1,3.00,0,0,0,0.00,+1.20,0.3,0.5,-0.2,-1.24,-0.06,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,33,1988,6,540,90,75.0,6.0,6,90,6,0,,1,1.50,7,3,+4,+0.67,+1.17,11.3,6.0,+5.3,+0.88,+1.33,Matches
dc38e3bc,Ragnar Ache,de GER,FW,de Eint Frankfurt,23,1998,3,4,1,0.3,0.0,0,,0,3,1,2,2.33,0,2,-2,-45.00,-45.73,0.0,1.1,-1.1,-23.96,-24.19,Matches
81442ecb,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,3,270,90,69.2,3.0,3,90,3,0,,0,2.00,4,2,+2,+0.67,+2.17,4.2,3.7,+0.5,+0.16,+1.11,Matches
dd95be96,Arsen Adamov,ru RUS,DF,ru Zenit,21,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
2b09d998,Tyler Adams,us USA,"MF,DF",de RB Leipzig,22,1999,4,154,39,28.5,1.7,2,68,1,2,10,1,2.50,3,1,+2,+1.17,+0.94,2.3,0.8,+1.5,+0.90,+0.35,Matches
