id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
5f09991f,Patrick van Aanholt,nl NED,DF,nl PSV Eindhoven,32-224,1990,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,21.5,1,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
8c6239f2,Myenty Abena,sr SUR,DF,hu Ferencváros,28-119,1994,2.0,0,1,0,0.0,0.50,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,fr Rennes,20-013,2003,1.6,1,6,2,33.3,3.83,1.28,0.17,0.50,14.0,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
7f9c5d2d,Abner,br BRA,DF,es Betis,22-318,2000,1.3,0,1,0,0.0,0.78,0.00,0.00,,27.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,27-208,1995,3.3,0,3,0,0.0,0.92,0.00,0.00,,10.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
f586779e,Tammy Abraham,eng ENG,FW,it Roma,25-190,1997,5.6,1,11,5,45.5,1.95,0.89,0.09,0.20,15.0,1,0,0,1.4,1.4,0.13,-0.4,-0.4,Matches
47aaf574,Malik Abubakari,gh GHA,FW,fi HJK,22-335,2000,4.9,0,7,2,28.6,1.43,0.41,0.00,0.00,14.2,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
81442ecb,Marcos Acuña,ar ARG,DF,es Sevilla,31-164,1991,3.7,0,3,2,66.7,0.81,0.54,0.00,0.00,17.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
82e12fe7,Chikwubuike Adamu,at AUT,FW,at RB Salzburg,21-308,2001,1.2,0,5,2,40.0,4.33,1.73,0.00,0.00,11.6,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,35-332,1987,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4dcec659,Simon Adingra,ci CIV,"DF,FW",be Union SG,21-099,2002,4.0,0,9,1,11.1,2.28,0.25,0.00,0.00,20.5,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",de Leverkusen,22-335,2000,1.8,2,5,4,80.0,2.83,2.26,0.40,0.50,15.1,0,0,0,0.8,0.8,0.16,+1.2,+1.2,Matches
4b00cd47,David Affengruber,at AUT,DF,at Sturm Graz,22-022,2001,5.4,0,2,0,0.0,0.37,0.00,0.00,,12.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
3dd738a1,Ruben Aguilar,fr FRA,"DF,MF",fr Monaco,29-349,1993,1.4,0,1,1,100.0,0.73,0.73,0.00,0.00,13.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
9c4f39b3,Tosin Aiyegun,bj BEN,FW,ch Zürich,24-288,1998,5.3,0,13,4,30.8,2.45,0.75,0.00,0.00,16.6,0,0,0,1.5,1.5,0.12,-1.5,-1.5,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,at Sturm Graz,26-043,1997,3.4,0,8,4,50.0,2.38,1.19,0.00,0.00,16.2,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
7328bee5,Samet Akaydın,tr TUR,DF,tr Fenerbahçe,29-028,1994,2.0,0,2,0,0.0,1.00,0.00,0.00,,9.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
b625b241,Maghnes Akliouche,fr FRA,"FW,MF",fr Monaco,21-044,2002,0.5,0,1,0,0.0,2.00,0.00,0.00,,22.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,es Betis,25-111,1997,4.0,0,2,0,0.0,0.51,0.00,0.00,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
