id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
5bc43860,Brenden Aaronson,us USA,MF,at RB Salzburg,19,2000,2,2,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,4,8,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
c2304da8,Hatem Abd Elhamed,il ISR,DF,sct Celtic,29,1991,3,2,212,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,13,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7ecc9dee,Shehu Abdullahi,ng NGA,"FW,MF",cy AC Omonia,27,1993,4,2,262,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,7,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
4c07f0e8,Anicet Abel,mg MAD,MF,bg Ludogorets,30,1990,6,4,327,3.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"MF,FW",nl AZ Alkmaar,20,2000,5,1,175,1.9,0,0,0,0,0,0,0,0,0.7,0.7,0.8,1.5,5,3,19,0.00,0.00,0.00,0.00,0.00,0.36,0.42,0.78,0.36,0.78,Matches
c603091a,Joel Abu Hanna,il ISR,DF,ua Zorya Luhansk,22,1998,5,4,364,4.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,3,12,1,0.00,0.25,0.25,0.00,0.25,0.01,0.00,0.01,0.01,0.01,Matches
74510b8f,Elton Acolatse,nl NED,"FW,MF",il Be'er Sheva,25,1995,3,3,263,2.9,4,0,4,4,0,0,0,0,1.3,1.3,0.1,1.4,13,6,16,1.37,0.00,1.37,1.37,1.37,0.46,0.03,0.49,0.46,0.49,Matches
22919e97,Sargis Adamyan,am ARM,"FW,DF",de Hoffenheim,27,1993,4,0,103,1.1,2,0,2,2,0,0,0,0,1.2,1.2,0.4,1.6,3,6,11,1.75,0.00,1.75,1.75,1.75,1.07,0.35,1.42,1.07,1.42,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,29,1991,12,12,1040,11.6,0,3,3,0,0,0,1,0,1.7,1.7,2.5,4.2,18,39,37,0.00,0.26,0.26,0.00,0.26,0.15,0.21,0.37,0.15,0.37,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",at RB Salzburg,18,2002,2,0,61,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,4,1,9,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.35,0.00,0.35,Matches
f9c927de,Michel Aebischer,ch SUI,MF,ch Young Boys,23,1997,9,6,576,6.4,0,2,2,0,0,0,3,0,0.3,0.3,0.9,1.2,13,19,10,0.00,0.31,0.31,0.00,0.31,0.05,0.14,0.19,0.05,0.19,Matches
b3de00a7,Stanislav Agkatsev,ru RUS,GK,ru Krasnodar,18,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
c86c0fab,Jonathan Agudelo,co COL,"FW,MF",il Be'er Sheva,27,1992,4,2,192,2.1,1,1,2,1,0,0,1,0,0.8,0.8,0.1,0.8,0,0,5,0.47,0.47,0.94,0.47,0.94,0.36,0.03,0.39,0.36,0.39,Matches
3ff205d5,Ahmed Ahmedov,bg BUL,"MF,FW",bg CSKA Sofia,25,1995,5,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,4,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.16,0.12,0.16,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,sct Celtic,22,1998,5,5,408,4.5,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,5,16,3,0.00,0.22,0.22,0.00,0.22,0.00,0.06,0.06,0.00,0.06,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,sct Celtic,23,1997,4,2,163,1.8,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.3,2,2,9,0.00,0.55,0.55,0.00,0.55,0.14,0.05,0.18,0.14,0.18,Matches
e0d3e18d,Ilzat Akhmetov,ru RUS,"MF,FW",ru CSKA Moscow,22,1997,5,2,178,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,18,4,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,34,1986,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,de Hoffenheim,25,1995,4,4,330,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,8,29,1,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.06,0.02,0.06,Matches
8b92fc98,Deni Alar,at AUT,FW,at Rapid Wien,30,1990,1,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
834d0be5,Lucas Alario,ar ARG,FW,de Leverkusen,27,1992,5,3,214,2.4,2,0,2,2,0,0,1,0,1.0,1.0,0.0,1.0,1,3,15,0.84,0.00,0.84,0.84,0.84,0.41,0.01,0.42,0.41,0.42,Matches
4bd414c1,Raúl Albiol,es ESP,DF,es Villarreal,34,1985,11,11,1020,11.3,2,0,2,2,0,0,1,0,0.7,0.7,0.1,0.8,20,36,1,0.18,0.00,0.18,0.18,0.18,0.07,0.01,0.07,0.07,0.07,Matches
b827d5b3,Marc Albrighton,eng ENG,"DF,FW",eng Leicester City,30,1989,5,5,364,4.0,0,1,1,0,0,0,2,0,0.2,0.2,0.5,0.7,5,10,22,0.00,0.25,0.25,0.00,0.25,0.05,0.12,0.17,0.05,0.17,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,es Villarreal,26,1993,10,6,517,5.7,6,1,7,5,1,2,0,0,5.3,3.8,1.1,4.8,4,6,32,1.04,0.17,1.22,0.87,1.04,0.98,0.20,1.18,0.69,0.89,Matches
f7d50789,Toby Alderweireld,be BEL,DF,eng Tottenham,31,1989,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,15,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
8fa8f8d2,Rúnar Alex Rúnarsson,is ISL,GK,eng Arsenal,25,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
cd6a1a59,Almoatasembellah Ali,ly LBY,MF,pt Braga,24,1996,7,4,339,3.8,1,0,1,1,0,0,2,0,0.1,0.1,0.1,0.2,2,20,1,0.27,0.00,0.27,0.27,0.27,0.03,0.02,0.04,0.03,0.04,Matches
cea4ee8f,Dele Alli,eng ENG,MF,eng Tottenham,24,1996,8,6,451,5.0,2,3,5,1,1,1,2,0,1.6,0.8,1.9,2.7,12,16,45,0.40,0.60,1.00,0.20,0.80,0.31,0.37,0.69,0.16,0.53,Matches
b39b2cba,Christos Almpanis,gr GRE,FW,gr AEK Athens,25,1994,2,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.7,1,1,9,0.00,0.00,0.00,0.00,0.00,0.04,0.68,0.71,0.04,0.71,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,be Club Brugge,27,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
8b3ab7ad,Edson Álvarez,mx MEX,"MF,DF",nl Ajax,22,1997,6,6,518,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,22,4,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
4c1b67d6,Rodrigo Alves Soares,br BRA,DF,gr PAOK,27,1992,5,4,373,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,15,19,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
24fc70d3,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,22,1997,6,6,403,4.5,0,0,0,0,0,0,2,1,0.3,0.3,0.1,0.3,3,15,0,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
