id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,29,1992,37.0,43,2,0,0,2,51.1,0.33,+10.1,+0.27,116,283,41.0,1256,210,18.4,26.9,193,26.9,31.3,397,23,5.8,89,2.41,19.8,Matches
2f965a72,Alphonse Areola,fr FRA,GK,West Ham,29,1993,3.4,7,2,0,1,0,7.3,0.33,+0.3,+0.09,14,37,37.8,61,14,39.3,33.4,30,43.3,33.0,47,2,4.3,1,0.29,10.3,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,28.5,33,1,1,4,3,35.0,0.29,+5.0,+0.18,68,213,31.9,864,151,17.1,26.3,182,35.7,31.5,332,15,4.5,52,1.82,16.9,Matches
c91441dc,Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32.0,56,1,1,7,4,35.4,0.28,-16.6,-0.52,212,629,33.7,935,144,50.2,38.1,237,67.5,50.0,456,36,7.9,48,1.50,15.1,Matches
7b4de647,Asmir Begović,ba BIH,GK,Everton,35,1987,1.0,0,0,0,0,0,0.5,0.12,+0.5,+0.49,4,13,30.8,22,5,36.4,34.9,8,62.5,46.8,23,1,4.3,0,0.00,5.0,Matches
68db6358,Daniel Bentley,eng ENG,GK,Wolves,29,1993,2.0,3,0,0,0,0,3.9,0.30,+0.9,+0.44,10,29,34.5,57,14,38.6,32.9,23,30.4,32.2,37,5,13.5,1,0.50,8.3,Matches
3a949a25,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1989,1.7,1,0,0,0,1,1.9,0.21,+1.9,+1.07,6,10,60.0,39,14,10.3,20.7,15,40.0,35.3,30,1,3.3,0,0.00,12.4,Matches
3bb7b8b4,Ederson,br BRA,GK,Manchester City,28,1993,35.0,32,3,1,4,1,26.2,0.30,-4.8,-0.14,117,263,44.5,1104,147,19.6,28.0,152,30.9,32.3,286,19,6.6,33,0.94,15.7,Matches
9328b835,Łukasz Fabiański,pl POL,GK,West Ham,37,1985,34.6,48,2,0,3,1,45.9,0.28,-1.1,-0.03,198,516,38.4,677,153,54.2,39.3,249,59.8,44.8,512,29,5.7,25,0.72,13.0,Matches
c3e39f12,Fraser Forster,eng ENG,GK,Tottenham,34,1988,13.5,24,2,1,4,0,21.3,0.34,-2.7,-0.20,36,124,29.0,269,71,29.0,30.2,93,49.5,37.6,193,5,2.6,16,1.19,15.2,Matches
7ba6d84e,David de Gea,es ESP,GK,Manchester Utd,31,1990,38.0,43,2,2,6,1,41.3,0.27,-0.7,-0.02,141,449,31.4,1032,128,32.6,32.3,179,63.1,47.1,526,15,2.9,32,0.84,14.8,Matches
