id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
5f09991f,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,7,0,0,18,10,3,56,47,32,0,0,0,162,6,5,54.5,Matches
c5942695,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,21,1995,1.5,0,0,0,1,3,1,2,1,4,0,0,0,9,1,3,25.0,Matches
f586779e,Tammy Abraham,eng ENG,FW,Swansea City,19,1997,19.2,0,0,0,15,27,9,13,1,8,0,0,0,41,39,58,40.2,Matches
aff418dc,Charlie Adam,sct SCO,MF,Stoke City,31,1985,4.6,2,1,0,8,8,0,30,9,5,0,0,0,40,7,4,63.6,Matches
f76e6b4e,Adrián,es ESP,GK,West Ham,30,1987,19.0,2,0,0,1,3,0,0,0,1,0,0,0,20,2,1,66.7,Matches
9a8c6673,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,1.8,1,0,0,1,0,0,0,1,3,0,0,0,15,0,0,,Matches
b63f4077,Benik Afobe,cd COD,FW,Bournemouth,24,1993,6.8,0,0,0,9,13,4,2,0,3,1,0,0,17,22,38,36.7,Matches
4d034881,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,21.8,2,0,0,10,17,16,16,6,6,0,0,0,59,10,19,34.5,Matches
eaeca114,Nathan Aké,nl NED,DF,Bournemouth,22,1995,37.3,5,0,0,27,19,2,5,48,32,0,0,0,178,104,89,53.9,Matches
b827d5b3,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,28.2,5,1,0,20,26,2,217,27,33,0,1,0,172,11,15,42.3,Matches
f7d50789,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,3,0,0,8,1,0,7,4,13,0,0,0,57,14,29,32.6,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,3,0,0,12,1,3,102,28,25,0,0,0,133,5,17,22.7,Matches
9feb8f24,Joe Allen,wls WAL,MF,Stoke City,27,1990,34.9,8,0,0,49,49,0,37,58,62,0,0,0,244,36,59,37.9,Matches
cea4ee8f,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,32.9,7,0,0,43,84,5,18,19,30,1,0,0,181,28,49,36.4,Matches
f4290206,Marcos Alonso,es ESP,"DF,MF",Chelsea,26,1990,31.7,6,0,0,26,31,8,96,47,33,0,0,0,193,59,52,53.2,Matches
1a4ef233,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,5.4,1,2,1,5,7,0,0,7,4,0,0,0,30,10,7,58.8,Matches
10b9fa99,Ethan Ampadu,wls WAL,DF,Chelsea,16,2000,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,33.3,Matches
