id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
5bc43860,Brenden Aaronson,us USA,"MF,FW",Leeds United,22-163,2000,22.4,503,678,74.2,6305,1808,297,365,81.4,127,167,76.0,17,49,34.7,2,3.9,2.2,-1.9,37,39,13,2,73,Matches
f2bf1b0f,Che Adams,sct SCO,FW,Southampton,26-264,1996,20.8,303,460,65.9,4252,975,191,261,73.2,67,101,66.3,25,36,69.4,3,2.8,2.2,+0.2,24,20,10,2,30,Matches
2b09d998,Tyler Adams,us USA,MF,Leeds United,24-048,1999,24.0,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1.0,-1.4,24,110,13,0,136,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,Fulham,25-191,1997,13.2,526,652,80.7,10889,4013,134,152,88.2,334,376,88.8,53,106,50.0,0,0.0,0.1,0.0,1,39,2,0,40,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,West Ham,27-004,1996,10.7,376,470,80.0,7526,3143,136,147,92.5,191,216,88.4,45,97,46.4,0,0.3,0.2,-0.3,3,19,3,0,15,Matches
a6c58494,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21-005,2002,1.0,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2,Matches
9b398aea,Rayan Aït Nouri,dz ALG,DF,Wolves,21-301,2001,11.5,446,552,80.8,6728,2269,255,287,88.9,159,195,81.5,20,32,62.5,0,1.0,0.8,-1.0,7,28,14,5,43,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,Brentford,24-351,1998,8.5,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,0.0,1,20,3,1,31,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Manchester City,27-258,1995,19.1,1414,1516,93.3,24238,7730,641,664,96.5,670,703,95.3,86,121,71.1,1,0.3,0.4,+0.7,5,102,2,1,89,Matches
eaeca114,Nathan Aké,nl NED,DF,Manchester City,28-044,1995,17.8,1409,1557,90.5,22656,7936,686,721,95.1,640,693,92.4,57,89,64.0,0,0.6,1.1,-0.6,8,129,7,1,120,Matches
b827d5b3,Marc Albrighton,eng ENG,"FW,MF",Leicester City,33-136,1989,2.6,89,148,60.1,1440,551,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,Matches
77e84962,Thiago Alcántara,es ESP,MF,Liverpool,31-357,1991,12.8,842,980,85.9,15197,4456,393,424,92.7,299,340,87.9,121,153,79.1,0,1.1,1.2,-1.1,17,95,19,0,107,Matches
4abac767,Carlos Alcaraz,ar ARG,MF,Southampton,20-124,2002,4.0,97,121,80.2,1380,324,50,59,84.7,35,37,94.6,3,11,27.3,0,0.1,0.1,-0.1,2,9,3,0,12,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-178,1998,22.5,1429,1949,73.3,27061,11013,664,749,88.7,529,689,76.8,214,438,48.9,2,6.2,5.2,-4.2,48,147,58,20,162,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,30-183,1992,27.0,903,1050,86.0,20755,13254,238,240,99.2,464,472,98.3,197,329,59.9,1,0.3,0.0,+0.7,1,11,0,0,1,Matches
cea4ee8f,Dele Alli,eng ENG,MF,Everton,26-357,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
862a1c15,Miguel Almirón,py PAR,FW,Newcastle Utd,29-052,1994,22.0,638,771,82.7,8703,2185,391,430,90.9,190,232,81.9,24,34,70.6,1,1.6,2.2,-0.6,18,37,25,2,106,Matches
15ab5a2b,Julián Álvarez,ar ARG,"FW,MF",Manchester City,23-062,2000,9.3,214,274,78.1,2815,472,126,149,84.6,54,72,75.0,12,16,75.0,0,1.2,0.8,-1.2,11,13,8,2,24,Matches
1a4ef233,Daniel Amartey,gh GHA,DF,Leicester City,28-103,1994,16.9,971,1062,91.4,16732,6215,425,454,93.6,472,497,95.0,61,89,68.5,0,0.5,0.4,-0.5,5,57,1,0,65,Matches
e34fc66d,Joachim Andersen,dk DEN,DF,Crystal Palace,26-307,1996,22.4,1121,1413,79.3,26444,10055,257,286,89.9,649,706,91.9,209,391,53.5,0,0.9,0.7,-0.9,7,90,7,1,66,Matches
de31038e,Elliot Anderson,sct SCO,"FW,MF",Newcastle Utd,20-148,2002,2.2,71,96,74.0,1036,342,38,46,82.6,25,30,83.3,3,5,60.0,0,0.7,0.9,-0.7,5,8,2,0,10,Matches
e4238fb1,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,23-123,1999,11.7,322,435,74.0,4791,1352,185,213,86.9,93,127,73.2,25,44,56.8,0,0.6,0.9,-0.6,10,19,17,6,44,Matches
ac05f970,Michail Antonio,jm JAM,FW,West Ham,33-006,1990,12.8,118,228,51.8,1817,339,62,96,64.6,43,81,53.1,9,26,34.6,2,1.1,0.6,+0.9,12,10,5,1,20,Matches
99127249,Antony,br BRA,"FW,MF",Manchester Utd,23-038,2000,12.6,367,476,77.1,4646,1001,258,294,87.8,79,114,69.3,13,28,46.4,0,0.7,0.8,-0.7,12,18,12,0,36,Matches
05e8ca6d,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21-256,2001,0.5,8,12,66.7,108,44,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,Matches
2f965a72,Alphonse Areola,fr FRA,GK,West Ham,30-035,1993,3.4,67,92,72.8,1737,1323,25,25,100.0,22,22,100.0,19,43,44.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
328f7d51,Joe Aribo,ng NGA,"MF,FW",Southampton,26-256,1996,12.2,258,354,72.9,3266,860,178,227,78.4,55,76,72.4,9,12,75.0,0,0.8,0.4,-0.8,9,19,9,0,35,Matches
68c720b5,Adam Armstrong,eng ENG,FW,Southampton,26-052,1997,12.3,196,266,73.7,2895,542,106,126,84.1,63,80,78.8,12,19,63.2,1,0.7,0.7,+0.3,10,12,9,2,15,Matches
97333cf5,Stuart Armstrong,sct SCO,"MF,FW",Southampton,31-004,1992,11.9,409,517,79.1,6178,1779,225,261,86.2,145,173,83.8,23,38,60.5,0,1.8,2.2,-1.8,14,34,23,5,60,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-182,1994,19.5,590,695,84.9,12987,7715,206,208,99.0,248,249,99.6,134,235,57.0,0,0.0,0.0,0.0,0,5,0,0,0,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-289,1989,4.9,61,86,70.9,821,193,41,54,75.9,17,21,81.0,2,3,66.7,0,0.3,0.2,-0.3,3,2,2,1,3,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-347,1994,0.9,26,43,60.5,421,176,13,16,81.3,10,16,62.5,2,8,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
5c2b4f07,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-100,1992,15.9,567,797,71.1,8629,3707,320,391,81.8,199,281,70.8,34,75,45.3,0,1.0,0.8,-1.0,10,35,12,6,59,Matches
