id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
5bc43860,Brenden Aaronson,us USA,"MF,FW",Leeds United,22-163,2000,22.4,968,10,99,418,472,62,968,89,32,36.0,43,48.3,587,3214,1340,39,30,13,60,68,654,123,Matches
f2bf1b0f,Che Adams,sct SCO,FW,Southampton,26-264,1996,20.8,663,26,63,265,347,94,663,30,15,50.0,11,36.7,371,1482,428,14,10,9,64,23,510,96,Matches
2b09d998,Tyler Adams,us USA,MF,Leeds United,24-048,1999,24.0,1628,44,376,1010,254,5,1628,22,7,31.8,12,54.5,818,3342,1555,19,21,0,28,18,919,20,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,Fulham,25-191,1997,13.2,777,122,412,349,22,4,777,3,2,66.7,1,33.3,393,2187,1343,7,9,0,2,4,475,1,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,West Ham,27-004,1996,9.7,517,81,288,213,20,10,517,6,4,66.7,0,0.0,310,1247,648,1,0,0,4,1,338,4,Matches
a6c58494,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21-005,2002,1.0,63,0,12,35,16,4,63,2,1,50.0,1,50.0,31,177,70,1,2,1,5,0,38,11,Matches
9b398aea,Rayan Aït Nouri,dz ALG,DF,Wolves,21-301,2001,11.5,709,39,224,263,232,28,709,45,24,53.3,18,40.0,378,2150,1216,30,13,10,27,10,430,76,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,Brentford,24-351,1998,8.5,412,45,184,167,64,9,412,7,1,14.3,4,57.1,213,1123,613,10,5,0,3,8,231,12,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Manchester City,27-258,1995,19.1,1654,98,599,933,126,25,1654,5,3,60.0,1,20.0,1165,6635,4052,21,33,0,8,2,1287,10,Matches
eaeca114,Nathan Aké,nl NED,DF,Manchester City,28-044,1995,17.8,1682,77,536,949,204,27,1682,4,2,50.0,1,25.0,1051,4735,2908,22,15,3,15,0,1280,28,Matches
b827d5b3,Marc Albrighton,eng ENG,"FW,MF",Leicester City,33-136,1989,2.6,173,6,33,61,79,5,173,2,2,100.0,0,0.0,83,391,147,4,4,0,4,2,116,18,Matches
77e84962,Thiago Alcántara,es ESP,MF,Liverpool,31-357,1991,12.8,1122,41,257,702,168,7,1122,29,20,69.0,4,13.8,634,3315,1541,12,18,0,11,18,802,22,Matches
4abac767,Carlos Alcaraz,ar ARG,MF,Southampton,20-124,2002,3.6,170,8,26,95,51,9,170,10,5,50.0,3,30.0,112,523,297,9,9,1,12,11,119,14,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-178,1998,22.5,2138,66,508,1068,574,32,2138,20,16,80.0,3,15.0,1152,4170,2054,30,21,5,27,16,1341,114,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,30-183,1992,27.0,1112,842,1084,29,0,0,1112,1,1,100.0,0,0.0,713,3385,2141,0,0,0,1,0,642,0,Matches
cea4ee8f,Dele Alli,eng ENG,MF,Everton,26-357,1996,0.4,20,0,1,8,11,2,20,1,0,0.0,1,100.0,11,30,3,0,0,0,3,1,14,1,Matches
862a1c15,Miguel Almirón,py PAR,FW,Newcastle Utd,29-052,1994,22.0,1017,19,114,326,596,96,1017,62,24,38.7,27,43.5,646,4309,1865,62,34,21,35,18,712,206,Matches
15ab5a2b,Julián Álvarez,ar ARG,"FW,MF",Manchester City,23-062,2000,9.3,364,5,22,149,196,51,364,16,10,62.5,5,31.3,211,1198,519,22,7,12,16,13,272,56,Matches
1a4ef233,Daniel Amartey,gh GHA,DF,Leicester City,28-103,1994,16.9,1209,167,611,556,45,8,1209,5,2,40.0,2,40.0,741,3471,2111,21,11,0,7,4,873,5,Matches
e34fc66d,Joachim Andersen,dk DEN,DF,Crystal Palace,26-307,1996,22.4,1679,304,959,664,62,27,1679,7,4,57.1,3,42.9,915,4455,2327,5,4,2,8,2,1072,6,Matches
de31038e,Elliot Anderson,sct SCO,"FW,MF",Newcastle Utd,20-148,2002,2.1,139,2,21,48,75,26,139,17,4,23.5,8,47.1,83,601,321,15,6,8,3,8,90,18,Matches
e4238fb1,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,23-123,1999,11.7,594,15,116,220,264,30,594,40,12,30.0,27,67.5,350,2010,796,23,20,11,21,15,381,64,Matches
ac05f970,Michail Antonio,jm JAM,FW,West Ham,33-006,1990,12.5,369,10,28,166,181,51,369,33,12,36.4,17,51.5,234,1447,625,25,17,11,43,29,298,76,Matches
99127249,Antony,br BRA,"FW,MF",Manchester Utd,23-038,2000,11.9,597,5,88,206,319,39,597,40,13,32.5,21,52.5,425,2811,1482,56,40,16,22,7,450,90,Matches
05e8ca6d,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21-256,2001,0.5,15,0,1,8,7,3,15,1,1,100.0,0,0.0,15,114,72,3,1,1,2,3,13,3,Matches
2f965a72,Alphonse Areola,fr FRA,GK,West Ham,30-035,1993,3.4,98,91,98,0,0,0,98,0,0,,0,,53,253,153,0,0,0,0,0,42,0,Matches
328f7d51,Joe Aribo,ng NGA,"MF,FW",Southampton,26-256,1996,12.2,517,11,79,238,212,45,517,38,16,42.1,21,55.3,272,1184,586,17,10,7,32,18,323,58,Matches
68c720b5,Adam Armstrong,eng ENG,FW,Southampton,26-052,1997,12.3,398,7,56,153,198,40,398,32,8,25.0,20,62.5,228,2102,896,37,24,10,20,19,240,59,Matches
97333cf5,Stuart Armstrong,sct SCO,"MF,FW",Southampton,31-004,1992,11.1,595,14,97,253,254,27,595,31,13,41.9,13,41.9,373,2738,1432,42,33,5,21,17,424,58,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-182,1994,19.5,742,576,729,13,0,0,742,0,0,,0,,433,1993,1153,0,0,0,1,0,385,0,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-289,1989,4.9,124,6,15,54,58,16,124,5,3,60.0,2,40.0,76,475,229,7,6,3,9,4,91,22,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-347,1994,0.9,51,3,19,15,17,2,51,1,0,0.0,1,100.0,29,180,27,0,2,0,0,0,21,3,Matches
