id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
5bc43860,Brenden Aaronson,us USA,"MF,FW",Leeds United,22-146,2000,25,22,1868,20.8,1,2,3,1,0,0,2,0,2.9,2.9,3.5,6.4,34,68,114,0.05,0.10,0.14,0.05,0.14,0.14,0.17,0.31,0.14,0.31,Matches
f2bf1b0f,Che Adams,sct SCO,FW,Southampton,26-247,1996,24,21,1804,20.0,4,3,7,4,0,0,1,0,5.0,5.0,2.8,7.8,13,29,91,0.20,0.15,0.35,0.20,0.35,0.25,0.14,0.39,0.25,0.39,Matches
2b09d998,Tyler Adams,us USA,MF,Leeds United,24-031,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,Fulham,25-174,1997,15,13,1185,13.2,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,7,40,1,0.08,0.00,0.08,0.08,0.08,0.02,0.00,0.02,0.02,0.02,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,West Ham,26-352,1996,10,9,875,9.7,0,0,0,0,0,0,3,0,1.2,1.2,0.1,1.3,1,15,4,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13,Matches
a6c58494,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20-353,2002,6,0,84,0.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.24,0.17,0.24,Matches
9b398aea,Rayan Aït Nouri,fr FRA,DF,Wolves,21-284,2001,20,9,1031,11.5,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,Brentford,24-334,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Manchester City,27-241,1995,20,17,1631,18.1,0,1,1,0,0,0,2,0,1.2,1.2,0.3,1.4,20,84,10,0.00,0.06,0.06,0.00,0.06,0.06,0.02,0.08,0.06,0.08,Matches
eaeca114,Nathan Aké,nl NED,DF,Manchester City,28-027,1995,21,17,1513,16.8,0,0,0,0,0,0,2,0,1.0,1.0,0.6,1.6,21,113,27,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches
