id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
0027c6cc,13,8,8,5,0,10,11,1,3,2,1,5,18,21,0,23
003a5c72,16,12,9,6,1,10,18,8,7,5,2,15,31,11,0,32
003d7410,0,0,0,0,0,0,7,7,0,0,0,2,2,7,1,6
011d8c56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
016ff750,2,2,0,1,1,1,7,6,3,0,3,5,7,0,0,16
0174ba21,1,1,1,0,0,1,1,0,1,0,1,2,3,2,0,5
0193a8bf,10,7,3,7,0,2,6,4,10,2,8,5,15,1,0,20
01eb744d,10,8,5,3,2,3,18,15,8,0,8,8,18,5,0,24
02f4b798,1,1,1,0,0,0,2,2,2,1,1,7,8,6,0,4
038aa94a,16,12,13,3,0,8,16,8,11,0,11,13,29,22,0,37
03de83d9,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,4
03f946ed,1,1,0,0,1,0,4,4,1,0,1,3,4,2,0,19
042d286e,1,1,0,1,0,0,4,4,3,0,3,2,3,0,0,3
0488e833,5,5,2,3,0,1,3,2,3,1,2,7,12,7,0,21
0489db27,2,2,2,0,0,2,2,0,2,1,1,1,3,4,0,5
048a1cbc,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
04f2ed4d,5,4,4,1,0,4,7,3,9,6,3,11,16,24,0,35
053f6e16,1,1,1,0,0,1,1,0,2,0,2,3,4,6,0,11
0557ff4f,15,8,7,5,3,8,11,3,12,4,8,18,33,16,0,32
0562b7f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
05a275e0,6,3,4,1,1,4,10,6,5,1,4,7,13,10,0,15
05ad9890,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
05cb19c5,3,3,0,2,1,0,4,4,0,0,0,1,4,1,0,6
05e19d6a,14,10,5,7,2,7,14,7,10,0,10,4,18,6,0,42
061e8e23,1,1,1,0,0,0,0,0,1,0,1,1,2,2,0,2
0630eb63,6,6,1,5,0,1,3,2,5,0,5,4,10,6,0,30
06eae126,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0711c00f,5,1,4,1,0,3,4,1,3,1,2,5,10,9,0,11
075fe5a3,1,1,1,0,0,0,1,1,2,2,0,2,3,14,0,3
077b773d,1,0,1,0,0,0,1,1,0,0,0,1,2,3,0,14
07a0baa9,11,7,5,6,0,5,11,6,0,0,0,5,16,1,1,20
080ac8d8,12,8,5,4,3,4,9,5,8,3,5,1,13,8,0,17
0810b6df,1,1,1,0,0,1,2,1,0,0,0,1,2,1,0,5
08593525,49,33,24,22,3,16,42,26,17,4,13,29,78,27,0,104
08990838,7,6,5,2,0,2,4,2,6,5,1,11,18,44,0,36
08f5afaa,1,0,1,0,0,1,3,2,0,0,0,0,1,4,1,15
08fe932d,3,3,1,1,1,0,2,2,2,1,1,5,8,8,0,30
0984c5d5,4,3,2,2,0,1,3,2,3,0,3,1,5,3,0,10
099e666f,11,8,8,3,0,7,10,3,5,1,4,4,15,10,0,14
09a9e921,0,0,0,0,0,0,2,2,1,0,1,0,0,3,0,7
09bcc566,5,4,0,3,2,0,1,1,3,0,3,1,6,2,0,22
0a215326,4,4,3,1,0,1,4,3,4,1,3,1,5,1,0,17
0ac94a23,3,2,1,0,2,2,5,3,3,0,3,1,4,1,0,6
0aeeed3f,6,4,2,3,1,0,4,4,7,0,7,3,9,2,0,22
0af4dcf0,0,0,0,0,0,0,2,2,2,1,1,0,0,4,0,8
0b221abd,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4
0b2c9aec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0b5a292a,2,1,0,2,0,0,0,0,2,0,2,1,3,2,0,8
0b5b8057,2,1,1,1,0,0,1,1,1,1,0,0,2,2,0,5
0be28faf,5,3,4,1,0,1,3,2,3,0,3,6,11,4,0,15
0be3255b,1,1,1,0,0,1,1,0,0,0,0,0,1,4,0,20
0be46103,1,1,0,1,0,1,2,1,3,3,0,1,2,4,0,9
0cd0e21b,4,4,0,4,0,1,2,1,5,0,5,8,12,12,0,34
0d077b88,25,14,11,10,4,5,18,13,9,2,7,15,40,8,0,60
0daa34cc,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,1
0e5753c7,18,10,10,5,3,9,12,3,9,1,8,5,23,14,1,17
0e61c46b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0eeafda5,13,6,11,2,0,3,7,4,10,7,3,13,26,45,1,38
0efacb06,0,0,0,0,0,0,2,2,2,0,2,0,0,5,0,13
0f5e0b8a,11,6,9,1,1,5,7,2,6,0,6,3,14,16,0,41
0f816ae5,4,4,3,0,1,1,1,0,1,1,0,4,8,4,0,9
0f888175,4,3,1,2,1,0,2,2,3,0,3,0,4,5,0,9
0f8bd0a6,4,4,2,1,1,1,4,3,7,2,5,5,9,16,0,24
0f9b8301,9,2,3,5,1,4,10,6,2,0,2,3,12,5,0,42
0fffd034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10206347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10a81962,4,1,4,0,0,3,6,3,3,1,2,2,6,9,1,10
10d58a78,2,2,1,1,0,1,4,3,4,0,4,2,4,2,0,11
10efd0e1,6,6,4,2,0,2,6,4,3,1,2,0,6,4,0,28
110a95ca,1,1,1,0,0,1,1,0,0,0,0,0,1,2,1,4
119b9a8e,10,9,6,4,0,6,10,4,7,5,2,8,18,34,0,28
11a1a615,3,2,2,1,0,3,3,0,0,0,0,2,5,2,0,0
11c0fa9d,6,3,1,1,4,1,4,3,6,0,6,3,9,0,0,20
120c594d,6,5,3,1,2,2,2,0,1,1,0,4,10,1,0,4
1238a3f9,2,1,1,1,0,1,1,0,0,0,0,1,3,0,0,3
12947ab7,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0
12dcbdcc,25,14,12,11,2,14,21,7,14,2,12,7,32,18,0,35
12e6d21a,0,0,0,0,0,0,0,0,5,1,4,2,2,5,0,16
130a7a3f,8,8,4,2,2,4,6,2,2,0,2,1,9,1,0,22
1321d6f0,2,1,1,1,0,2,2,0,1,0,1,1,3,5,0,6
134832c6,2,1,1,1,0,1,1,0,2,0,2,2,4,0,0,4
136e7649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1381e699,3,2,2,1,0,2,2,0,4,3,1,1,4,18,0,4
13a78e01,19,12,12,5,2,10,21,11,13,4,9,11,30,24,0,43
13ac19de,9,5,6,2,1,3,11,8,3,0,3,4,13,2,0,65
13b0c150,10,9,5,5,0,3,3,0,8,6,2,8,18,18,0,25
140afefb,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,3
1432d037,1,0,1,0,0,1,2,1,1,0,1,0,1,0,0,1
1443ca7d,1,0,1,0,0,1,2,1,3,2,1,0,1,5,0,9
144607cc,1,1,0,0,1,0,0,0,0,0,0,1,2,1,0,6
14e8fe86,9,6,5,4,0,4,10,6,9,1,8,5,14,10,0,28
15413fa5,15,8,6,8,1,4,17,13,7,1,6,4,19,4,0,37
1598599e,10,8,4,6,0,4,6,2,2,1,1,7,17,1,1,19
15b949ab,8,7,3,4,1,5,6,1,0,0,0,10,18,3,0,21
15d0c248,18,14,13,4,1,7,15,8,11,7,4,27,45,33,1,51
15e99107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15e9c7e6,4,3,2,2,0,1,3,2,4,0,4,1,5,0,1,8
15fd5593,4,3,2,2,0,3,11,8,6,2,4,6,10,3,0,12
16380240,7,6,1,4,2,2,8,6,1,0,1,3,10,1,0,33
163bbd4a,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,2
16657b95,14,7,3,7,4,0,12,12,5,0,5,4,18,3,0,45
1668b4b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166a981d,4,4,1,2,1,2,2,0,2,0,2,6,10,7,0,14
16952f65,8,4,3,4,1,2,14,12,8,0,8,2,10,3,0,21
169fd162,4,3,2,0,2,2,11,9,5,0,5,2,6,3,0,19
16ceb862,3,2,0,2,1,0,1,1,1,0,1,1,4,4,0,10
17370b95,12,8,9,2,1,6,8,2,3,1,2,5,17,31,0,25
173eb3cd,7,4,3,4,0,3,10,7,3,2,1,4,11,6,0,18
1770bd68,11,8,4,3,4,1,5,4,7,1,6,10,21,8,0,40
1771f2c1,5,4,2,3,0,3,5,2,3,1,2,1,6,3,0,4
17e3e467,6,5,2,3,1,0,3,3,1,0,1,0,6,0,0,13
182c10aa,6,4,2,3,1,1,3,2,3,1,2,3,9,3,0,20
18682b13,5,2,1,4,0,3,4,1,0,0,0,4,9,6,0,7
194ace07,8,3,4,4,0,2,5,3,4,0,4,6,14,8,0,30
197640fd,3,2,2,1,0,1,7,6,6,0,6,3,6,8,0,10
19e4dca5,11,8,9,1,1,7,13,6,12,6,6,20,31,74,0,43
1a105265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1a4b9094,28,21,17,11,0,14,27,13,12,2,10,19,47,27,0,75
1a63f024,19,11,9,10,0,4,8,4,8,2,6,11,30,7,0,49
1a799243,40,24,18,19,3,24,48,24,17,2,15,17,57,31,0,98
1a97dc06,4,4,2,1,1,0,4,4,2,2,0,7,11,8,0,11
1aa98b10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1bd5735a,10,6,3,5,2,6,9,3,5,0,5,4,14,10,0,23
1bf33a9a,7,6,2,4,1,2,8,6,5,0,5,1,8,0,0,7
1bfdb73a,6,4,4,2,0,3,5,2,3,2,1,8,14,20,0,50
1c37137f,12,5,6,4,2,5,16,11,4,0,4,12,24,24,0,41
1c529186,4,3,2,2,0,1,1,0,3,0,3,0,4,9,0,15
1c639185,10,7,3,6,1,4,10,6,5,1,4,9,19,9,0,38
1c78737d,11,6,5,6,0,2,20,18,7,3,4,11,22,18,0,24
1c98558c,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
1cfd188f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1d1691ad,10,9,4,3,3,5,5,0,5,1,4,6,16,12,0,25
1d2d5cc8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
1d5f96d9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1d8e9add,7,4,6,1,0,5,5,0,6,5,1,5,12,14,0,28
1db295e5,8,4,7,1,0,0,0,0,4,4,0,14,22,41,0,29
1de2f2de,9,5,4,3,2,4,9,5,2,0,2,7,16,8,0,14
1e062a01,7,5,2,4,1,0,2,2,8,2,6,7,14,3,0,38
1e064bfb,1,0,1,0,0,1,2,1,0,0,0,0,1,2,0,3
1e29552f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1e415dd6,6,3,5,1,0,2,8,6,3,2,1,5,11,19,0,29
1ecb65be,2,2,0,2,0,0,3,3,3,0,3,2,4,1,0,12
1f9bc0d4,1,1,1,0,0,0,1,1,2,0,2,0,1,0,0,2
1fbbfbde,9,7,6,3,0,3,5,2,3,3,0,6,15,19,1,20
1fe67e86,16,15,9,7,0,8,14,6,7,4,3,2,18,18,0,27
20030c06,1,1,0,1,0,1,1,0,3,3,0,5,6,11,0,11
20094685,21,10,5,11,5,7,32,25,10,0,10,7,28,10,0,64
2042d931,3,3,0,3,0,1,1,0,3,0,3,2,5,3,1,8
20730eae,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2077ae86,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
2079b3cc,8,5,3,3,2,2,9,7,5,0,5,5,13,3,0,33
20c1ef47,4,3,2,1,1,0,2,2,5,0,5,5,9,2,0,17
20dbf9e0,1,1,0,1,0,0,2,2,3,0,3,1,2,0,0,4
213ab9bb,2,2,1,1,0,0,0,0,1,0,1,0,2,2,0,2
2146785a,18,9,10,7,1,9,15,6,3,0,3,10,28,13,0,31
21519148,3,2,0,3,0,1,5,4,3,0,3,5,8,1,0,16
2196d7d2,5,3,3,1,1,0,3,3,3,0,3,3,8,1,0,21
22551915,3,2,1,2,0,1,6,5,3,1,2,8,11,7,2,7
22721b88,35,25,20,9,6,17,29,12,17,4,13,26,61,60,0,64
2277a390,7,5,4,2,1,3,4,1,7,4,3,8,15,16,1,23
22b752ee,3,3,1,2,0,2,2,0,3,1,2,3,6,10,0,10
22bfb57e,3,1,1,1,1,1,2,1,0,0,0,0,3,0,0,7
22cd43d2,3,2,2,1,0,1,2,1,0,0,0,2,5,2,0,7
2306bfde,0,0,0,0,0,0,0,0,1,0,1,5,5,2,1,11
2319ebe3,8,6,4,4,0,5,10,5,5,1,4,2,10,2,0,14
23c63b7f,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2409762c,2,2,0,2,0,0,2,2,1,0,1,1,3,1,0,14
242dbdeb,8,5,7,1,0,6,8,2,2,0,2,6,14,9,0,16
248be14f,11,4,7,4,0,6,12,6,1,1,0,9,20,19,0,18
24baba9d,20,12,17,1,2,4,10,6,5,0,5,5,25,20,0,36
24e9421b,4,2,1,3,0,1,3,2,2,0,2,1,5,1,0,14
25126342,3,2,1,2,0,1,2,1,7,4,3,3,6,37,1,19
2557c196,1,1,0,1,0,0,0,0,2,0,2,0,1,5,0,2
2567b7b6,11,8,5,6,0,7,22,15,6,0,6,12,23,11,0,59
25736bcf,5,4,2,3,0,4,7,3,5,3,2,7,12,19,0,18
25763990,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,5
258aff54,8,5,2,6,0,0,2,2,3,1,2,2,10,5,0,16
25c72b36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26a796c1,5,4,0,2,3,2,7,5,5,3,2,5,10,4,0,16
26b7d548,2,1,0,2,0,1,2,1,2,1,1,3,5,10,0,5
273c483b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27b1390c,2,1,0,0,2,0,0,0,1,0,1,1,3,0,0,4
27d2618c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
27d34558,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5
27d902c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27f0fcda,2,1,1,1,0,0,2,2,3,0,3,2,4,5,0,9
27ff9bdb,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
