id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
42ec696a,9,31,22,2,2,2,2,1.0,1.0,0.0,0.0
314c2af0,2,9,7,0,1,1,0,0.0,0.0,0.0,0.0
d3149135,5,19,14,1,4,0,2,0.0,0.0,0.0,0.0
9f0ea33f,4,14,10,0,0,2,0,0.0,0.0,0.0,0.0
6e905b8d,2,5,3,0,1,1,1,0.0,0.0,0.0,0.0
f7b10c66,7,19,12,0,3,2,0,0.0,0.0,0.0,0.0
aad4f74f,6,24,18,3,2,1,2,0.0,0.0,0.0,0.0
c2e41cfb,1,4,3,0,2,0,1,0.0,0.0,0.0,0.0
47064058,9,21,12,1,1,3,0,0.0,0.0,0.0,0.0
8a2248b4,6,16,11,1,0,3,0,1.0,1.0,0.0,0.0
ee833569,8,32,24,4,3,1,2,0.0,0.0,0.0,0.0
5e8936be,3,31,28,2,4,2,5,0.0,0.0,0.0,0.0
e66a1ad7,6,15,9,2,1,1,1,1.0,1.0,0.0,0.0
1e064bfb,5,20,15,0,3,1,1,0.0,0.0,0.0,0.0
6503ae16,3,13,10,1,2,1,1,0.0,0.0,0.0,0.0
9d12e142,5,15,10,1,2,1,1,1.0,1.0,0.0,0.0
eb2b33aa,4,16,12,2,0,1,1,0.0,0.0,0.0,0.0
950ff24d,5,21,16,2,0,2,1,0.0,0.0,0.0,0.0
71672fa0,3,12,9,2,1,0,1,0.0,0.0,0.0,0.0
31e3ab68,11,23,11,2,0,3,0,2.0,1.0,1.0,0.0
a4bd9edd,0,2,2,1,0,0,1,0.0,0.0,0.0,0.0
08f5afaa,9,29,20,4,2,2,3,2.0,2.0,0.0,0.0
6bfaecc4,6,24,18,1,1,2,1,1.0,1.0,0.0,0.0
4841ba80,6,14,8,0,1,2,1,1.0,1.0,0.0,0.0
e961d3ac,5,7,2,0,2,1,0,0.0,0.0,0.0,0.0
88b748d2,13,45,32,3,2,3,3,1.0,1.0,0.0,0.0
6cd38213,20,36,15,0,1,5,0,3.0,2.0,1.0,0.0
03de83d9,5,15,10,0,1,3,0,0.0,0.0,0.0,0.0
bcb2ccd8,10,29,20,3,1,2,1,0.0,0.0,0.0,0.0
b583aef5,6,18,12,2,1,1,0,0.0,0.0,0.0,0.0
6c228bb6,3,8,6,1,0,1,0,0.0,0.0,0.0,0.0
5e91ddf8,11,39,29,1,2,3,0,0.0,0.0,0.0,0.0
9109185e,13,47,34,4,2,4,3,1.0,1.0,0.0,0.0
3cd9e95a,8,27,19,2,0,4,1,0.0,0.0,0.0,0.0
f4eb377b,12,45,32,6,1,3,3,2.0,1.0,1.0,0.0
27d2618c,2,7,5,0,0,1,0,0.0,0.0,0.0,0.0
92c62328,8,39,32,4,2,2,3,0.0,0.0,0.0,0.0
da1c9094,0,1,1,1,0,0,1,0.0,0.0,0.0,0.0
53b03dac,6,24,20,1,3,2,1,0.0,0.0,0.0,0.0
3470f44e,3,9,6,0,0,1,0,0.0,0.0,0.0,0.0
1e29552f,1,5,3,0,1,0,0,1.0,0.0,1.0,0.0
cd59b9df,1,2,1,0,1,0,0,0.0,0.0,0.0,0.0
4e034598,6,14,8,2,0,1,1,1.0,1.0,0.0,0.0
60713cb3,5,7,2,2,1,0,0,0.0,0.0,0.0,0.0
87c7c2b1,1,8,7,1,1,0,1,0.0,0.0,0.0,0.0
bb25c778,4,10,6,1,1,2,2,3.0,3.0,0.0,0.0
d0c41b99,5,16,12,1,1,2,1,0.0,0.0,0.0,0.0
5f9970a0,7,15,8,0,0,2,0,0.0,0.0,0.0,0.0
59f0c185,2,14,12,2,0,0,0,0.0,0.0,0.0,0.0
f00de885,8,36,28,6,2,2,4,0.0,0.0,0.0,0.0
3061e1ec,9,29,21,2,0,4,1,0.0,0.0,0.0,0.0
8a6ab963,7,34,26,4,2,2,2,2.0,1.0,1.0,0.0
136e7649,0,3,3,0,1,0,1,0.0,0.0,0.0,0.0
1d2d5cc8,8,17,9,3,2,2,1,2.0,2.0,0.0,0.0
a3b0ed18,6,27,21,3,2,2,3,1.0,1.0,0.0,0.0
ef3909cd,11,42,32,4,1,3,1,1.0,1.0,0.0,0.0
e8ce5a3e,2,7,5,0,0,0,0,0.0,0.0,0.0,0.0
a565da59,4,26,22,2,3,1,3,0.0,0.0,0.0,0.0
a9a3b55d,5,17,12,3,1,0,1,0.0,0.0,0.0,0.0
ee8508c0,2,24,22,4,1,1,4,0.0,0.0,0.0,0.0
e7ee38c3,6,23,17,2,2,2,4,1.0,0.0,0.0,1.0
82b1198a,9,39,29,6,1,3,3,2.0,1.0,1.0,0.0
3392603d,10,27,18,1,2,3,1,0.0,0.0,0.0,0.0
79b0d6a0,8,25,17,3,1,2,2,0.0,0.0,0.0,0.0
76806215,7,27,21,4,0,4,3,0.0,0.0,0.0,0.0
0810b6df,11,31,20,1,2,2,1,0.0,0.0,0.0,0.0
4806ec67,7,18,11,0,1,2,0,1.0,1.0,0.0,0.0
0b221abd,8,19,11,0,1,2,0,0.0,0.0,0.0,0.0
58ad9383,8,18,10,1,1,4,2,1.0,1.0,0.0,0.0
dc4511f3,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0
50310821,3,2,0,0,0,1,0,0.0,0.0,0.0,0.0
e358587b,3,8,5,1,0,1,1,0.0,0.0,0.0,0.0
cda0b317,5,16,10,1,0,1,1,1.0,0.0,1.0,0.0
625c144a,10,24,15,4,1,3,4,1.0,1.0,0.0,0.0
110a95ca,16,41,26,1,2,3,2,2.0,2.0,0.0,0.0
972d595a,1,4,3,1,0,0,0,0.0,0.0,0.0,0.0
9d0f626a,10,33,23,1,2,3,1,1.0,1.0,0.0,0.0
1c98558c,4,10,6,1,0,2,1,0.0,0.0,0.0,0.0
5a5d394c,4,7,3,2,0,1,1,0.0,0.0,0.0,0.0
27d902c8,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
fefce889,3,8,5,0,0,1,0,0.0,0.0,0.0,0.0
c089980e,12,37,25,2,2,3,1,2.0,2.0,0.0,0.0
fb5eb6e0,2,2,0,0,0,1,0,0.0,0.0,0.0,0.0
339fe0e8,13,26,13,7,1,2,3,1.0,1.0,0.0,0.0
705f5269,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
7750462c,11,30,19,0,3,2,0,2.0,2.0,0.0,0.0
4d64b28e,4,9,5,0,1,1,0,0.0,0.0,0.0,0.0
8b3fd3af,9,23,14,1,0,3,1,0.0,0.0,0.0,0.0
e704919e,3,6,3,1,0,1,1,0.0,0.0,0.0,0.0
0be3255b,13,42,29,7,4,2,5,0.0,0.0,0.0,0.0
c0b1a6da,1,4,3,2,0,0,1,0.0,0.0,0.0,0.0
0e61c46b,1,2,1,1,0,0,0,0.0,0.0,0.0,0.0
fcd24f5f,4,10,6,0,1,2,0,0.0,0.0,0.0,0.0
