id,GA,PKA,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
314c2af0,4,0,0.0,0.0,0.0,3.7,-0.3,46.0,138.0,170.0,18.0,36.0,54.0,1.0,11.0,7854.0,2250.0,187.0
28d596a0,8,0,0.0,1.0,0.0,7.5,-0.5,49.0,97.0,357.0,43.0,80.0,142.0,2.0,6.0,9781.8,3288.0,77.4
56901a62,3,0,0.0,0.0,0.0,3.4,0.4,4.0,17.0,53.0,5.0,14.0,31.0,0.0,2.0,1436.3,490.0,50.0
0ef05b3e,0,0,0.0,0.0,0.0,0.1,0.1,7.0,10.0,21.0,5.0,8.0,18.0,1.0,1.0,600.6,376.0,17.3
e65dd8dc,12,0,0.0,2.0,3.0,8.8,-0.2,30.0,63.0,87.0,23.0,36.0,81.0,3.0,1.0,3288.6,1605.6,7.8
1e064bfb,16,0,2.0,4.0,0.0,15.0,-1.0,48.0,153.0,203.0,34.0,92.0,130.0,3.0,3.0,7551.6,4922.0,33.6
6115fddd,10,0,0.0,2.0,0.0,6.5,-3.5,47.0,134.0,216.0,45.0,68.0,113.0,8.0,5.0,8121.6,3508.8,56.0
6503ae16,1,0,0.0,0.0,0.0,0.8,-0.2,10.0,17.0,22.0,8.0,8.0,10.0,0.0,2.0,833.8,384.8,45.4
eb2b33aa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a179d516,2,0,0.0,0.0,1.0,0.7,-0.3,9.0,16.0,36.0,5.0,9.0,17.0,0.0,2.0,1072.8,423.0,34.8
71672fa0,11,1,0.0,1.0,1.0,10.8,0.8,57.0,189.0,232.0,38.0,86.0,133.0,2.0,10.0,9790.4,5022.4,146.0
c52b28d0,5,1,0.0,1.0,0.0,3.6,-1.4,7.0,17.0,33.0,3.0,5.0,7.0,1.0,0.0,1145.1,237.0,0.0
1c0ddebb,7,0,0.0,1.0,1.0,7.4,1.4,61.0,177.0,138.0,9.0,71.0,90.0,2.0,6.0,7341.6,4473.0,84.6
2434f24a,6,0,0.0,1.0,0.0,6.6,0.6,49.0,114.0,146.0,21.0,48.0,82.0,2.0,2.0,6190.4,2644.8,27.8
a04e2dd2,11,0,1.0,0.0,0.0,12.2,1.2,67.0,199.0,192.0,14.0,59.0,92.0,0.0,1.0,9638.4,3581.3,10.2
26383ea5,4,0,0.0,1.0,0.0,1.1,-2.9,7.0,17.0,50.0,11.0,13.0,29.0,2.0,2.0,1295.0,607.1,26.8
a3d524cb,7,1,0.0,1.0,0.0,8.5,1.5,31.0,55.0,105.0,22.0,38.0,37.0,0.0,5.0,3612.0,1580.8,116.5
6bfaecc4,6,1,0.0,1.0,0.0,5.3,-0.7,30.0,79.0,125.0,28.0,56.0,76.0,2.0,5.0,4337.5,2738.4,65.0
88b748d2,7,0,0.0,0.0,1.0,6.1,0.1,62.0,160.0,144.0,11.0,61.0,86.0,2.0,2.0,6753.6,3562.4,25.0
e0238966,3,1,0.0,0.0,0.0,2.4,-0.6,4.0,9.0,24.0,7.0,6.0,10.0,0.0,0.0,717.6,271.8,0.0
307fcd26,13,1,1.0,0.0,0.0,15.5,2.5,54.0,130.0,192.0,44.0,105.0,144.0,2.0,14.0,6528.0,4693.5,243.6
85b4255f,4,0,0.0,1.0,0.0,4.1,0.1,10.0,35.0,45.0,10.0,31.0,43.0,3.0,0.0,1611.0,1267.9,0.0
8ae07c1c,0,0,0.0,0.0,0.0,0.5,0.5,10.0,20.0,18.0,7.0,15.0,16.0,2.0,2.0,671.4,951.0,30.4
b15780e3,8,1,0.0,0.0,0.0,8.2,0.2,40.0,99.0,172.0,38.0,52.0,93.0,6.0,5.0,6209.2,2173.6,71.0
74419746,1,0,0.0,0.0,0.0,5.2,4.2,18.0,43.0,127.0,32.0,28.0,59.0,3.0,3.0,3581.4,1092.0,39.3
5e91ddf8,14,1,0.0,2.0,1.0,15.0,2.0,63.0,168.0,195.0,20.0,70.0,92.0,4.0,3.0,7917.0,4312.0,41.7
3f65d5ce,5,0,0.0,0.0,0.0,4.7,-0.3,5.0,26.0,58.0,8.0,9.0,12.0,0.0,6.0,2018.4,324.9,102.6
ad3389d5,8,0,2.0,1.0,0.0,6.8,-1.2,39.0,62.0,202.0,31.0,41.0,50.0,3.0,14.0,5979.2,1430.9,257.6
088e6424,8,1,0.0,1.0,0.0,8.4,0.4,31.0,122.0,140.0,17.0,51.0,83.0,3.0,5.0,6146.0,2774.4,77.0
a98a9189,2,0,0.0,1.0,0.0,1.5,-0.5,1.0,3.0,7.0,2.0,4.0,7.0,0.0,0.0,184.1,182.0,0.0
7f66ea09,1,0,0.0,0.0,0.0,1.2,0.2,13.0,32.0,33.0,7.0,10.0,12.0,3.0,0.0,1448.7,686.0,0.0
32e7ce92,10,1,0.0,1.0,1.0,9.4,0.4,34.0,101.0,122.0,24.0,41.0,51.0,0.0,10.0,4904.4,2378.0,235.0
2fabebc0,2,0,0.0,0.0,0.0,1.4,-0.6,3.0,17.0,31.0,8.0,10.0,21.0,1.0,2.0,1007.5,510.0,32.4
f70e46e6,1,0,0.0,0.0,0.0,1.0,0.0,8.0,11.0,35.0,4.0,3.0,9.0,0.0,2.0,1123.5,83.1,34.8
3470f44e,3,0,0.0,0.0,0.0,1.4,-1.6,1.0,9.0,17.0,2.0,9.0,13.0,0.0,0.0,411.4,441.0,0.0
179d2851,14,1,0.0,2.0,1.0,11.9,-1.1,100.0,218.0,346.0,65.0,89.0,111.0,2.0,21.0,12802.0,4494.5,378.0
dc366c36,12,0,1.0,2.0,0.0,9.6,-2.4,39.0,149.0,158.0,15.0,60.0,93.0,2.0,7.0,7141.6,3720.0,102.2
