id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
00b86f5e,0,1,1,9.1,0.1,35,101,148,24,55,91,3,4,5994.0,2117.5,50.0
01b8a2b2,0,0,0,0.8,-0.2,2,11,34,6,9,35,2,1,1016.6,187.2,13.4
072e68ed,0,0,0,5.8,-1.2,23,68,143,27,30,39,3,11,5291.0,1365.0,217.8
0880e10b,0,1,0,3.1,-0.9,7,27,56,11,23,24,0,1,1820.0,936.1,13.3
10072610,1,1,0,4.2,0.2,24,74,116,26,25,63,5,3,4651.6,1152.5,35.4
10161491,0,1,1,11.4,-0.6,28,93,176,32,64,71,4,0,6283.2,2451.2,0.0
1d2d5cc8,0,0,1,6.3,-0.7,36,98,194,21,40,70,5,2,6634.8,2036.0,21.0
1e064bfb,1,0,0,2.7,-0.3,12,28,60,11,20,25,1,0,1980.0,804.0,0.0
277da414,0,0,0,9.9,-1.1,35,66,201,31,47,48,3,16,6351.6,1508.7,302.4
2edbd8d5,0,0,0,1.8,-1.2,4,23,14,1,15,12,0,0,771.4,778.5,0.0
2f18d0b8,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
31139973,0,0,0,3.1,0.1,2,6,14,4,5,11,0,1,463.4,170.0,42.0
374ee424,0,0,0,3.4,1.4,35,72,183,18,24,44,1,4,6057.3,820.8,64.8
37998008,0,0,0,0.1,0.1,2,10,7,0,4,11,0,0,396.2,277.2,0.0
4030c7ae,0,0,0,9.6,0.6,28,74,149,34,56,114,0,4,5095.8,1943.2,49.6
41f0b196,0,1,0,3.6,0.6,15,32,79,6,9,30,1,3,2480.6,484.2,42.0
466fb2c5,0,1,0,1.8,-0.2,12,32,60,9,8,14,1,4,2268.0,467.2,71.2
4a51ba65,0,0,0,2.6,1.6,24,55,116,18,17,26,2,11,3897.6,790.5,191.4
4c5039bd,0,1,0,2.0,1.0,8,46,57,11,30,47,6,6,2451.0,1152.0,88.2
4e7db402,0,1,1,14.6,0.6,43,116,170,34,62,98,0,5,6188.0,3310.8,63.5
510c6a3f,0,0,0,0.9,-0.1,6,11,32,3,9,19,0,0,1062.4,123.3,0.0
53d93280,0,0,0,7.9,-1.1,25,67,184,31,44,62,7,5,5648.8,1804.0,60.0
54bb5c3f,0,1,0,4.6,-1.4,7,47,43,5,28,32,2,2,2038.2,1327.2,22.8
595ccab1,0,0,0,5.7,0.7,33,74,184,28,44,70,2,5,5759.2,2151.6,70.5
5e8936be,1,2,1,6.5,-3.5,30,88,162,23,43,65,4,5,5913.0,1483.5,80.5
60713cb3,0,1,0,8.9,1.9,32,112,118,18,50,78,2,0,5699.4,2750.0,0.0
60831426,0,1,1,11.5,2.5,25,77,216,30,49,72,2,10,6372.0,2082.5,162.0
6115fddd,0,2,1,12.6,-2.4,36,95,195,23,59,87,2,4,6532.5,2301.0,51.6
625c144a,0,1,0,3.7,0.7,3,13,47,9,10,29,2,0,1339.5,425.0,0.0
