id,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
0027c6cc,1,0,0,5,4,0,0,0,0
005ca692,1,0,0,0,1,0,0,0,0
00672021,2,0,0,5,10,0,0,0,0
00ddb7f7,1,0,0,6,6,1,0,0,0
00eba9c9,0,0,0,6,5,1,0,0,0
00f0482f,0,0,0,0,0,0,0,0,0
011d8c56,0,0,0,0,0,0,0,0,0
0127419a,1,0,0,5,5,2,0,0,0
0193a8bf,0,0,0,8,9,4,0,0,0
01ccefab,1,0,0,7,4,1,0,0,0
02a496ff,3,0,0,6,3,0,0,0,0
02ce2030,2,0,0,3,7,0,0,0,0
02d2c436,1,0,0,8,3,0,0,0,0
02fbc447,0,0,0,1,0,0,0,0,0
032f894e,3,0,0,10,7,0,0,1,0
0362c29e,1,0,0,2,5,0,0,0,0
03df04ff,0,0,0,0,0,0,0,0,0
03f946ed,0,0,0,7,5,0,0,0,0
042d286e,0,0,0,1,3,1,0,0,0
04df29a5,0,0,0,3,1,0,0,0,0
0557ff4f,0,0,0,1,6,0,0,0,0
0562b7f1,0,0,0,3,1,3,0,0,0
0578b238,0,0,0,1,7,1,0,0,1
05bffdb1,0,0,0,0,0,0,0,0,0
05e19d6a,0,0,0,11,10,0,0,0,0
0658de43,0,0,0,1,3,0,0,0,0
0670ee51,1,0,0,1,1,0,0,0,0
06a10001,1,0,0,8,10,4,0,0,0
06eae126,0,0,0,3,6,0,0,0,0
070ec0b1,0,0,0,0,0,0,0,0,0
07a821e4,0,0,0,2,0,0,0,0,0
08593525,0,0,0,2,4,0,0,0,0
08f5afaa,2,0,0,0,2,0,0,0,0
0990f2fb,0,0,0,2,1,0,0,0,0
09a9e921,0,0,0,5,4,3,1,0,0
0a3d6d2b,0,0,0,1,0,1,0,0,0
0a6dbbf7,0,0,0,1,1,0,0,0,0
0a8d6b91,0,0,0,4,3,0,0,0,0
0ac893aa,2,1,0,6,4,2,0,0,0
0acf0e1c,0,0,0,0,0,0,0,0,0
0aeeed3f,0,0,0,12,3,3,0,0,0
0b0f256d,0,0,0,0,0,0,0,0,0
0b5a292a,1,0,0,5,7,0,0,0,0
0be28faf,1,0,0,5,2,0,0,0,0
0bf123b6,0,0,0,0,0,0,0,0,0
0bf3c11c,1,0,0,2,2,0,0,0,0
