id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
5f09991f,255.0,332.0,4336.0,1765.0,123.0,137.0,100.0,124.0,23.0,44.0,1,0.8,0.5,0.2,8.0,14.0,2.0,1.0,20.0
1339039e,85.0,126.0,1151.0,375.0,45.0,54.0,26.0,39.0,5.0,12.0,2,1.1,0.7,0.9,8.0,5.0,7.0,1.0,14.0
7bb0fe4a,4.0,7.0,60.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8bc373ea,234.0,305.0,5223.0,2281.0,54.0,66.0,133.0,150.0,44.0,84.0,0,0.0,0.1,0.0,0.0,12.0,3.0,1.0,18.0
c603091a,2.0,6.0,42.0,28.0,0.0,1.0,2.0,4.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b96b595c,402.0,458.0,8162.0,2819.0,141.0,156.0,192.0,208.0,61.0,81.0,0,1.4,0.4,-1.4,2.0,29.0,1.0,0.0,32.0
dc38e3bc,1.0,3.0,24.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81442ecb,216.0,255.0,4139.0,1454.0,90.0,98.0,91.0,104.0,31.0,46.0,1,0.7,0.7,0.3,11.0,22.0,8.0,4.0,19.0
2b09d998,130.0,146.0,2242.0,561.0,52.0,61.0,69.0,71.0,8.0,11.0,0,0.1,0.0,-0.1,1.0,14.0,0.0,0.0,12.0
6af56975,42.0,53.0,781.0,162.0,16.0,18.0,21.0,22.0,5.0,9.0,0,0.1,0.0,-0.1,2.0,5.0,0.0,0.0,6.0
ee926a02,122.0,138.0,1540.0,323.0,85.0,91.0,25.0,27.0,6.0,7.0,0,0.1,0.1,-0.1,2.0,5.0,1.0,0.0,7.0
dcfb17f4,162.0,203.0,2257.0,534.0,105.0,116.0,51.0,63.0,5.0,11.0,0,0.5,0.4,-0.5,7.0,11.0,4.0,0.0,18.0
4b00cd47,148.0,224.0,2892.0,1254.0,54.0,69.0,74.0,95.0,19.0,52.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,13.0
3dd738a1,256.0,307.0,4218.0,1603.0,131.0,148.0,102.0,113.0,18.0,36.0,0,0.1,0.5,-0.1,3.0,24.0,3.0,0.0,32.0
d810c13b,222.0,278.0,4003.0,1403.0,98.0,114.0,96.0,111.0,23.0,39.0,0,0.1,0.2,-0.1,2.0,8.0,1.0,0.0,8.0
2b1c4abd,20.0,22.0,234.0,28.0,15.0,15.0,4.0,5.0,0.0,0.0,0,0.1,0.1,-0.1,3.0,1.0,0.0,0.0,1.0
