id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
005ca692,42,37,5,5,0,0,0,0,0,0,0,0,37,0,2
00672021,126,120,6,4,0,3,1,1,1,0,1,0,114,0,0
0076ab7f,200,193,7,6,1,1,0,0,0,0,0,0,174,0,2
00bc97e8,21,20,1,0,0,0,0,1,0,0,0,0,12,0,0
01834aa0,148,145,2,2,0,4,0,0,0,0,0,0,121,1,1
023efc8b,154,148,3,2,0,0,0,1,0,0,0,0,124,3,1
02ce2030,526,513,13,13,0,4,0,0,0,0,0,0,456,0,1
02df3a4b,219,163,51,4,0,1,4,47,0,0,0,0,152,5,3
0331786b,24,16,8,1,0,0,2,7,0,0,0,0,15,0,2
0366fc78,144,136,6,0,0,2,19,6,0,0,0,0,89,2,7
0375723e,41,38,3,1,0,1,5,1,1,1,0,0,35,0,0
03df04ff,189,110,76,20,0,0,0,0,0,0,0,0,137,3,0
04965583,137,109,28,7,0,3,5,18,3,1,0,1,110,0,3
04da2b40,47,37,10,0,0,0,0,1,0,0,0,0,31,0,0
0538066d,129,52,75,29,0,0,0,0,0,0,0,0,56,2,0
0562b7f1,129,114,15,0,0,0,5,1,0,0,0,0,83,0,7
059a0231,72,70,1,1,1,0,4,0,0,0,0,0,48,1,2
05a6c38b,67,56,11,0,0,0,6,11,0,0,0,0,54,0,4
05e19d6a,105,102,3,3,1,2,3,0,0,0,0,0,94,0,1
0630eb63,72,68,3,0,0,1,6,0,3,2,0,0,43,1,4
0638becf,33,33,0,0,0,0,2,0,0,0,0,0,23,0,2
06972405,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
06b2765c,77,74,3,3,0,1,0,0,0,0,0,0,65,0,4
06e5b0e4,369,346,21,18,0,8,0,3,0,0,0,0,281,2,8
06fee814,25,24,1,0,0,1,0,0,0,0,0,0,21,0,0
070ec0b1,177,172,4,4,0,0,0,0,0,0,0,0,152,1,2
07ab6542,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0
07abb358,23,23,0,0,0,0,1,0,0,0,0,0,22,0,0
07f8bcc8,43,38,4,0,0,0,1,2,0,0,0,0,21,1,4
080440a4,319,304,14,11,1,6,1,3,0,0,0,0,233,1,6
08593525,512,501,10,9,0,3,2,1,0,0,0,0,409,1,11
086d7db3,88,84,4,0,0,0,2,0,0,0,0,0,57,0,3
088e6424,192,125,66,15,0,0,0,0,0,0,0,0,94,1,0
089550f5,243,215,27,3,0,0,3,24,0,0,0,0,207,1,4
08990838,215,205,9,9,0,3,0,0,0,0,0,0,178,1,1
08a2c314,32,17,15,4,0,0,0,0,0,0,0,0,13,0,0
08d37c53,43,41,2,1,0,0,1,1,0,0,0,0,28,0,2
08fe932d,169,140,29,2,0,0,5,27,0,0,0,0,128,0,2
0990f2fb,337,330,7,5,0,2,5,2,0,0,0,0,285,0,2
09a9e921,86,80,6,0,1,0,1,0,0,0,0,0,56,0,6
0a0cc13c,61,57,3,0,0,1,4,0,0,0,0,0,40,1,2
0a215326,164,160,2,1,0,1,3,1,0,0,0,0,131,2,8
0a447501,57,54,3,0,1,0,1,0,0,0,0,0,45,0,1
0a6dbbf7,112,107,4,4,0,0,0,0,0,0,0,0,94,1,0
0a86fd8b,25,19,5,0,0,0,0,0,0,0,0,0,21,1,0
0ac94a23,88,87,1,0,0,0,9,0,0,0,0,0,56,0,8
0ad69fd0,53,51,1,1,0,0,0,0,0,0,0,0,42,1,0
0b5a292a,250,201,46,7,0,1,19,34,5,0,4,0,173,3,15
0b90bb97,79,76,3,0,1,1,1,0,0,0,0,0,65,0,3
0be28faf,246,241,4,4,0,2,0,0,0,0,0,0,220,1,0
0be3255b,322,240,77,25,0,3,0,0,0,0,0,0,232,5,0
0be95d34,65,65,0,0,0,0,7,0,0,0,0,0,41,0,5
0c09c984,224,219,4,3,0,4,1,1,0,0,0,0,171,1,5
0d10333c,231,225,5,5,1,3,1,0,0,0,0,0,182,1,2
0e100630,55,43,11,0,0,0,1,11,0,0,0,0,45,1,2
0e21fc3c,207,198,9,8,0,3,1,0,1,1,0,0,184,0,2
0e4fef6e,90,89,1,1,0,0,0,0,0,0,0,0,72,0,1
0e7ccfc4,121,81,40,1,0,0,9,39,0,0,0,0,82,0,7
0eb03d5b,60,57,3,3,0,4,0,0,0,0,0,0,49,0,1
0eeafda5,12,11,1,1,0,0,0,0,0,0,0,0,10,0,0
0ef05b3e,29,19,10,2,0,0,0,0,0,0,0,0,24,0,0
0efacb06,80,66,13,0,0,0,9,1,0,0,0,0,41,1,5
0f276764,46,29,16,6,0,0,0,0,0,0,0,0,22,1,0
0f5e0b8a,15,10,5,0,0,0,0,5,0,0,0,0,12,0,0
0fbecd11,333,329,2,2,0,4,3,0,0,0,0,0,276,2,7
1001ae82,19,17,2,0,0,0,3,0,2,0,2,0,16,0,0
10549b49,45,38,6,0,0,0,0,0,0,0,0,0,32,1,0
10b9fa99,125,119,5,0,0,0,0,5,0,0,0,0,114,1,0
110a95ca,236,116,119,22,0,1,0,0,0,0,0,0,117,1,0
114b510e,147,115,32,4,0,1,16,27,1,0,1,0,125,0,1
115b7ab9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11c0fa9d,39,34,5,0,0,0,0,0,0,0,0,0,32,0,0
121101a4,113,107,6,6,0,1,0,0,0,0,0,0,96,0,1
1232e1dc,111,110,1,1,0,0,0,0,0,0,0,0,99,0,0
1295552e,307,240,67,4,0,2,9,63,0,0,0,0,215,0,14
129af0db,50,49,1,0,0,0,1,0,0,0,0,0,40,0,1
12c50af5,43,38,5,0,0,0,5,3,2,1,1,0,33,0,0
130a7a3f,144,131,13,5,0,1,20,1,7,3,1,0,107,0,6
1321d6f0,179,174,5,5,0,2,0,0,0,0,0,0,144,0,4
133faa84,162,155,6,4,0,1,0,2,0,0,0,0,146,1,1
13a78e01,256,253,1,1,0,2,0,0,0,0,0,0,214,2,5
13b0c150,128,121,7,7,0,2,0,0,0,0,0,0,104,0,2
13b44b02,403,288,114,9,1,4,16,105,0,0,0,0,285,1,14
13d74bff,158,155,2,0,0,1,12,2,0,0,0,0,100,1,2
13ea2544,341,331,8,7,0,10,1,1,0,0,0,0,298,2,1
1453e3cf,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
146f2615,130,117,11,0,1,1,4,11,0,0,0,0,80,2,5
150a572c,109,82,27,0,0,0,4,27,0,0,0,0,70,0,3
156afd6f,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
157c5e0b,125,120,5,0,0,0,1,1,0,0,0,0,98,0,2
15b6e8d7,362,272,85,15,1,5,37,60,10,2,7,0,257,5,3
15d0c248,234,224,8,2,0,2,1,6,0,0,0,0,186,2,2
15e9c7e6,185,169,15,1,1,2,12,7,7,1,3,0,135,1,6
15f3ec41,246,232,12,0,3,4,15,4,8,4,0,1,209,2,8
16380240,473,443,29,12,0,1,13,1,15,3,1,1,414,1,7
163bbd4a,11,10,1,0,0,0,0,0,0,0,0,0,8,0,0
167c1bb0,414,409,4,4,0,0,0,0,0,0,0,0,396,1,0
16b9d5cf,210,194,16,6,0,1,1,10,0,0,0,0,188,0,3
16ceb862,309,300,8,1,2,0,1,2,0,0,0,0,220,1,6
16daec92,372,360,10,1,4,2,13,1,8,3,4,0,251,2,10
17145c90,497,423,74,3,0,1,16,71,0,0,0,0,415,0,4
173db1f4,187,180,5,0,1,2,8,4,0,0,0,0,142,2,8
17695062,101,101,0,0,1,0,4,0,0,0,0,0,80,0,7
179d2851,437,303,132,43,0,2,0,0,0,0,0,0,311,2,0
17e3e467,266,258,6,2,0,7,7,2,1,0,0,0,220,2,14
18abe173,329,319,10,9,0,0,0,1,0,0,0,0,276,0,3
18b896d6,369,356,13,11,1,6,0,2,0,0,0,0,333,0,1
19003991,33,30,3,0,0,0,0,2,0,0,0,0,25,0,1
1978a39a,231,219,12,1,1,1,3,0,0,0,0,0,157,0,7
199cd404,149,148,1,0,0,0,16,1,0,0,0,0,103,0,8
19b776e9,76,74,2,0,0,1,2,0,0,0,0,0,61,0,5
19c9e24e,59,58,1,1,0,0,0,0,0,0,0,0,44,0,1
19f8e480,146,115,31,0,1,1,8,31,0,0,0,0,110,0,6
1a4b9094,194,158,36,4,0,1,20,32,0,0,0,0,156,0,6
1a799243,657,493,162,28,0,5,56,102,32,10,17,0,495,2,23
1ac58ba6,144,127,16,6,0,5,0,10,0,0,0,0,113,1,3
1adcf39e,78,78,0,0,0,0,0,0,0,0,0,0,69,0,0
1ae8b66d,213,178,35,21,0,0,35,6,8,4,3,0,136,0,8
1b09b065,135,130,5,3,0,0,9,1,1,1,0,0,101,0,5
1b4f1169,26,25,1,1,0,0,0,0,0,0,0,0,26,0,0
1b82f8df,188,182,5,5,0,3,2,0,0,0,0,0,160,1,4
1bcca8b8,214,182,32,12,2,3,30,0,20,9,10,0,165,0,0
1c07b06e,150,146,4,4,2,3,0,0,0,0,0,0,128,0,3
1c0ddebb,212,111,98,27,0,1,0,0,0,0,0,0,91,3,0
1c37137f,70,66,4,1,0,0,9,0,3,0,2,0,46,0,1
1c529186,124,104,19,3,0,2,4,16,0,0,0,0,97,1,5
1c639185,41,41,0,0,0,0,0,0,0,0,0,0,35,0,0
1c78737d,172,168,0,0,1,0,5,0,0,0,0,0,135,4,1
1c96ad85,209,163,46,5,0,1,13,41,0,0,0,0,142,0,8
1cb49278,1104,1076,28,25,1,5,1,3,0,0,0,0,1025,0,8
1d2d5cc8,29,25,4,0,0,0,0,0,0,0,0,0,27,0,0
1d5cab82,125,121,2,1,0,0,2,1,0,0,0,0,97,2,4
1e064bfb,298,178,117,25,0,0,0,0,0,0,0,0,184,3,0
1e101451,55,41,14,3,0,0,0,0,0,0,0,0,35,0,0
1e9bde92,214,127,87,21,0,0,0,0,0,0,0,0,131,0,0
1ec5df8f,50,49,1,1,0,2,0,0,0,0,0,0,45,0,0
1ec7e1c5,450,431,15,13,0,5,0,1,0,0,0,0,379,4,3
1eec640e,111,99,12,0,1,0,3,0,0,0,0,0,64,0,6
