id,MP,Min,90s,Starts,Compl,Subs,unSub,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0027c6cc,4,285,3,3,3,1,2,1,3,-2,3.1,3.6,-0.5,0,0,0,0
003a5c72,8,524,5,6,4,2,0,5,7,-2,7.0,6.9,0.0,0,0,0,0
003d7410,2,136,1,2,1,0,7,3,3,0,2.3,2.2,0.1,0,0,0,0
011d8c56,1,90,1,1,1,0,1,4,1,3,2.7,1.6,1.1,0,0,0,0
016ff750,4,338,3,4,2,0,1,4,6,-2,6.7,5.9,0.7,0,0,0,0
0174ba21,1,76,0,1,0,0,3,1,1,0,0.7,0.7,0.0,0,0,0,0
0193a8bf,6,395,4,4,3,2,0,6,6,0,5.5,3.9,1.5,0,0,0,0
01cf5c94,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
01eb744d,9,546,6,7,1,2,0,14,3,11,9.9,6.1,3.8,0,0,0,0
02f4b798,2,147,1,1,1,1,5,1,2,-1,1.9,2.7,-0.8,0,0,0,0
038aa94a,6,540,6,6,6,0,0,7,8,-1,5.9,7.2,-1.3,0,0,0,0
03970956,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
03de83d9,4,360,4,4,4,0,2,3,7,-4,5.5,5.3,0.2,360,4,4,4
03f946ed,8,489,5,6,3,2,0,14,5,9,12.2,4.9,7.3,0,0,0,0
042d286e,3,88,1,1,0,2,3,2,1,1,1.7,0.9,0.8,0,0,0,0
0488e833,4,295,3,3,3,1,2,1,6,-5,2.4,3.9,-1.6,0,0,0,0
0489db27,1,90,1,1,1,0,1,2,1,1,0.3,0.5,-0.2,0,0,0,0
048a1cbc,1,28,0,0,0,1,1,0,0,0,0.8,0.7,0.1,0,0,0,0
04b3021c,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
04f2ed4d,5,450,5,5,5,0,1,7,9,-2,6.6,9.9,-3.3,0,0,0,0
053f6e16,2,131,1,1,0,1,2,3,2,1,0.6,1.4,-0.8,0,0,0,0
0557ff4f,6,509,5,6,4,0,1,7,9,-2,5.3,9.5,-4.2,0,0,0,0
0562b7f1,1,6,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0
05a275e0,4,307,3,3,2,1,1,4,4,0,3.8,4.0,-0.2,0,0,0,0
05ad9890,1,22,0,0,0,1,2,0,0,0,0.4,0.2,0.3,0,0,0,0
05cb19c5,4,175,1,2,1,2,1,2,2,0,2.0,2.1,0.0,0,0,0,0
05e19d6a,9,578,6,7,3,2,0,16,6,10,12.6,5.5,7.1,0,0,0,0
061e8e23,2,73,0,0,0,2,0,1,0,1,2.1,1.3,0.8,0,0,0,0
0630eb63,6,490,5,6,1,0,0,2,2,0,6.5,5.6,0.9,0,0,0,0
06eae126,6,329,3,4,2,2,0,1,6,-5,0.0,0.0,0.0,0,0,0,0
0711c00f,5,258,2,3,0,2,1,5,1,4,2.7,4.0,-1.3,0,0,0,0
075fe5a3,2,114,1,1,1,1,5,1,1,0,0.9,2.0,-1.1,0,0,0,0
077b773d,4,245,2,3,2,1,0,2,4,-2,3.4,5.1,-1.6,0,0,0,0
07a0baa9,4,276,3,3,2,1,0,3,4,-1,3.7,3.1,0.6,0,0,0,0
080ac8d8,8,485,5,5,3,3,0,5,4,1,8.0,5.0,3.0,0,0,0,0
0810b6df,5,450,5,5,5,0,1,8,11,-3,6.2,8.7,-2.4,450,5,5,5
08593525,12,1081,12,12,11,0,0,14,12,2,14.7,11.5,3.3,0,0,0,0
08990838,8,720,8,8,8,0,0,8,8,0,8.9,9.1,-0.2,0,0,0,0
08f5afaa,8,720,8,8,8,0,1,17,9,8,13.5,8.3,5.2,720,8,8,8
08fe932d,5,381,4,4,4,1,0,4,6,-2,5.5,5.9,-0.5,0,0,0,0
0984c5d5,3,191,2,2,2,1,3,1,5,-4,1.2,3.3,-2.1,0,0,0,0
099e666f,3,249,2,3,2,0,0,2,7,-5,2.5,3.8,-1.4,0,0,0,0
09a9e921,6,484,5,6,3,0,1,6,7,-1,9.9,7.3,2.6,0,0,0,0
09bcc566,5,430,4,5,3,0,0,3,8,-5,4.7,6.0,-1.3,0,0,0,0
0a16eb36,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
0a215326,2,180,2,2,2,0,0,3,4,-1,1.9,2.2,-0.3,0,0,0,0
0ac94a23,5,190,2,1,0,4,0,4,3,1,3.0,4.0,-1.0,0,0,0,0
0aeeed3f,5,286,3,3,2,2,1,4,4,0,5.4,3.3,2.0,0,0,0,0
0af4dcf0,5,260,2,2,2,3,0,6,1,5,5.7,2.9,2.7,0,0,0,0
0b0e199d,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
0b221abd,3,270,3,3,3,0,3,4,8,-4,2.0,5.5,-3.5,270,3,3,3
0b2c9aec,1,21,0,0,0,1,2,0,0,0,0.2,0.1,0.1,0,0,0,0
0b5a292a,2,104,1,1,0,1,0,1,3,-2,2.0,2.2,-0.2,0,0,0,0
0b5b8057,2,90,1,1,0,1,2,1,2,-1,1.2,1.6,-0.4,0,0,0,0
0bc1e06c,0,0,0,0,0,0,2,0,0,0,0.5,0.7,-0.3,0,0,0,0
0be28faf,2,180,2,2,2,0,0,1,3,-2,1.4,2.3,-0.9,0,0,0,0
0be3255b,13,1200,13,13,13,0,1,21,13,8,16.9,13.0,3.9,1200,13,13,13
0be46103,4,148,1,2,0,2,1,4,4,0,1.7,3.5,-1.8,0,0,0,0
0cd0e21b,9,614,6,7,3,2,0,8,12,-4,9.5,6.7,2.7,0,0,0,0
0d077b88,6,540,6,6,6,0,0,4,6,-2,4.3,6.9,-2.6,0,0,0,0
