id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
005ca692,2,31,0.3,0,0,2,4,3.0,2,1.0,1.0,2.55,0.5,1.4,-0.9,-3.15,0,0,0,0.0
00672021,6,483,5.4,6,2,0,0,2.17,13,6.0,7.0,7.62,9.7,6.5,3.2,2.26,0,0,0,0.0
00676448,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0076ab7f,10,729,8.1,8,8,2,0,2.3,15,4.0,11.0,0.08,16.1,5.8,10.3,1.1,0,0,0,0.0
007faf7a,2,102,1.1,1,0,1,0,1.5,2,1.0,1.0,1.7,1.2,0.6,0.5,-0.22,0,0,0,0.0
00963611,1,90,1.0,1,1,0,0,1.0,2,2.0,0.0,-0.95,1.6,0.5,1.1,-0.13,0,0,0,0.0
00b28772,7,512,5.7,6,5,1,0,1.29,7,6.0,1.0,-0.43,8.5,5.2,3.4,-0.26,0,0,0,0.0
00ddb7f7,5,444,4.9,5,3,0,0,0.8,5,6.0,-1.0,-0.2,5.1,8.1,-3.0,1.24,0,0,0,0.0
00eba9c9,5,277,3.1,3,1,2,0,1.0,4,5.0,-1.0,0.02,3.6,6.9,-3.3,-0.06,0,0,0,0.0
0127419a,4,215,2.4,2,1,2,0,1.5,5,3.0,2.0,0.97,4.3,3.2,1.0,0.87,0,0,0,0.0
01464072,1,90,1.0,1,1,0,2,1.33,4,1.0,3.0,3.6,2.2,0.6,1.6,1.39,0,0,0,0.0
0176f037,5,385,4.3,4,4,1,0,1.43,3,5.0,-2.0,-0.47,6.9,7.0,-0.2,0.35,0,0,0,0.0
017ab4d4,2,74,0.8,1,0,1,3,1.5,2,2.0,0.0,0.32,1.7,2.8,-1.1,-0.88,0,0,0,0.0
0193a8bf,5,325,3.6,4,2,1,0,1.6,4,4.0,0.0,-0.42,4.3,5.3,-1.1,-1.26,0,0,0,0.0
01ba3996,1,21,0.2,0,0,1,2,3.0,0,0.0,0.0,-0.84,0.2,0.1,0.1,-0.27,0,0,0,0.0
02319ad7,7,503,5.6,6,2,1,1,1.71,7,5.0,2.0,0.06,9.5,5.0,4.4,0.28,0,0,0,0.0
023efc8b,1,31,0.3,0,0,1,2,3.0,1,1.0,0.0,0.53,1.6,0.5,1.1,2.62,0,0,0,0.0
