,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0,00369a0f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,270,3,3,3
1,0076ab7f,2,180,2,2,2,0,0,3,5,0,5,0.9,0.9,0.0,129,2,1,1
2,00844823,1,90,1,1,1,0,0,2,0,2,-2,0.6,1.8,-1.2,90,1,1,1
3,00899db5,0,0,0,0,0,0,3,3,0,0,0,0.0,0.0,0.0,630,7,7,7
4,009a4f60,6,455,5,5,4,1,0,2,4,1,3,5.9,2.3,3.6,630,7,7,7
5,00b86f5e,6,540,6,6,6,0,0,1,7,10,-3,4.6,8.9,-4.2,540,6,6,6
6,00c9a283,5,360,4,4,2,1,1,1,1,8,-7,1.8,6.1,-4.2,540,6,6,6
7,00d4e7b3,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,90,1,1,1
8,00f0482f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,180,2,2,2
9,01b8a2b2,3,270,3,3,3,0,0,2,5,1,4,4.2,1.1,3.2,540,6,6,6
10,02b952ce,2,135,1,1,1,1,1,0,1,5,-4,0.6,3.6,-3.0,540,6,6,6
11,02caf6e0,3,134,1,2,0,1,1,0,1,0,1,2.5,1.2,1.4,180,2,2,2
12,031ebd52,2,32,0,0,0,2,4,1,0,1,-1,0.2,1.5,-1.3,450,5,5,5
13,0362c29e,6,454,5,5,5,1,0,1,6,8,-2,4.2,7.2,-3.0,90,1,1,1
14,038bbb55,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,180,2,2,2
15,03998238,2,55,0,0,0,2,1,2,1,1,0,0.3,1.1,-0.9,360,4,4,4
16,03b6afa9,6,371,4,4,3,2,1,2,9,6,3,7.3,4.0,3.3,630,7,7,7
17,03e7a498,1,74,0,1,0,0,5,0,0,2,-2,0.7,1.6,-0.9,180,2,2,2
18,0412b9cd,4,106,1,1,0,3,1,0,0,3,-3,0.5,2.2,-1.7,90,1,1,1
19,04914da4,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,225,3,3,2
20,04964f4f,3,145,1,1,0,2,3,0,2,1,1,0.8,0.5,0.4,540,6,6,6
21,049751d7,5,215,2,2,0,3,0,1,1,0,1,2.6,1.2,1.4,810,9,9,9
